V0000399258	それはとってもいい話だ。	それはとってもいいはなしだ 
V0000399290	膝に痛みを感じます。	ひざにいたみをかんじます 
V0000399291	電車で子供が騒いでいた。	でんしゃでこどもがさわいでいた 
V0000399292	大学に行ってもっと勉強したいです。	だいがくにいってもっとべんきょうしたいです 
V0000399293	彼はもう帰りました。	かれはもうかえりました 
V0000399294	駅の近くで食事をした。	えきのちかくでしょくじをした 
V0000399295	彼はかばんに手帳を入れた。	かれはかばんにてちょうをいれた 
V0000399296	彼は真面目な学生です。	かれはまじめながくせいです 
V0000399297	明日の午後、お客様が来る。	あすのごごおきゃくさまがくる 
V0000399298	彼女の髪はとても長い。	かのじょのかみはとてもながい 
V0000399299	本を１冊買いました。	ほんをいっさつかいました 
V0000399300	彼女はよく旅行に行きます。	かのじょはよくりょこうにいきます 
P0000185126	彼女は
P0000185126	です。	かのじょはおーえるです 
V0000399301	彼女はラジオを聞いています。	かのじょはらじおをきいています 
V0000399302	あなたはどう思いますか。	あなたはどうおもいますか 
V0000399303	皆一生懸命生きている。	みんないっしょうけんめいいきている 
V0000399304	この言葉の意味が分かりません。	このことばのいみがわかりません 
V0000399305	彼はタオルで顔を拭きました。	かれはたおるでかおをふきました 
V0000399306	あの本をどこに置きましたか。	あのほんをどこにおきましたか 
V0000399307	それを一つください。	それをひとつください 
V0000399308	この本、あなたにあげます。	このほんあなたにあげます 
V0000399309	こう小さい字は読めない。	こうちいさいじはよめない 
V0000399310	学校は8時半に始まります。	がっこうははちじはんにはじまります 
V0000399311	友達が誕生日プレゼントをくれた。	ともだちがたんじょうびぷれぜんとをくれた 
V0000399312	私は毎朝6時に起きます。	わたしはまいあさろくじにおきます 
V0000399313	今年の春は暖かいね。	ことしのはるはあたたかいね 
V0000399314	午前9時のニュースです。	ごぜんくじのにゅーすです 
V0000399315	郵便局で切手を買いました。	ゆうびんきょくできってをかいました 
V0000399316	別の本も見せてください。	べつのほんもみせてください 
V0000399317	会議は4時に終わります。	かいぎはよじにおわります 
V0000399318	彼はまだ若いです。	かれはまだわかいです 
V0000399319	彼はかなり英語が上手です。	かれはかなりえいごがじょうずです 
V0000399320	彼はかばんをいすの上に置きました。	かれはかばんをいすのうえにおきました 
V0000399321	彼は会社の近くに住んでいる。	かれはかいしゃのちかくにすんでいる 
V0000399322	今、会社に戻ります。	いまかいしゃにもどります 
V0000399323	姉は銀行で働いています。	あねはぎんこうではたらいています 
V0000399324	仕事の後、映画を見た。	しごとのあとえいがをみた 
V0000399325	私は日本語の先生になりたいです。	わたしはにほんごのせんせいになりたいです 
V0000399326	彼はステージに立った。	かれはすてーじにたった 
V0000399327	彼は意外に気が小さい。	かれはいがいにきがちいさい 
V0000399328	ウェイターを呼びましょう。	うぇいたーをよびましょう 
V0000399329	もっと近くに来てください。	もっとちかくにきてください 
V0000399330	家に帰ろう。	うちにかえろう 
V0000399331	彼の気持ちが分からない。	かれのきもちがわからない 
V0000399332	鳥が飛んでいます。	とりがとんでいます 
V0000399333	弟が車を買った。	おとうとがくるまをかった 
V0000399334	旅行の日程を変えました。	りょこうのにっていをかえました 
V0000399335	彼の家はとても広い。	かれのいえはとてもひろい 
V0000399336	質問の意味は分かりましたか。	しつもんのいみはわかりましたか 
V0000399337	グラスの数が足りません。	ぐらすのかずがたりません 
V0000399338	駅はここから近いです。	えきはここからちかいです 
V0000399339	そこに座ってください。	そこにすわってください 
V0000399340	彼は毎晩3キロ走っています。	かれはまいばんさんきろはしっています 
V0000399341	彼は家を売った。	かれはいえをうった 
V0000399342	気持ちのいい朝です。	きもちのいいあさです 
V0000399343	彼は数学を教えています。	かれはすうがくをおしえています 
V0000399344	駅まで歩きましょう。	えきまであるきましょう 
V0000399345	直ぐ行きます。	すぐいきます 
V0000399346	また会いましょう。	またあいましょう 
V0000399347	私の部屋は2階にあります。	わたしのへやはにかいにあります 
V0000399348	町で大事件が起こりました。	まちでだいじけんがおこりました 
V0000399349	彼女は秋に結婚します。	かのじょはあきにけっこんします 
V0000399350	この本は難しいですね。	このほんはむずかしいですね 
V0000399351	彼の家に荷物を送りました。	かれのいえににもつをおくりました 
V0000399352	犬が病気で死にました。	いぬがびょうきでしにました 
V0000399353	駅からはタクシーに乗ってください。	えきからはたくしーにのってください 
V0000399354	この服はとても安かった。	このふくはとてもやすかった 
V0000399355	彼に手紙を書きました。	かれにてがみをかきました 
V0000399356	母と電話で話しました。	ははとでんわではなしました 
V0000399357	今朝から頭が痛い。	けさからあたまがいたい 
V0000399358	私は体が丈夫だ。	わたしはからだがじょうぶだ 
V0000399359	ここに本があります。	ここにほんがあります 
V0000399360	あなたが来るのを待っています。	あなたがくるのをまっています 
V0000399361	彼は背が低い。	かれはせがひくい 
V0000399362	彼女からプレゼントをもらいました。	かのじょからぷれぜんとをもらいました 
V0000399363	昨日タイカレーを食べました。	きのうたいかれーをたべました 
V0000399364	まだ学校へ行くには早い時間です。	まだがっこうへいくにははやいじかんです 
V0000399365	兄は水泳が得意です。	あにはすいえいがとくいです 
V0000399366	あなたの名前を教えてください。	あなたのなまえをおしえてください 
V0000399367	私の夫はサラリーマンです。	わたしのおっとはさらりーまんです 
V0000399368	一から始めましょう。	いちからはじめましょう 
V0000399369	彼女は来月結婚します。	かのじょはらいげつけっこんします 
V0000399370	親の愛は有り難い。	おやのあいはありがたい 
V0000399371	私は古い車が好きです。	わたしはふるいくるまがすきです 
V0000399372	この絵は美しいです。	このえはうつくしいです 
V0000399373	彼は足が長い。	かれはあしがながい 
V0000399374	次はいつ会いましょうか。	つぎはいつあいましょうか 
V0000399375	明日、6時に起こしてください。	あすろくじにおこしてください 
V0000399376	その写真を見せてください。	そのしゃしんをみせてください 
V0000399377	私の娘はアメリカにいます。	わたしのむすめはあめりかにいます 
V0000399378	この本はとてもおもしろい。	このほんはとてもおもしろい 
V0000399379	少し疲れました。	すこしつかれました 
V0000399380	質問のある方はどうぞ。	しつもんのあるかたはどうぞ 
V0000399381	今日は一人の時間を楽しみたい。	きょうはひとりのじかんをたのしみたい 
V0000399382	すてきな色のセーターですね。	すてきないろのせーたーですね 
V0000399383	みんなにお菓子をあげましょう。	みんなにおかしをあげましょう 
V0000399384	テストでいい点を取った。	てすとでいいてんをとった 
V0000399385	私は日本語を勉強しています。	わたしはにほんごをべんきょうしています 
V0000399386	彼女はイタリア語が出来ます。	かのじょはいたりあごができます 
V0000399387	彼は足が短い。	かれはあしがみじかい 
V0000399388	猿も木から落ちる。	さるもきからおちる 
V0000399389	うちの息子は大学1年生です。	うちのむすこはだいがくいちねんせいです 
V0000399390	彼は歯が白い。	かれははがしろい 
V0000399391	誰と会ってみたいですか。	だれとあってみたいですか 
V0000399392	彼女はいつも元気だ。	かのじょはいつもげんきだ 
V0000399393	息子は飛行機のおもちゃが好きです。	むすこはひこうきのおもちゃがすきです 
V0000399394	今日はヤンキースが勝った。	きょうはやんきーすがかった 
V0000399395	祖父が病気になった。	そふがびょうきになった 
V0000399396	カナダの冬はとても寒いです。	かなだのふゆはとてもさむいです 
V0000399397	新しい年が始まりました。	あたらしいとしがはじまりました 
V0000399398	このかばんは重いです。	このかばんはおもいです 
V0000399399	胸に少し痛みがあります。	むねにすこしいたみがあります 
V0000399400	彼女は雑誌を読んでいます。	かのじょはざっしをよんでいます 
V0000399401	私が払いましょう。	わたしがはらいましょう 
V0000399402	この靴はとても軽い。	このくつはとてもかるい 
V0000399403	新しい仕事を見つけました。	あたらしいしごとをみつけました 
V0000399404	彼女はいつ来ますか。	かのじょはいつきますか 
V0000399405	私には友達がたくさんいます。	わたしにはともだちがたくさんいます 
V0000399406	約束を忘れないでください。	やくそくをわすれないでください 
V0000399407	彼女は酒に強い。	かのじょはさけにつよい 
V0000399408	肉と魚とどちらが好きですか。	にくとさかなとどちらがすきですか 
V0000399409	姉は大学生です。	あねはだいがくせいです 
V0000399410	妹は平仮名を全部覚えました。	いもうとはひらがなをぜんぶおぼえました 
V0000399411	私の部屋は狭いです。	わたしのへやはせまいです 
V0000399412	私はワインが好きです。	わたしはわいんがすきです 
V0000399413	私たちは来年、家を建てます。	わたしたちはらいねんいえをたてます 
V0000399414	この中でどれが好きですか。	このなかでどれがすきですか 
V0000399415	赤いバラを買いました。	あかいばらをかいました 
V0000399416	今日は仕事がありません。	きょうはしごとがありません 
V0000399417	今日はスーツを着ています。	きょうはすーつをきています 
V0000399418	赤ん坊が笑っています。	あかんぼうがわらっています 
V0000399419	彼はクラスで一番背が高い。	かれはくらすでいちばんせがたかい 
V0000399420	今日は日本語の授業があります。	きょうはにほんごのじゅぎょうがあります 
V0000399421	その次の週は空いてますか。	そのつぎのしゅうはあいてますか 
V0000399422	漢字は中国から来ました。	かんじはちゅうごくからきました 
V0000399423	毎日、駅まで自転車で行きます。	まいにちえきまでじてんしゃでいきます 
V0000399424	私は電車で通学しています。	わたしはでんしゃでつうがくしています 
V0000399425	彼は郵便局を探していました。	かれはゆうびんきょくをさがしていました 
V0000399426	紙と鉛筆はありますか。	かみとえんぴつはありますか 
V0000399427	私たちは大きな声で歌いました。	わたしたちはおおきなこえでうたいました 
V0000399428	前の車はとても遅い。	まえのくるまはとてもおそい 
V0000399429	きりんの首は長い。	きりんのくびはながい 
V0000399430	彼は走るのが速い。	かれははしるのがはやい 
V0000399431	一緒に帰りましょう。	いっしょにかえりましょう 
V0000399432	私は毎日、日記を付けています。	わたしはまいにちにっきをつけています 
V0000399433	今月はとても忙しい。	こんげつはとてもいそがしい 
V0000399434	子供たちが公園で遊んでいる。	こどもたちがこうえんであそんでいる 
V0000399435	家から学校までは遠いです。	いえからがっこうまではとおいです 
V0000399436	その子は体が少し弱い。	そのこはからだがすこしよわい 
V0000399437	彼女は耳がよく聞こえません。	かのじょはみみがよくきこえません 
V0000399438	私は窓側の席に座った。	わたしはまどがわのせきにすわった 
V0000399439	右のポケットにハンカチが入っています。	みぎのぽけっとにはんかちがはいっています 
V0000399440	私は朝、シャワーを浴びます。	わたしはあさしゃわーをあびます 
V0000399441	肩が凝りました。	かたがこりました 
V0000399442	友達とお酒を飲んでいます。	ともだちとおさけをのんでいます 
V0000399443	もう寝よう。	もうねよう 
V0000399444	昼間は電気を消してください。	ひるまはでんきをけしてください 
V0000399445	おかげさまで元気です。	おかげさまでげんきです 
V0000399446	私たちのチームはその試合で負けた。	わたしたちのちーむはそのしあいでまけた 
V0000399447	それ、全部ください。	それぜんぶください 
V0000399448	私は去年フランスへ行った。	わたしはきょねんふらんすへいった 
V0000399449	このドアは引いてください。	このどあはひいてください 
V0000399450	図書館で料理の本を借りた。	としょかんでりょうりのほんをかりた 
V0000399451	彼は荷物をあみだなに上げた。	かれはにもつをあみだなにあげた 
V0000399452	この町には緑がたくさんあります。	このまちにはみどりがたくさんあります 
V0000399453	彼の腕は太い。	かれのうではふとい 
V0000399454	ドアを開けてください。	どあをあけてください 
V0000399455	教科書を閉じてください。	きょうかしょをとじてください 
V0000399456	時の経つのは早い。	ときのたつのははやい 
V0000399457	日本人はお米が大好きです。	にほんじんはおこめがだいすきです 
V0000399458	この紙を半分に切ってください。	このかみをはんぶんにきってください 
V0000399459	赤い線を2本引いて下さい。	あかいせんをにほんひいてください 
V0000399460	旅行の日程が決まりました。	りょこうのにっていがきまりました 
V0000399461	彼はとても楽しい人です。	かれはとてもたのしいひとです 
V0000399462	昨日、新しい服を買った。	きのうあたらしいふくをかった 
V0000399463	後ろを向いて。	うしろをむいて 
V0000399464	彼に会えて嬉しかった。	かれにあえてうれしかった 
V0000399465	昨日から腰が痛い。	きのうからこしがいたい 
V0000399466	日曜日は海に行きました。	にちようびはうみにいきました 
V0000399467	窓を開けてください。	まどをあけてください 
V0000399468	私は昼のドラマを毎日見ます。	わたしはひるのどらまをまいにちみます 
V0000399469	お母さんによろしくお伝えください。	おかあさんによろしくおつたえください 
V0000399470	彼は留学生です。	かれはりゅうがくせいです 
V0000399471	夏休みももう終わりだ。	なつやすみももうおわりだ 
V0000399472	彼女は背が高い。	かのじょはせがたかい 
V0000399473	私が手伝いましょう。	わたしがてつだいましょう 
V0000399474	鼻がかゆいです。	はながかゆいです 
V0000399475	近所で盗難事件が起きました。	きんじょでとうなんじけんがおきました 
V0000399476	このスープはとても熱い。	このすーぷはとてもあつい 
V0000399477	皿にケーキを乗せました。	さらにけーきをのせました 
V0000399478	その映画はとても悲しかった。	そのえいがはとてもかなしかった 
V0000399479	私は家族を愛しています。	わたしはかぞくをあいしています 
V0000399480	彼女はよくしゃべるね。	かのじょはよくしゃべるね 
V0000399481	私の家は駅の近くです。	わたしのいえはえきのちかくです 
V0000399482	このイチゴは甘い。	このいちごはあまい 
V0000399483	新しいテーブルを買いました。	あたらしいてーぶるをかいました 
V0000399484	日本の食べ物はとても美味しいです。	にっぽんのたべものはとてもおいしいです 
V0000399485	新しい仕事が始まりました。	あたらしいしごとがはじまりました 
V0000399486	私たちはビデオゲームをした。	わたしたちはびでおげーむをした 
V0000399487	その子は指で十数えました。	そのこはゆびでじゅうかぞえました 
V0000399488	今日はいい天気ですね。	きょうはいいてんきですね 
V0000399489	今日はとても暑い。	きょうはとてもあつい 
V0000399490	彼女は足が太い。	かのじょはあしがふとい 
V0000399491	晩ご飯は食べましたか。	ばんごはんはたべましたか 
V0000399492	土曜日の夜はクラブに行きます。	どようびのよるはくらぶにいきます 
V0000399493	彼は神を信じている。	かれはかみをしんじている 
V0000399494	今日は頭が痛いです。	きょうはあたまがいたいです 
V0000399495	お父さんは会社員です。	おとうさんはかいしゃいんです 
V0000399496	彼女は多分家で寝ています。	かのじょはたぶんいえでねています 
V0000399497	時計を見たらちょうど3時だった。	とけいをみたらちょうどさんじだった 
V0000399498	今日はこのホテルに泊まります。	きょうはこのほてるにとまります 
V0000399499	どうして泣いているの。	どうしてないているの 
V0000399500	夫の服をハンガーに掛けた。	おっとのふくをはんがーにかけた 
V0000399501	そこを左に曲がってください。	そこをひだりにまがってください 
V0000399502	おなかが空きました。	おなかがすきました 
V0000399503	ちゃんとドアを閉めてよ。	ちゃんとどあをしめてよ 
V0000399504	私はタバコが嫌いです。	わたしはたばこがきらいです 
V0000399505	金曜日の夜は友達と出かけます。	きんようびのよるはともだちとでかけます 
V0000399506	予約は要りません。	よやくはいりません 
V0000399507	ここには何も無い。	ここにはなにもない 
V0000399508	彼女に黄色いバラを買いました。	かのじょにきいろいばらをかいました 
V0000399509	私は風邪を引きました。	わたしはかぜをひきました 
V0000399510	彼はとても優しい人です。	かれはとてもやさしいひとです 
V0000399511	明日は晴れるといいですね。	あしたははれるといいですね 
V0000399512	私は犬が大好きだ。	わたしはいぬがだいすきだ 
V0000399513	彼女は茶色の靴を履いています。	かのじょはちゃいろのくつをはいています 
V0000399514	彼の部屋はとても汚い。	かれのへやはとてもきたない 
V0000399515	レストランは空いていました。	れすとらんはすいていました 
V0000399516	猫が屋根に上っている。	ねこがやねにのぼっている 
V0000399517	私はパンよりご飯が好きだ。	わたしはぱんよりごはんがすきだ 
V0000399518	私たちは先月11日に結婚しました。	わたしたちはせんげつじゅういちにちにけっこんしました 
V0000399519	髪の毛が伸びたね。	かみのけがのびたね 
V0000399520	電気をつけてください。	でんきをつけてください 
V0000399521	月曜日に会いましょう。	げつようびにあいましょう 
V0000399522	寒いので中に入ってください。	さむいのでなかにはいってください 
V0000399523	お名前を片仮名で書いてください。	おなまえをかたかなでかいてください 
V0000399524	今週は日本語のテストがあります。	こんしゅうはにほんごのてすとがあります 
V0000399525	32ページを開いてください。	さんじゅうにぺーじをひらいてください 
V0000399526	水を一杯ください。	みずをいっぱいください 
V0000399527	あれは何ですか。	あれはなんですか 
V0000399528	その人には二回会った。	そのひとにはにかいあった 
V0000399529	お店はもう閉まっていました。	おみせはもうしまっていました 
V0000399530	彼はシートベルトを締めた。	かれはしーとべるとをしめた 
V0000399531	ここの料理はまずい。	ここのりょうりはまずい 
V0000399532	私は平仮名を全部読めます。	わたしはひらがなをぜんぶよめます 
V0000399533	明日は昼頃から曇るでしょう。	あすはひるごろからくもるでしょう 
V0000399534	絵に触らないでください。	えにさわらないでください 
V0000399535	彼は駄目な男だ。	かれはだめなおとこだ 
V0000399536	この書類を書き直してください。	このしょるいをかきなおしてください 
V0000399537	何か飲み物が欲しいな。	なにかのみものがほしいな 
V0000399538	木曜日は仕事が休みです。	もくようびはしごとがやすみです 
V0000399539	曜日を間違えました。	ようびをまちがえました 
V0000399540	そばにいて下さい。	そばにいてください 
V0000399541	こっちに来て下さい。	こっちにきてください 
V0000399542	父さん、ありがとう。	とうさんありがとう 
V0000399543	火曜日に会議があります。	かようびにかいぎがあります 
V0000399544	喉が渇きました。	のどがかわきました 
V0000399545	彼女は三人の子供の母親だ。	かのじょはさんにんのこどものははおやだ 
V0000399546	水曜日はバイトがあります。	すいようびはばいとがあります 
V0000399547	ソフトクリームを二つください。	そふとくりーむをふたつください 
V0000399548	今晩のパーティーは何時からですか。	こんばんのぱーてぃーはなんじからですか 
V0000399549	千円貸してください。	せんえんかしてください 
V0000399550	息子は六つになりました。	むすこはむっつになりました 
V0000399551	六日前に日本に帰ってきました。	むいかまえににほんにかえってきました 
V0000399552	昨日、あなたのお姉さんに会ったよ。	きのうあなたのおねえさんにあったよ 
V0000399553	クーラーはまだ直りません。	くーらーはまだなおりません 
V0000399554	この問題はかなり易しいです。	このもんだいはかなりやさしいです 
V0000399555	彼はこの辺に住んでいます。	かれはこのへんにすんでいます 
V0000399556	彼女は眠いようです。	かのじょはねむいようです 
V0000399557	あなたのお兄さんは何歳?	あなたのおにいさんはなんさい 
V0000399558	彼は辛いものが好きです。	かれはからいものがすきです 
V0000399559	りんごを八個ください。	りんごをはちこください 
V0000399560	手紙が届くのに三日かかりました。	てがみがとどくのにみっかかかりました 
V0000399561	あそこにバス停があります。	あそこにばすていがあります 
V0000399562	彼は昼過ぎに来ます。	かれはひるすぎにきます 
V0000399563	その店の前で会いましょう。	そのみせのまえであいましょう 
V0000399564	五月五日は祝日です	ごがついつかはしゅくじつです 
V0000399565	プールは人で一杯です。	ぷーるはひとでいっぱいです 
V0000399566	野球は九人で1チームです。	やきゅうはきゅうにんでひとちーむです 
V0000399567	このぶどうは酸っぱいです。	このぶどうはすっぱいです 
V0000399568	答えが違います。	こたえがちがいます 
V0000399569	彼女は指が細いですね。	かのじょはゆびがほそいですね 
V0000399570	コップを三つ買いました。	こっぷをみっつかいました 
V0000399571	八日からイギリスに行きます。	ようかからいぎりすにいきます 
V0000399572	私の弟は高校生です。	わたしのおとうとはこうこうせいです 
V0000399573	妹は歌が上手です。	いもうとはうたがじょうずです 
V0000399574	今日は風が強い。	きょうはかぜがつよい 
V0000399575	バナナが七本あります。	ばなながななほんあります 
V0000399576	来月の二十日は弟の誕生日です。	らいげつのはつかはおとうとのたんじょうびです 
V0000399577	私は二日待った。	わたしはふつかまった 
V0000399578	私は腕時計を四つ持っています。	わたしはうでどけいをよっつもっています 
V0000399579	このコートはとても暖かい。	このこーとはとてもあたたかい 
V0000399580	私の机の上に書類がたくさん有ります。	わたしのつくえのうえにしょるいがたくさんあります 
V0000399581	彼女は良い友達です。	かのじょはいいともだちです 
V0000399582	桃を五つください。	ももをいつつください 
V0000399583	私の妹は小学生です。	わたしのいもうとはしょうがくせいです 
V0000399584	上を向いて。	うえをむいて 
V0000399585	動かないで。	うごかないで 
V0000399586	駅はどこですか。	えきはどこですか 
V0000399587	このケーキはおいしいね。	このけーきはおいしいね 
V0000399588	あの大きい建物は何ですか。	あのおおきいたてものはなんですか 
V0000399589	弟は野球が好きです。	おとうとはやきゅうがすきです 
V0000399590	男の人が私たちに話しかけた。	おとこのひとがわたしたちにはなしかけた 
V0000399591	お酒は大人になってから。	おさけはおとなになってから 
V0000399592	お願いがあります。	おねがいがあります 
V0000399593	店員は若い女の人でした。	てんいんはわかいおんなのひとでした 
V0000399594	これはかなり金がかかった。	これはかなりかねがかかった 
V0000399595	彼は私の上司です。	かれはわたしのじょうしです 
V0000399596	昨日、友達に会った。	きのうともだちにあった 
V0000399597	彼女はとても奇麗だ。	かのじょはとてもきれいだ 
V0000399598	口を大きく開けてください。	くちをおおきくあけてください 
V0000399599	五人で旅行に行きました。	ごにんでりょこうにいきました 
V0000399600	九日に荷物が届きます。	ここのかににもつがとどきます 
V0000399601	娘は明日九つになります。	むすめはあすここのつになります 
V0000399602	私の質問に答えてください。	わたしのしつもんにこたえてください 
V0000399603	お先にどうぞ。	おさきにどうぞ 
V0000399604	この部屋は寒いです。	このへやはさむいです 
V0000399605	四月に大学に入学しました。	しがつにだいがくににゅうがくしました 
V0000399606	財布は机の下にあった。	さいふはつくえのしたにあった 
V0000399607	大丈夫ですか。	だいじょうぶですか 
V0000399608	彼はかばんから教科書を出した。	かれはかばんからきょうかしょをだした 
V0000399609	小さい花が咲いています。	ちいさいはながさいています 
V0000399610	私は父が大好きです。	わたしはちちがだいすきです 
V0000399611	来月の一日は空いてますか。	らいげつのついたちはあいていますか 
V0000399612	今夜は月がとてもきれいです。	こんやはつきがとてもきれいです 
V0000399613	今日は妻の誕生日だ。	きょうはつまのたんじょうびだ 
V0000399614	冷たい飲み物をください。	つめたいのみものをください 
V0000399615	分かった人は手を上げてください。	わかったひとはてをあげてください 
V0000399616	十日後に帰ります。	とおかごにかえります 
V0000399617	彼は時々遅刻します。	かれはときどきちこくします 
V0000399618	私は夏が大好き。	わたしはなつがだいすき 
V0000399619	この子は今年七つになります。	このこはことしななつになります 
V0000399620	夕食には何を食べたいですか。	ゆうしょくにはなにをたべたいですか 
V0000399621	先月の七日に孫が生まれました。	せんげつのなのかにまごがうまれました 
V0000399622	昨日、母と話をしました。	きのうははとはなしをしました 
V0000399623	彼は優しい人です。	かれはやさしいひとです 
V0000399624	そこには私一人しかいなかった。	そこにはわたしひとりしかいなかった 
V0000399625	私の祖母は百才です。	わたしのそぼはひゃくさいです 
V0000399626	彼は私の方を見ました。	かれはわたしのほうをみました 
V0000399627	他に方法がありません。	ほかにほうほうがありません 
V0000399628	僕は学生です。	ぼくはがくせいです 
V0000399629	僕は新しい靴が欲しいです。	ぼくはあたらしいくつがほしいです 
V0000399630	この靴は1万円です。	このくつはいちまんえんです 
V0000399631	ここから富士山がよく見えます。	ここからふじさんがよくみえます 
V0000399632	私はこの店によく来ます。	わたしはこのみせによくきます 
V0000399633	この道を真っ直ぐ行くと駅です。	このみちをまっすぐいくとえきです 
V0000399634	彼女は青い目をしています。	かのじょはあおいめをしています 
V0000399635	あの家には時計が八つあります。	あのいえにはとけいがやっつあります 
V0000399636	話すのを止めてください。	はなすのをやめてください 
V0000399637	新学期は来月の四日からです。	しんがっきはらいげつのよっかからです 
V0000399638	きのうの夜は家にいました。	きのうのよるはいえにいました 
V0000399639	ハワイは四回目です。	はわいはよんかいめです 
V0000399640	来年一緒に旅行しましょう。	らいねんいっしょにりょこうしましょう 
V0000399641	彼には子供が六人います。	かれにはこどもがろくにんいます 
V0000399642	たばこは体に悪い。	たばこはからだにわるい 
V0000399643	お手洗いはどこですか。	おてあらいはどこですか 
V0000399644	ご主人はお元気ですか。	ごしゅじんはおげんきですか 
V0000399645	あなたが本当に好きです。	あなたがほんとうにすきです 
V0000399646	宿題は自分でやりなさい。	しゅくだいはじぶんでやりなさい 
V0000399647	柿の木に実がたくさんなっています。	かきのきにみがたくさんなっています 
V0000399648	これは医者のためのサイトです。	これはいしゃのためのさいとです 
V0000399649	カレーライスは700円です。	かれーらいすはななひゃくえんです 
V0000399650	分からない場合は私に聞いてください。	わからないばあいはわたしにきいてください 
V0000399651	明日、会社を休みます。	あしたかいしゃをやすみます 
V0000399652	メガネが見つかりません。	めがねがみつかりません 
V0000399653	問題が一つあります。	もんだいがひとつあります 
V0000399654	ダムの開発に住民は反対しています。	だむのかいはつにじゅうみんははんたいしています 
V0000399655	その事件の犯人はまだ捕まっていない。	そのじけんのはんにんはまだつかまっていない 
V0000399656	私にはたくさんのお金が必要だ。	わたしにはたくさんのおかねがひつようだ 
V0000399657	彼女はアメリカの企業で働いています。	かのじょはあめりかのきぎょうではたらいています 
V0000399658	その会社は来月、キャンペーンを行う。	そのかいしゃはらいげつきゃんぺーんをおこなう 
V0000399659	現在の気温は30度です。	げんざいのきおんはさんじゅうどです 
V0000399660	私はよく図書館を利用します。	わたしはよくとしょかんをりようします 
V0000399661	今の首相はあまり力がない。	いまのしゅしょうはあまりちからがない 
V0000399662	この車はよく持っているね。	このくるまはよくもっているね 
V0000399663	そのデモについて政府は何もしなかった。	そのでもについてせいふはなにもしなかった 
V0000399664	合格者が発表された。	ごうかくしゃがはっぴょうされた 
V0000399665	電車のドアが開きました。	でんしゃのどあがあきました 
V0000399666	彼は就職試験を受けた。	かれはしゅうしょくしけんをうけた 
V0000399667	これから、より一層努力します。	これからよりいっそうどりょくします 
V0000399668	昨年は地震が多い年でした。	さくねんはじしんがおおいとしでした 
V0000399669	学生たちはインターネットでいろいろな情報を集めた。	がくせいたちはいんたーねっとでいろいろなじょうほうをあつめた 
V0000399670	彼は新製品に興味を示している。	かれはしんせいひんにきょうみをしめしている 
V0000399671	新しいビルの建設が始まった。	あたらしいびるのけんせつがはじまった 
V0000399672	前売券は窓口で販売しています。	まえうりけんはまどぐちではんばいしています 
V0000399673	けがはもう治りましたか。	けがはもうなおりましたか 
V0000399674	このソフトにはいろいろな機能があります。	このそふとにはいろいろなきのうがあります 
V0000399675	彼は何年も地震の研究をしている。	かれはなんねんもじしんのけんきゅうをしている 
V0000399676	ここは一方通行です。	ここはいっぽうつうこうです 
V0000399677	この服は300ドルしました。	このふくはさんびゃくどるしました 
