V0000345781	中止？私は何も聞いてないぞ。 
V0000345831	運転しながら、携帯で話しているの？違法だよ。つかまるよ。	
V0000345832	運転しながら、携帯で話しているの？違法だよ。つかまるよ。 
V0000345833	大丈夫だよ。つかまらないよ。	
V0000345834	大丈夫だよ。つかまらないよ。 
V0000345835	それよりも、命の問題でしょう。	
V0000345836	それよりも、命の問題でしょう。 
V0000345837	昇進
V0000345838	熱心
V0000345839	一生懸命
V0000345840	働く
V0000345841	決まる
V0000345842	降格
V0000345843	決まり
V0000345844	今度の昇進についてですが、誰がいいですかね。	
V0000345845	今度の昇進についてですが、誰がいいですかね。 
V0000345846	山田さんはどうですか。	
V0000345847	山田さんはどうですか。 
V0000345848	そうですね。彼がいいです。	
V0000345849	そうですね。彼がいいです。 
V0000345850	セールス
V0000345851	覗き
V0000345852	文句
V0000345853	覗き窓
V0000345854	ビデオ付インターホン
V0000345855	口説く
V0000345856	口説き文句
V0000345857	はい、ちょっと待ってください。誰かな？	
V0000345858	はい、ちょっと待ってください。誰かな？ 
V0000345859	セールスの人だろう。	
V0000345860	セールスの人だろう。 
V0000345861	セールスの人？ちょっと覗き窓から見えるかな。	
V0000345862	セールスの人？ちょっと覗き窓から見えるかな。 
P0000150311	隣の人？
P0000150311	出なくていいよ。きっと文句を言いに来たんだ。	
P0000150312	隣の人？
P0000150312	出なくていいよ。きっと文句を言いに来たんだ。 
V0000345863	そうかな？何かくつを持ってるよ。あれ君のじゃないの？	
V0000345864	そうかな？何かくつを持ってるよ。あれ君のじゃないの？ 
V0000345865	進路
V0000345866	決定
V0000345867	留学
V0000345868	決定する
V0000345869	来年
V0000345870	卒業
V0000345871	君は来年卒業だね。	
V0000345872	君は来年卒業だね。 
V0000345873	はい、そうです。	
V0000345874	はい、そうです。 
V0000345875	進路はどうする？	
V0000345876	進路はどうする？ 
V0000345877	まだ決定ではないのですが、アメリカへ行こうと思っています。	
V0000345878	まだ決定ではないのですが、アメリカへ行こうと思っています。 
V0000345879	アメリカか。私もアメリカに留学したことがある。	
V0000345880	アメリカか。私もアメリカに留学したことがある。 
V0000345881	ニューヨークへ行こうと思っています。	
V0000345882	ニューヨークへ行こうと思っています。 
V0000345883	ニューヨークもいいね。頑張って。	
V0000345884	ニューヨークもいいね。頑張って。 
V0000345885	夫妻
V0000345886	スポーツセンター
V0000345887	サスペンス
V0000345888	小説
V0000345889	手料理
V0000345890	一冊
V0000345891	野村夫妻、週末に何をしますか。	
V0000345892	野村夫妻、週末に何をしますか。 
V0000345893	私は読むのが好きです。週末に本を一冊読みます。サスペンス小説が好きです。	
V0000345894	私は読むのが好きです。週末に本を一冊読みます。サスペンス小説が好きです。 
V0000345895	私は運動するのが好きです。土曜日と日曜日にスポーツセンターへ行きます。	
V0000345896	私は運動するのが好きです。土曜日と日曜日にスポーツセンターへ行きます。 
V0000345897	私は料理するのも好きです。日曜日の夜に料理を作ります。	
V0000345898	私は料理するのも好きです。日曜日の夜に料理を作ります。 
V0000345899	彼の手料理がとても好きです。	
V0000345900	彼の手料理がとても好きです。 
V0000345901	裏表
V0000345902	謝る
V0000345903	謝り
V0000345904	逆に
V0000345905	逆
V0000345906	はい、どうぞ。お入りください。	
V0000345907	はい、どうぞ。お入りください。 
V0000345908	お邪魔します。	
V0000345909	お邪魔します。 
V0000345910	すみませんでした。友達の態度はとても悪かったです。申し訳ございません。	
V0000345911	すみませんでした。友達の態度はとても悪かったです。申し訳ございません。 
V0000345912	ええ、どういうことですか。	
V0000345913	ええ、どういうことですか。 
V0000345914	私の友達はひどかったでしょう。彼には裏表があります。	
V0000345915	私の友達はひどかったでしょう。彼には裏表があります。 
V0000345916	ええ、すみません。何を言っているのか、よくわかりません。	
V0000345917	ええ、すみません。何を言っているのか、よくわかりません。 
V0000345918	ええ
V0000345919	ええ
V0000345920	その人はあなたの友達でしょう。	
V0000345921	その人はあなたの友達でしょう。 
V0000345922	はい、そうです。	
V0000345923	はい、そうです。 
V0000345924	彼はとても優しかったですよ。逆に私が悪かったです。謝りに来ました。	
V0000345925	彼はとても優しかったですよ。逆に私が悪かったです。謝りに来ました。 
V0000345926	たけが
V0000345927	たけが
V0000345928	番号カード
V0000345929	契約
V0000345930	サインする
V0000345931	サイン
V0000345932	料金
V0000345933	基本
V0000345934	基本料金
V0000345935	不満
V0000345936	解約
V0000345937	満足
V0000345938	いらっしゃいませ。番号カードをお取りください。	
V0000345939	いらっしゃいませ。番号カードをお取りください。 
V0000345940	６３番の方。	
V0000345941	６３番の方。 
V0000345942	解約をお願いします。	
V0000345943	解約をお願いします。 
V0000345944	解約ですか。ご不満の点がありましたか？	
V0000345945	解約ですか。ご不満の点がありましたか？ 
V0000345946	電話はあまり使わないし。基本料金は高いし。	
V0000345947	電話はあまり使わないし。基本料金は高いし。 
V0000345948	はい、かしこまりました。少々お待ち下さい
V0000345949	はい、かしこまりました。少々お待ち下さい
V0000345950	どうもありがとうございました。	
V0000345951	どうもありがとうございました。 
V0000345952	お片付け
V0000345953	片付ける
V0000345954	懐かしい
V0000345955	全部
V0000345956	紫
V0000345957	青
V0000345958	水色
V0000345959	緑
V0000345960	黄緑
V0000345961	黄色
V0000345962	オレンジ
V0000345963	桃色
V0000345964	赤
V0000345965	茶色
V0000345966	黒
V0000345967	灰色
V0000345968	白
V0000345969	色鉛筆
V0000345970	お昼寝
V0000345971	皆さん、おかたづけの時間ですよ。	
V0000345972	皆さん、おかたづけの時間ですよ。 
V0000345973	おかたづけ嫌い！	
V0000345974	おかたづけ嫌い！ 
V0000345975	色鉛筆の箱はどこ？	
V0000345976	色鉛筆の箱はどこ？ 
V0000345977	ここだよ。色鉛筆は？	
V0000345978	ここだよ。色鉛筆は？ 
V0000345979	ここにあるよ。「白」「灰色」「黒」「茶色」「赤」「桃色」「オレンジ」があるよ。	
V0000345980	ここにあるよ。「白」「灰色」「黒」「茶色」「赤」「桃色」「オレンジ」があるよ。 
V0000345981	ここにもあるよ。「黄色」「黄緑」「緑」「水色」「青」「紫」がある。	
V0000345982	ここにもあるよ。「黄色」「黄緑」「緑」「水色」「青」「紫」がある。 
V0000345983	これで全部。	
V0000345984	これで全部。 
V0000345985	ファン
V0000345986	変わっている
V0000345987	先ほど
V0000345988	現れる
V0000345989	埋め合わせ
V0000345990	バンド
V0000345991	ライブ
V0000345992	乱暴
V0000345993	喜んで
V0000345994	はい、忘れ物ですが。	
V0000345995	はい、忘れ物ですが。 
V0000345996	すみません。どうもありがとうございます。	
V0000345997	すみません。どうもありがとうございます。 
V0000345998	先ほどはすみませんでした。変わっているファンが多くて。知らない人が現れて、つまり、ごめんなさい。	
V0000345999	先ほどはすみませんでした。変わっているファンが多くて。知らない人が現れて、つまり、ごめんなさい。 
V0000346000	いいえ、こちらこそ。乱暴にドアを叩いて申し訳ございません。	
V0000346001	いいえ、こちらこそ。乱暴にドアを叩いて申し訳ございません。 
V0000346002	今夜埋め合わせをします。あたしが聴いていた音楽が好きって言ってましたよね。	
V0000346003	今夜埋め合わせをします。あたしが聴いていた音楽が好きって言ってましたよね。 
V0000346004	はい、そうです。	
V0000346005	はい、そうです。 
V0000346006	は！	
V0000346007	は！ 
V0000346008	今夜あのバンドのライブに行こうと思っていますが、一緒に行きませんか。	
V0000346009	今夜あのバンドのライブに行こうと思っていますが、一緒に行きませんか。 
V0000346010	うそ！	
V0000346011	うそ！ 
V0000346012	喜んで！	
V0000346013	喜んで！ 
V0000346014	じゃ、今夜８時に渋谷で。では、お邪魔しました。	
V0000346015	じゃ、今夜８時に渋谷で。では、お邪魔しました。 
V0000346016	だます
V0000346017	芸能人
V0000346018	信じる
V0000346019	無理
V0000346020	貸す
V0000346021	渋谷
V0000346022	送る
V0000346023	信じられない！よくもだましたな。	
V0000346024	信じられない！よくもだましたな。 
V0000346025	ごめん。なんで芸能人って言わなかったの！俺はびっくりしたよ。	
V0000346026	ごめん。なんで芸能人って言わなかったの！俺はびっくりしたよ。 
V0000346027	俺だって！俺もびっくりした。	
V0000346028	俺だって！俺もびっくりした。 
V0000346029	ところで、今夜車を貸してもらえる？	
V0000346030	ところで、今夜車を貸してもらえる？ 
V0000346031	それは無理だ。貸してあげられないけど、渋谷まで送ってあげる。	
V0000346032	それは無理だ。貸してあげられないけど、渋谷まで送ってあげる。 
V0000346033	悪いね。ありがとう。	
V0000346034	悪いね。ありがとう。 
V0000346035	美味い
V0000346036	太る
V0000346037	痩せる
V0000346038	生きる
V0000346039	自由
V0000346040	自由に
V0000346041	結婚
V0000346042	だめよ。知らない人と話してはいけません。	
V0000346043	だめよ。知らない人と話してはいけません。 
V0000346044	はい、はい。あっ、うまそう！食べたい。	
V0000346045	はい、はい。あっ、うまそう！食べたい。 
V0000346046	だめよ。太るわ。今食べてはいけません。	
V0000346047	だめよ。太るわ。今食べてはいけません。 
V0000346048	なんで！僕は子供じゃない！自由に生きたい。	
V0000346049	なんで！僕は子供じゃない！自由に生きたい。 
V0000346050	だめよ。自由に生きてはいけません。あなたは私と結婚してるんだから。	
V0000346051	だめよ。自由に生きてはいけません。あなたは私と結婚してるんだから。 
V0000346052	案内
V0000346053	一零四
V0000346054	赤坂
V0000346055	ジャパニーズポッド101
V0000346056	お問い合わせ
V0000346057	番号
V0000346058	はい、104「いちれいよん」の堺です。	
V0000346059	はい、104「いちれいよん」の堺です。 
V0000346060	赤坂のジャパニーズポッド１０１をお願いします。	
V0000346061	赤坂のジャパニーズポッド１０１をお願いします。 
V0000346062	はい、ご案内します。ありがとうございました。	
V0000346063	はい、ご案内します。ありがとうございました。 
V0000346064	お問い合わせの番号は０３の２３４２の８９２３です。ありがとうございました。	
V0000346065	お問い合わせの番号は０３の２３４２の８９２３です。ありがとうございました。 
V0000346066	電話番号
V0000346067	女性
V0000346068	駄目
V0000346069	待つ
V0000346070	絶対
V0000346071	どれぐらい
V0000346072	二週間
V0000346073	預かる
V0000346074	その電話番号どうしたの？	
V0000346075	その電話番号どうしたの？ 
V0000346076	昨日会った女性に電話する。	
V0000346077	昨日会った女性に電話する。 
V0000346078	駄目だよ。早すぎるよ。待ったほうがいいよ。	
V0000346079	駄目だよ。早すぎるよ。待ったほうがいいよ。 
V0000346080	早すぎる？	
V0000346081	早すぎる？ 
V0000346082	うん、絶対待った方がいいよ。	
V0000346083	うん、絶対待った方がいいよ。 
V0000346084	どれぐらい？	
V0000346085	どれぐらい？ 
V0000346086	二週間でいいよ。あっ、友達だから、その番号を預かるよ。じゃあね。	
V0000346087	二週間でいいよ。あっ、友達だから、その番号を預かるよ。じゃあね。 
V0000346088	二人の会話
V0000346089	聞こえる
V0000346090	アドバイス
V0000346091	自分の心
V0000346092	さっき
V0000346093	ほら
V0000346094	受ける
V0000346095	気を付ける
V0000346096	すみません。二人の会話が聞こえましたが、あの人は友達ですか。	
V0000346097	すみません。二人の会話が聞こえましたが、あの人は友達ですか。 
V0000346098	はい、そうです。何でですか。	
V0000346099	はい、そうです。何でですか。 
V0000346100	彼のアドバイスはよくないと思います。	
V0000346101	彼のアドバイスはよくないと思います。 
V0000346102	よくないですか。	
V0000346103	よくないですか。 
V0000346104	そうですよ。彼のアドバイスを聞かないほうがいいです。自分の心に聞いたほうがいいですよ。さっきの人、彼女がいないでしょう？	
V0000346105	そうですよ。彼のアドバイスを聞かないほうがいいです。自分の心に聞いたほうがいいですよ。さっきの人、彼女がいないでしょう？ 
V0000346106	まあ
V0000346107	まあ
V0000346108	ほら、アドバイスを受ける時は気をつけたほうがいいですよ。彼女に電話して。	
V0000346109	ほら、アドバイスを受ける時は気をつけたほうがいいですよ。彼女に電話して。 
V0000346110	わかりました。	
V0000346111	わかりました。 
V0000346112	立ち上がる
V0000346113	ブラウザ
V0000346114	じゃらん
V0000346115	ホームページ
V0000346116	オッケー
V0000346117	新潟
V0000346118	朝飯付き
V0000346119	禁止
V0000346120	違う
V0000346121	立ち上がったよ。	
V0000346122	立ち上がったよ。 
V0000346123	じゃ、ブラウザを開いて、じゃらんのホームページに行って。	
V0000346124	じゃ、ブラウザを開いて、じゃらんのホームページに行って。 
V0000346125	はい、オッケー。	
V0000346126	はい、オッケー。 
P0000150313	じゃ、新潟のホテルを見て、すぐ行く
P0000150313	どう？	
P0000150314	じゃ、新潟のホテルを見て、すぐ行く
P0000150314	どう？ 
V0000346127	いいところがあった。	
V0000346128	いいところがあった。 
V0000346129	いいね。ここがよさそうだ。安くて、朝飯付き。決まり。	
V0000346130	いいね。ここがよさそうだ。安くて、朝飯付き。決まり。 
V0000346131	よかった。	
V0000346132	よかった。 
V0000346133	ああ、だめだ。犬は禁止だ。	
V0000346134	ああ、だめだ。犬は禁止だ。 
V0000346135	そうね。じゃ、違うところを探そう。	
V0000346136	そうね。じゃ、違うところを探そう。 
V0000346137	正直
V0000346138	花瓶
V0000346139	壊れる
V0000346140	壊す
V0000346141	嘘
V0000346142	犯人
V0000346143	許す
V0000346144	つぶる
V0000346145	只今！	
V0000346146	只今！ 
V0000346147	お帰り。	
V0000346148	お帰り。 
V0000346149	あれ！ママの大好きな花瓶が壊れている！うそ！けんじくん。	
V0000346150	あれ！ママの大好きな花瓶が壊れている！うそ！けんじくん。 
V0000346151	はい。	
V0000346152	はい。 
V0000346153	誰が私の花瓶を壊したの？	
V0000346154	誰が私の花瓶を壊したの？ 
V0000346155	僕じゃない。家の猫が壊した。	
V0000346156	僕じゃない。家の猫が壊した。 
V0000346157	けんじくん。	
V0000346158	けんじくん。 
V0000346159	はい、ごめんなさい。犯人は僕です。許してください。	
V0000346160	はい、ごめんなさい。犯人は僕です。許してください。 
V0000346161	わかった。わかった。今回の嘘は目をつぶってあげるけど、これからは正直に言うのよ。	
V0000346162	わかった。わかった。今回の嘘は目をつぶってあげるけど、これからは正直に言うのよ。 
V0000346163	わかった。	
V0000346164	わかった。 
V0000346165	東京ドーム
V0000346166	イベント
V0000346167	虫
V0000346168	集める
V0000346169	集まる
V0000346170	昆虫採集
V0000346171	昆虫
V0000346172	採集
V0000346173	今日は何でこんなに電車がこんでいるの？	
V0000346174	今日は何でこんなに電車がこんでいるの？ 
V0000346175	ああそうだ。今日東京ドームでイベントがある。	
V0000346176	ああそうだ。今日東京ドームでイベントがある。 
V0000346177	何のイベント？	
V0000346178	何のイベント？ 
V0000346179	ああ、なんだっけ？あの、虫を集めること。ああ、思い出せない！	
V0000346180	ああ、なんだっけ？あの、虫を集めること。ああ、思い出せない！ 
V0000346181	虫を集めること？	
V0000346182	虫を集めること？ 
V0000346183	そう。虫を集める人が東京ドームに集まるイベント。	
V0000346184	そう。虫を集める人が東京ドームに集まるイベント。 
V0000346185	虫を集める人が東京ドームに集まる？	
V0000346186	虫を集める人が東京ドームに集まる？ 
V0000346187	何て言うんだっけ？わかるでしょ。ほら、あれ、あれ。	
V0000346188	何て言うんだっけ？わかるでしょ。ほら、あれ、あれ。 
V0000346189	昆虫採集でしょう。	
V0000346190	昆虫採集でしょう。 
V0000346191	あ、そうだ。すいません。ありがとうございます。	
V0000346192	あ、そうだ。すいません。ありがとうございます。 
V0000346193	注文
V0000346194	激辛
V0000346195	かなり
V0000346196	弱い
V0000346197	普通
V0000346198	お客さん
V0000346199	すみません。注文お願いします。	
V0000346200	すみません。注文お願いします。 
V0000346201	はい、かしこまりました。	
V0000346202	はい、かしこまりました。 
V0000346203	マーポー豆腐お願いします。	
V0000346204	マーポー豆腐お願いします。 
V0000346205	辛さはどうしますか。	
V0000346206	辛さはどうしますか。 
V0000346207	そうですね。激辛お願いします。	
V0000346208	そうですね。激辛お願いします。 
V0000346209	激辛ですか？かなり辛いですよ。辛いものは大丈夫ですか。	
V0000346210	激辛ですか？かなり辛いですよ。辛いものは大丈夫ですか。 
V0000346211	辛いものにはちょっと弱いですが。	
V0000346212	辛いものにはちょっと弱いですが。 
V0000346213	普通の辛さがいいと思います。激辛はお客さんには辛すぎるかもしれません。	
V0000346214	普通の辛さがいいと思います。激辛はお客さんには辛すぎるかもしれません。 
V0000346215	はい、普通でお願いします。	
V0000346216	はい、普通でお願いします。 
V0000346217	警備
V0000346218	鳴らす
V0000346219	確認
V0000346220	商店
V0000346221	初日
V0000346222	泥棒
V0000346223	落ち着く
V0000346224	ブザー
V0000346225	防犯
V0000346226	鳴る
V0000346227	防犯ブザーがなっています！どうしょう！皆さん！ブザーがなっています！	
V0000346228	防犯ブザーがなっています！どうしょう！皆さん！ブザーがなっています！ 
V0000346229	落ち着いてよ。	
V0000346230	落ち着いてよ。 
V0000346231	泥棒かもしれない。	
V0000346232	泥棒かもしれない。 
V0000346233	君はいつからこの仕事に入った？	
V0000346234	君はいつからこの仕事に入った？ 
V0000346235	今日は初日ですが。	
V0000346236	今日は初日ですが。 
V0000346237	なるほど。普段は泥棒じゃない。よく風とか動物とかブザーを鳴らすんだ。今回もそれが原因だろう。ちょっと見せて。	
V0000346238	なるほど。普段は泥棒じゃない。よく風とか動物とかブザーを鳴らすんだ。今回もそれが原因だろう。ちょっと見せて。 
V0000346239	どうなっている？	
V0000346240	どうなっている？ 
V0000346241	やっぱり。また小林商店だ。	
V0000346242	やっぱり。また小林商店だ。 
V0000346243	また！まったく。	
V0000346244	また！まったく。 
V0000346245	小林商店って。	
V0000346246	小林商店って。 
V0000346247	小林商店に犬がいる。あの犬はよく防犯ブザーを鳴らす。今回もあの犬だろう。じゃ、一緒に確認しに行こう。	
V0000346248	小林商店に犬がいる。あの犬はよく防犯ブザーを鳴らす。今回もあの犬だろう。じゃ、一緒に確認しに行こう。 
V0000346249	はい、わかりました。	
V0000346250	はい、わかりました。 
V0000346251	行きます
V0000346252	中央
V0000346253	迷惑
V0000346254	暗証番号
V0000346255	私が先に行きます。失礼します。	
V0000346256	私が先に行きます。失礼します。 
V0000346257	あら、やっぱり来てくれましたね。	
V0000346258	あら、やっぱり来てくれましたね。 
V0000346259	誰が来たの？	
V0000346260	誰が来たの？ 
V0000346261	警備さんよ。格好いい警備さんが来てくれましたよ。	
V0000346262	警備さんよ。格好いい警備さんが来てくれましたよ。 
V0000346263	中央警備の高橋と申します。お忙しいところ、もうしわけございません。	
V0000346264	中央警備の高橋と申します。お忙しいところ、もうしわけございません。 
V0000346265	いいえ、いいえ。来てくれてよかったです。安心できます。こんなにいい警備会社がついていて、よかったです。	
V0000346266	いいえ、いいえ。来てくれてよかったです。安心できます。こんなにいい警備会社がついていて、よかったです。 
V0000346267	ありがとうございます。	
V0000346268	ありがとうございます。 
V0000346269	ああ、素敵ですね。初めまして。小林えりこと申します。宜しくお願いします。	
V0000346270	ああ、素敵ですね。初めまして。小林えりこと申します。宜しくお願いします。 
V0000346271	ありがとうございます。どうも。高橋と申します。	
V0000346272	ありがとうございます。どうも。高橋と申します。 
V0000346273	高橋さん、ご迷惑をかけてしまいましてもうしわけございません。私が防犯ブザーを鳴らしてしまいました。暗証番号を忘れてしまったので、消せないんです。	
V0000346274	高橋さん、ご迷惑をかけてしまいましてもうしわけございません。私が防犯ブザーを鳴らしてしまいました。暗証番号を忘れてしまったので、消せないんです。 
V0000346275	大丈夫です。すぐ消します！	
V0000346276	大丈夫です。すぐ消します！ 
V0000346277	ありがとうございます！	
V0000346278	ありがとうございます！ 
V0000346279	では、失礼します。	
V0000346280	では、失礼します。 
V0000346281	さようなら。	
V0000346282	さようなら。 
V0000346283	一緒に
V0000346284	晩ご飯
V0000346285	声
V0000346286	低い
V0000346287	公園
V0000346288	散歩
V0000346289	明子さん、やあ、こんにちは！元気ですか。ああ、よかった！あの、今週の金曜日なんですが、もしよかったら一緒に晩ご飯を食べませんか。	
V0000346290	明子さん、やあ、こんにちは！元気ですか。ああ、よかった！あの、今週の金曜日なんですが、もしよかったら一緒に晩ご飯を食べませんか。 
V0000346291	ははははは！お兄さんは馬鹿ね。	
V0000346292	ははははは！お兄さんは馬鹿ね。 
V0000346293	こら！いつから聞いてた！	
V0000346294	こら！いつから聞いてた！ 
V0000346295	もしよかったら、もしよかったら、明子さん、あたしの馬鹿なお兄さんと付き合ってあげて。ははははは！	
V0000346296	もしよかったら、もしよかったら、明子さん、あたしの馬鹿なお兄さんと付き合ってあげて。ははははは！ 
V0000346297	そんなに
V0000346298	だまされる
V0000346299	亡くなる
V0000346300	奥さん
V0000346301	優しい
V0000346302	すべて
V0000346303	はじめて
V0000346304	鳴らす
V0000346305	やっぱり
V0000346306	早い
V0000346307	警察
V0000346308	はやかったな〜。なんでそんなに早いんだ？	
V0000346309	はやかったな〜。なんでそんなに早いんだ？ 
V0000346310	問題なかったからですよ。	
V0000346311	問題なかったからですよ。 
V0000346312	よかった！やっぱりあの犬だよね。	
V0000346313	よかった！やっぱりあの犬だよね。 
V0000346314	いいえ。今回は小林さんが鳴らしてしまいました。	
V0000346315	いいえ。今回は小林さんが鳴らしてしまいました。 
V0000346316	ああ、そう？それははじめてだね。すべてチェックした？	
V0000346317	ああ、そう？それははじめてだね。すべてチェックした？ 
V0000346318	もちろん！とても楽しかったです。	
V0000346319	もちろん！とても楽しかったです。 
V0000346320	楽しい？	
V0000346321	楽しい？ 
V0000346322	うん、小林さんはとても優しい人でした。	
V0000346323	うん、小林さんはとても優しい人でした。 
V0000346324	そう？小林さんは去年奥さんがなくなってから、ちょっと冷たくなってきたけど。	
V0000346325	そう？小林さんは去年奥さんがなくなってから、ちょっと冷たくなってきたけど。 
V0000346326	ちょっと待って！何だって？彼の奥さんは去年なくなった？	
V0000346327	ちょっと待って！何だって？彼の奥さんは去年なくなった？ 
V0000346328	うん、何で知ってる？	
V0000346329	うん、何で知ってる？ 
V0000346330	おはよう。今日の調子はどうですか。	
V0000346331	おはよう。今日の調子はどうですか。 
V0000346332	今日は最悪です。	
V0000346333	今日は最悪です。 
V0000346334	どうしたんですか。	
V0000346335	どうしたんですか。 
V0000346336	今朝５時にカラスに起こされてから眠れないし、	
V0000346337	今朝５時にカラスに起こされてから眠れないし、 
V0000346338	まあでも、今朝の会議の発表が終わったら、もう心配ないね。もう少しだよ。	
V0000346339	まあでも、今朝の会議の発表が終わったら、もう心配ないね。もう少しだよ。 
V0000346340	轢く
V0000346341	骨折
V0000346342	次々
V0000346343	全員
V0000346344	暴走族
V0000346345	また怪我したの？足はどうしたの？	
V0000346346	また怪我したの？足はどうしたの？ 
V0000346347	今朝、自転車に乗っていて、車に轢かれて骨折したのよ。	
V0000346348	今朝、自転車に乗っていて、車に轢かれて骨折したのよ。 
V0000346349	一台だけ？僕は昔暴走族に次々に轢かれたことがあるよ。	
V0000346350	一台だけ？僕は昔暴走族に次々に轢かれたことがあるよ。 
V0000346351	え～、一台だけじゃないの？	
V0000346352	え～、一台だけじゃないの？ 
V0000346353	いいえ、違います。全員でございます。	
V0000346354	いいえ、違います。全員でございます。 
V0000346355	じゃ、あなたの勝ちですね。	
V0000346356	じゃ、あなたの勝ちですね。 
V0000346357	ありがとうございます。	
V0000346358	ありがとうございます。 
V0000346359	でも、ある日ね。。。	
V0000346360	でも、ある日ね。。。 
V0000346361	貸す
V0000346362	卒業
V0000346363	高校
V0000346364	文法
V0000346365	違う
V0000346366	同じ
V0000346367	玉蜀黍
V0000346368	カラス
V0000346369	目的
V0000346370	怖い
V0000346371	かかし
V0000346372	立てる
V0000346373	全部
V0000346374	ね、宏、パパに手を貸して。	
V0000346375	ね、宏、パパに手を貸して。 
V0000346376	パパは何してる？	
V0000346377	パパは何してる？ 
V0000346378	かかしを立ててる。	
V0000346379	かかしを立ててる。 
V0000346380	やだ！そのかかしが怖い〜。	
V0000346381	やだ！そのかかしが怖い〜。 
V0000346382	それが目的だよ。怖くないとカラスにとうもろこしを食べられるよ。	
V0000346383	それが目的だよ。怖くないとカラスにとうもろこしを食べられるよ。 
V0000346384	カラスがとうもろこしを食べる？	
V0000346385	カラスがとうもろこしを食べる？ 
V0000346386	そうだよ。全部！だから、このかかしがある。	
V0000346387	そうだよ。全部！だから、このかかしがある。 
V0000346388	ね、パパ、カラスにとうもろこしを食べられるとカラスがとうもろこしを食べる。。。同じことを言ってるね。	
V0000346389	ね、パパ、カラスにとうもろこしを食べられるとカラスがとうもろこしを食べる。。。同じことを言ってるね。 
V0000346390	そうだ。	
V0000346391	そうだ。 
V0000346392	何が違う？	
V0000346393	何が違う？ 
V0000346394	文法。	
V0000346395	文法。 
V0000346396	文法って何？	
V0000346397	文法って何？ 
V0000346398	文法ってパパが高校卒業できないように、作られたものさ。	
V0000346399	文法ってパパが高校卒業できないように、作られたものさ。 
V0000346400	大尉
V0000346401	直接
V0000346402	戻る
V0000346403	両方
V0000346404	あるいは
V0000346405	見返す
V0000346406	了解
V0000346407	見張る
V0000346408	敵
V0000346409	命令
V0000346410	説明する
V0000346411	大尉、命令を待っています。	
V0000346412	大尉、命令を待っています。 
V0000346413	敵をそのまま見張って下さい。	
V0000346414	敵をそのまま見張って下さい。 
V0000346415	はい、了解！	
V0000346416	はい、了解！ 
V0000346417	ね、大尉、敵に見られてますけど。どうします？	
V0000346418	ね、大尉、敵に見られてますけど。どうします？ 
V0000346419	じゃあ、見返せば？	
V0000346420	じゃあ、見返せば？ 
V0000346421	あれ、大尉は見ないんですか。	
V0000346422	あれ、大尉は見ないんですか。 
V0000346423	あ。どうしよう？あ、今マージャンで忙しいから。後で。	
V0000346424	あ。どうしよう？あ、今マージャンで忙しいから。後で。 
V0000346425	大尉！大変です！今敵に見られています！命令を！	
V0000346426	大尉！大変です！今敵に見られています！命令を！ 
V0000346427	ちょっと待って。今見てる方あるいは見られてる方？	
V0000346428	ちょっと待って。今見てる方あるいは見られてる方？ 
V0000346429	両方です！	
V0000346430	両方です！ 
V0000346431	両方？どういうこと？	
V0000346432	両方？どういうこと？ 
V0000346433	敵を見てるけど、敵に見られてます！	
