V0000278412	メアリーさん、週末はたいてい何をしますか。	メアリーさん、しゅうまつはたいていなにをしますか 
V0000278447	食堂に行って、昼ごはんを食べましょう。	しょくどうにいって、ひるごはんをたべましょう 
V0000278448	このバスは市民病院へ行きますか。	このバスはしみんびょういんへいきますか 
V0000278449	荷物を持ちましょうか。	にもつをもちましょうか 
V0000278450	今晩勉強します。あしたテストがありますから。	こんばんべんきょうします。あしたテストがありますから。 
V0000278451	バスに乗りましょう。タクシーは高いですから。	バスにのりましょう。タクシーはたかいですから 
V0000278452	郵便局はどこですか。	ゆうびんきょくはどこですか 
V0000278453	まっすぐ行って、三つ目の角を右に曲がってください。郵便局は道の右側にありますよ。	まっすぐいって、みっつめのかどをみぎにまがってください。ゆうびんきょくはみちのみぎがわにありますよう 
V0000278454	一つ目の信号を右に曲がる。	ひとつめのしんごうをみぎにまがる 
V0000278455	二つ目の角を左に曲がる。	ふたつめのかどひだりにまがる 
V0000278456	これはスーさんの家族の写真ですか。	これはスーさんのかぞくのしゃしんですか 
V0000278457	背が高くて、ハンサムですね。	せがたかくて、ハンサムですね 
V0000278458	これはお姉さんですか。	これはおねえさんですか 
V0000278459	姉は結婚していです。今ソウルに住んでいます。子供が一人います。三歳です。	あねはけっこんしています。いまソウルにすんでいます。こどもがひとりいます。さんさいです。 
V0000278460	猫がいますね。でも、ちょっと太っていますね。	ねこがいますね。でも、ちょっとふとっていますね。 
V0000278461	山下先生は結婚しています。	やましたせんせいはけっこんしています 
V0000278462	みちこさんは窓のそばに座っています。	みちこさんはまどのそばにすわっています 
V0000278463	スーさんはお金をたくさん持っています。	スーさんはおかねをたくさんもっています 
V0000278464	山下先生は英語を知っています。	やましたせんせいはえいごをしっています 
V0000278465	トムさんはちょっと太っています。	トムさんはちょっとふとっています 
V0000278466	私の弟はとてもやせいています。	わたしのおとうとはとてもやせています 
V0000278467	メアリーさんは丁シャツを着ています。	メアリーさんはテイシャツをきています 
V0000278468	お父さんは起きています。	おとうさんはおきています 
V0000278469	父と母は東京に住んでいます	ちちとはははとうきょうにすんでいます 
V0000278470	私の姉は日本の会社に勤めています。	わたしのあねはにほんおかいしゃにつとめています 
V0000278471	トムさんは髪が長いです。	トムさんはかみがながいです 
V0000278472	あの店の食べ物は安くて、おいしいです。	あのみせのたべものはやすくて、おいしいです 
V0000278473	あの人はいつも元気で、おもしろいです。	あのひとはいつもげんきで、おもしろいです 
V0000278474	デパートにかばんを買いに行きました。	デパートにかばんをかいにいきました 
V0000278475	メアリーさんは日本に日本語を勉強しに来ました。	メアリーさんはにほんにほんごをべんきょうしにきました 
V0000278476	私のクラスにスウエーデン人の学生が一人います。	わたしのクラスにスウエーデンじんのがぐせいがひとりいます 
V0000278477	テレビを見てもいいですか。	テレビをみてもいいですか 
V0000278478	ゆっくり話してください。	ゆっくりはなしてください 
V0000278479	コーヒーを飲んでください。	コーヒーをのんでください 
V0000278480	写真を撮ってください。	しゃしんをとってください 
V0000278481	窓を開けてもいいですか。	まどをあけてもいいですか 
V0000278482	英語を話してもいいですか。	えいごをはなしてもいいですか 
V0000278483	電話をかけてもいいですか。	でんわをかけてもいいですか 
V0000278484	お風呂に入ってもいいですか。	おふろにはいってもいいですか 
V0000278485	次のページを読んでください。	つぎのページをよんでください 
V0000278486	昼ごはんを食べて、トイレに行きます。	ひるごはんをたべて、トイレにいきます 
V0000278487	新聞を読んで、お茶を飲みます。	しんばんをよんで、おちゃをのみます 
V0000278488	バスに乗ります。時間がありませんから。	バスにのります。じかんがありませんから 
V0000278489	先週は大変でした。テストがありましたから。	せんしゅうはたいへんでした、テストがありましたから 
V0000278490	あの映画を見ません。時間がありませんから。	あのえいがをみません。じかんがありませんから 
V0000278491	あのレストランに行きました。食べ物は安いですから。	あのレストランに行きました。たべものはやすいですから 
V0000278492	みちこが大好です。とてもおもしろくて、元気ですから。	みちこ画題すきです。とてもおもしろくて、げんきですから 
V0000278493	私は朝ごはんを食べません。あまりお金がありませんから。	わたしはあさごはんをたべません。あまりおかねがありませんから 
V0000278494	映画を見ません。お金がぜんぜんありませんから。	えいがをみません。おかねがぜんぜんあませんから 
V0000278495	自転車を買います。電車はとても高いですから。	じてんしゃをかいます。でんしゃはとてもたかいですから 
V0000278496	お金を借りてもいいですか。	おかねをかりてもいいですか 
V0000278497	明日は友だちの誕生日です。	あしたはともだちのたんじょうびです 
V0000278498	でも、私もお金がありません。あした、旅行に行きますから。	でも、わたしもおかねがありません。あした、りょこうにいきますから 
V0000278499	あなたの車を借りてもいいですか。今晩デートがありますから。	あなたのくるまをかりてもいいですか。こんばんデートがありますから 
V0000278500	子供の時、よく友だちと遊びました。	こどものとき、よくともだちとあそびました 
V0000278501	先週の週末は東京に遊びに行きました。	せんしゅうのしゅまつはとうきょうにあそびにいきました 
V0000278502	私の家に遊びに来てください。	わたしのうちにあそびにきてください 
V0000278503	お姉さんは結婚していますか。	おねえさんはけっこんしていますか 
V0000278504	お父さんは何歳ですか。	おとうさんはなんさいですか 
V0000278505	弟さんはアメリカに住んでいますか。	おとうとさんはアメリカにすんでいますか 
V0000278506	山田さんはやせていますか。	やまださんはやせていますか 
V0000278507	水野さんは帽子をかぶっています。	みずのさんはぼうしをかぶっています 
V0000278508	髪が短いです。ティーシャツを着ています。ジーンスをはいてません。	かみがみじかいです。ティーシャツをきています。ジーンスをはいてません 
V0000278509	隣の人は背が高くて、親切でした。	となりのひとはせがたかくて、しんせつでした 
V0000278510	私のルームメートは親切ですが、つまらないです。	わたしのルームメートはしんせつですが、つまらないです 
V0000278511	京都に歌舞伎を見に行きます。	きょうとにかぶきをみにいきます 
V0000278512	この部屋に女の人が何人いますか。	このへやにおんなのひとがなんにんいますか 
V0000278513	すみませんが、この漢字の読み方を教えてください。	すみませんが、このかんじのよみかたをおしえてください 
V0000278514	この部屋に元気な人が何人いますか。	このへやにげんきなひとがなんにんいますか 
V0000278515	上手ですね。ロバートさんは料理するのが好きですか。	じょうずですね。ロバートさんはりょうりするのがすきですか 
V0000278516	スーさんは、あした試験があると言っていました。	スーさんは、あしたしけんがあるといっていました 
V0000278517	たけしさんは、メアリーさんが好きだと思います。	たけしさんはメアリーさんがすきだとおもいます 
V0000278518	ここで写真を撮らないでください。	ここでしゃしんをとらないでください 
V0000278519	日本語を勉強するのが好きです。	にほんごをべんきょうするのがすきです 
V0000278520	部屋を掃除するのが嫌いです	へやをそうじするのがきらいです 
V0000278521	ロバートさんは料理を作るのが上手です。	ロバートさんはりょうりをつくるじょうずです 
V0000278522	今日、勉強する？	きょう、べんきょうする？ 
V0000278523	よく、お茶を飲む？	よく、おちゃをのむ？ 
V0000278524	毎日、日本語を話す？	まいにち、にほんごをはなす？ 
V0000278525	今日、友だちに会う？	きょう、ともだちにあう？ 
V0000278526	よく、電車に乗る？	よく、でんしゃにのる？ 
V0000278527	あした、大学に来る？	あした、だいがくにくる？ 
V0000278528	自転車を持っている？	じてんしゃをもっている？ 
V0000278529	毎週、部屋を掃除する？	まいしゅう、へやをそうじする？ 
V0000278530	メアリーさんは何と言ってましたか。	メアリーさんはなんといってましたか 
V0000278531	今月は忙しいと言っていました。	こんげつはいそがしいといっていました 
V0000278532	メアリーさんは明日買い物をすると言っていました。	メアリさんはあしたかいものをするといっていました 
V0000278533	お弁当を二つください。	おべんとうをふたつください 
V0000278534	薬を飲む。	くすりをのむ 
V0000278535	髪が長い人。	かみがながいひと 
V0000278536	眼鏡をかけている人。	めがねをかけているひと 
V0000278537	猫が好きな人。	ねこがすきなひと 
V0000278538	あそこで写真を撮っている人はだれですか。	あそこでしゃしんをとっているひとはだれですか 
V0000278539	毎日運動をする人は元気です。	まいにちうんどうをするひとはげんきです 
V0000278540	たばこを吸わない人が好きです。	たばこをすわないひとがすきです 
V0000278541	去年結婚した友だちから手紙がきました。	きょねんけっこんしたともだちからてがみがきました 
V0000278542	きのう宿題をしました。	きのうしゅくだいをしました 
V0000278543	もう宿題をしました。	もうしゅくだいをしました 
V0000278544	きのう宿題をしませんでした。	きのうしゅくだいをしませんでした 
V0000278545	まだ宿題をしていません。	まだしゅくだいをしていません 
V0000278546	スーさんはまだ起きていません。	スーさんはまだおきていません 
V0000278547	まだ昼ごはんを食べていません。	まだひるごはんをたべていません 
V0000278548	朝ごはんを食べませんでした。忙しかったですから。	あさごはんをたべませんでした。いそがしかったですから 
V0000278549	明日試験あるから、私は今晩勉強します。	あしたしけんがあるから、わたしはこんばんべんきょうします 
V0000278550	寒かったから、出かけませんでした。	さむかったから、でかけませんでした 
V0000278551	歌舞伎の切符がありますから、一緒に見に行きましょう。	かぶきのきっぷがありますから、いっしょにみにいきましょう 
V0000278552	赤が一番好きです。	あかがいちばんすきです 
V0000278553	顔が青いですね。	かおがあおいですね 
V0000278554	白黒の写真。	しろくろのしゃしん 
V0000278555	メアリーさんは金髪です。	メアリーさんはきんぱつです 
V0000278556	去年の誕生日に何がもらいましたか。	きょねんのたんじょうびになにがもらいましたか 
V0000278557	ピアノを弾きますか。	ピアノをひきますか 
V0000278558	今日、クラスは何時に始まりましたか。何時に終わりますか。	こう、クラスはなんじにはじまりましたか。なんじにおわりますか 
V0000278559	再来週。	さらいしゅう 
V0000278560	リックとキャロルは二ヶ月前に別れた。	リックとキャロルはにかげつまえにわかれた 
V0000278561	寒くなりましたね。	さむくなりましたね 
V0000278562	冬休みはどうしますか。	ふゆやすみはどうしますか 
V0000278563	韓国か台湾に行くつもりですが、まだ決めていません。	かんこくかたいわんにいくつもりですが、まだきめていません 
V0000278564	台湾のほうが暖かいと思います。でも、スーさんは韓国の食べ物はおいしいと言っていましたよ。	たいわんのほうがあたたかいとおもいます。でも、スーさんはかんこくのたべものはおいしいといっていましたよ 
V0000278565	大阪からソウルまで飛行機の予約をお願いします。	おおさかからソウルまでひこうきのよやくをおねがいします 
V0000278566	午前と午後の便があります。	ごぜんとごごのびんがあります 
V0000278567	クレジットカードで払ってもいいですか。	クレジットカードではらってもいいです 
V0000278568	ソウルまでどのぐらいかかりますか。	ソウルまでどのぐらいかかりますか 
V0000278569	エルビスプレスリーのほうがフランクシナトラよりかっこいいです。	エルビスプレスリーのほうがフランクシナトラよりかっこいいです 
V0000278570	バスと電車とどっちのほうが安いですか。	バスとでんしゃとどっちのほうがやすいですか 
V0000278571	パバトッテイとカレーラスとドミンゴの中で、だれがいちばん歌が上手だと思いますか。	パバロッチとカレーラスとドミンゴのなかで、だれがいちばんうたがじょうずだとおもいますか 
V0000278572	もちろん、パバロッテイが一番歌が上手です。	もちろん、パバロッテイがいちばんうたがじょうずです 
V0000278573	黒いセーターを持っています。赤いのも持っています。	くろいセーターをもっています。あかいのももっています 
V0000278574	安い辞書を買いに行きました。でもいいのがありませんでした。	やすいじしょをかいにいきました。でもいいにがありませんでした 
V0000278575	週末にたけしさんとテニスをするつもりです。	しゅまつにたけしさんとテニスをするつもりです 
V0000278576	山下先生はあした大学に来ないつもりです。	やましたせんせいはあしただいがくにこないつもりです 
V0000278577	お寺を見に行くつもりでしたけど、天気がよくなかったから、行きませんでした。	おてらをみにいくつもりでしたけど、てんきがよくなかったから、いきませんでした 
V0000278578	久しぶりですね。休みはどうでしたか。	ひさしぶりですね。やすみはどうでしたか 
V0000278579	一日だけドライブに行きましたが、毎日アルバイトをしていました。	いちにちだけドライブにいきましたが、まいにちアルバイトをしていました 
V0000278580	出身はどこですか。	しゅっしんはどこですか 
V0000278581	山や海があって、きれいな所ですよ。	やまやうみがあって、きれいなところですよ 
V0000278582	まもなく発車します。	まもなくはっしゃします 
V0000278583	ドアが閉まります。ご注意ください。	ドアがしまります。ごちゅういください 
V0000278584	次は新宿に止まります。	つぎはしんじゅくにとまります 
V0000278585	電車が参ります。	でんしゃがまいります 
V0000278586	終電は何時ですか。	しゅうでんはなんじですか 
V0000278587	東京まで指定席の一枚お願いします。	とうきょうまでしていせきのいちまいおねがいします 
V0000278588	静かになる。	しずかになる 
V0000278589	会社員になる。	かいしゃいんになる 
V0000278590	日本語の勉強が楽しくなりました。	にほんごのべんきょうがたのしくなりました 
V0000278591	日本語の勉強が好きになりました。	にほんごのべんきょうがすきになりました 
V0000278592	メアリーさんは前より日本語が上手になりました。	メアリーさんはまえよりにほんごがじょうずになりました 
V0000278593	どこかへ行きましたか。	どこかへいきましたか 
V0000278594	いいえ、どこへも行きませんでした。	いいえ、どこへもいきませんでした 
V0000278595	だれかに会いましたか。	だれかにあいましたか 
V0000278596	いいえ、だれにも会いませんでした。	いいえ、だれにもあいませんでした 
V0000278597	何かしましたか。	なにかしましたか 
V0000278598	いいえ、何もしませんでした。	いいえ、なにもしませんでした 
V0000278599	はしでごはんを食べます。	はしでごはんをたべます 
V0000278600	バスで駅まで行きました。	バスでえきまでいきました 
V0000278601	テレビで映画を見ました。	テレビでえいがをみました 
V0000278602	今度の週末は映画を見たいです。	こんどのしゅまつえいがをみたいです 
V0000278603	いつか中国に行きたいです。	いつかちゅうごくにいきたいです 
V0000278604	同じです。	おなじです 
V0000278605	だいたい同じです。	だいたいおなじです 
V0000278606	ちょっと違います。	ちょっとちがいます 
V0000278607	使えません。	つかえません 
V0000278608	間違ってます。	まちがってます 
V0000278609	手を上げてください。	てをあげてください 
V0000278610	宿題を出してください。	しゅくだいをだしてください 
V0000278611	教科書を閉じてください。	きょうかしょをとじてください 
V0000278612	となりの人に聞いてください。	となりのひとにきいてください 
V0000278613	今日はこれで終わります。	きょうはこれでおわります 
V0000278614	あの人にはもう会いたくありません。	あのひとにはもうあいたくありません 
V0000278615	セーターが買いたかったから、デパートに行きました。	セーターがかいたかったから、デパートにいきました 
V0000278616	メアリーさんはトイレに行きたいと言っていました。	メアリーさんはトイレにいきたいといっていました 
V0000278617	ちょっとおなかが痛いんです。	ちょっとおなかがいたいんです 
V0000278618	どうしたんですか。	どうしたんですか 
V0000278619	きのう友だちと晩ごはんを食べに行ったんです。たぶん食べすぎたんだと思います。	きのうともだちとばんごはんをたべにいったんです。たぶんたべすぎたんだとおもいます 
V0000278620	大丈夫ですか。	だいじょうぶですか 
V0000278621	心配しないでください。	しんぱいしないでください 
V0000278622	病院に行ったほうがいいですよ。	びょういんにいたほうがいいですよ 
V0000278623	のどが痛いんです。きのうはおなかが痛かったんです。	のどがいたいんです。きのうはおなかがいたかったんです 
V0000278624	熱もありますね。風邪ですね。	ねつもありますね。かぜですね 
V0000278625	二三日、運動しないほうがいいでしょう。	にさんにち、うんどうしないほうがいいでしょう 
V0000278626	今日は薬を飲んで、早く寝てください。	きょうはくすりをのんで、はやくねてください 
V0000278627	お大事に。	おだいじに 
V0000278628	バスが来なかったんです。	バスがこなかったんです 
V0000278629	あしたテストがあるんです。	あしたテストがあるんです 
V0000278630	トイレに行きたいんです。	トイレにいきたいんです 
V0000278631	試験が終わったんです。	しけんがおわったんです 
V0000278632	どうして彼と別れたんですか。	どうしてかれとわかれたんですか 
V0000278633	彼、ぜんぜんお風呂に入らないんです。	かれ、ぜんぜんおふろにはいらないんです 
V0000278634	猫がしんだんです。	ねこがしんだんです 
V0000278635	とてもいい教科書ですね。	とてもいいきょうかしょですね 
V0000278636	私の大学の先生が書いたんです。	わたしのだいがくのせんせいがかいたんです 
V0000278637	食べすぎてはいけません。	たべすぎてはいけません 
V0000278638	早く起きすぎました。	はやくおきすぎました 
V0000278639	この本は高すぎます。	このほんはたかすぎます 
V0000278640	あの人は親切すぎます。	あのひとはしんせつすぎます 
V0000278641	もっと野菜を食べたほうがいいですよ。	もっとやさいをたべたほうがいいですよ 
V0000278642	授業を休まないほうがいいですよ。	じゅぎょうをやすまないほうがいいですよ 
V0000278643	いつも日本語で話すので、日本語が上手になりました。	いつもにほんごではなすので、にほんごがじょうずになりました 
V0000278644	宿題がたくさんあったので、きのうの夜、寝ませんでした	しゅくだいがたくさんあったので、きのうのよる、ねませんでした 
V0000278645	その人は意地悪なので、嫌いです。	そのひとはいじわるなので、きらいです 
V0000278646	今日は日曜日なので、銀行は休みです。	きょうはにちようびなので、ぎんこうはやすみです 
V0000278647	来週テストがありますから、たくさん勉強しなくちゃいけません。	らいしゅうテストがありますから、たくさんべんきょうしなくちゃいけません 
V0000278648	けさは、六時に起きなくちゃいけませんでした。	けさは、ろくじにおきなくちゃいけませんでした 
V0000278649	毎日、練習しなくちゃいけないんです。	まいにち、れんしゅうしなくちゃいけないんです 
V0000278650	あしたは雨が降るでしょう。	あしたはあめがふるでしょう 
V0000278651	明日は雨が降らないでしょう。	あしたはあめがふらないでしょう 
V0000278652	北海道は寒いでしょう。	ほっかいどうはさむいでしょう 
V0000278653	山下先生は魚が好きでしょう。	やましたせんせいはさかながすきでしょう 
V0000278654	スザンさんは魚が好きじゃないでしょう。	スザンさんはさかながすきじゃないでしょう 
V0000278655	あの人はオーストラリア人でしょう。	あの人はオーストラリア人でしょう 
V0000278656	日本語と韓国語と、どっちのほうが難しいでしょうか。	にほんごとかんこくごと、どっちのほうがむずかしいでしょうか 
V0000278657	たけしさんは興味があるだろうと思います。	たけしさんはきょうみがあるだろうとおもいます 
V0000278658	ジョン、中国語がわかるでしょ？　これ、読んで。	ジョン、ちゅごくごがわかるでしょ？　これ、よんで 
V0000278659	すみません、初めてなんですが。	すみません、はじめてなんですが 
V0000278660	保険証を見せてください。	ほけんしょうをみせてください 
V0000278661	この紙に名前と住所を書いてください。	このかみになまえとじゅうじょをかいてください 
V0000278662	これは何の薬ですか。	これはなんのくすりですか 
V0000278663	痛み止めです。食後に飲んでください。	いたみどめです。しょくごにのんでください 
V0000278664	駅で新聞を買います。	えきでしんぶんをかいます 
V0000278665	山田さんは木村さんに花をあげました。	やまださんはきむらさんにはなをあげました 
V0000278666	イーさんに本を貸しました	イーさんにほんをかしました 
V0000278667	太郎君に英語教えます。	たろうさんにえいごをおしえます 
V0000278668	会社へ電話をかけます。	かいしゃへでんわをかけます 
V0000278669	木村さんは山田さんに花をもらいます。	きむらさんはやまださんにはなをもらいます 
V0000278670	ワンさんに中国語を習います。	ワンさんにちゅごくごをならいます 
V0000278671	銀行からお金を借りました。	ぎんこうからおかねをかりました 
V0000278672	もう荷物を送りましたか。	もうにもつをおくりましたか 
V0000278673	琵琶湖の水はきれいですか。	びわこのみずはきれいですか 
V0000278674	これはとても有名な映画です。	これはとてもゆうめいなえいがです 
V0000278675	さくら大学はあまり有名な大学じゃありません。	さくらだいがくはあまりゆうめいなだいがくじゃありません 
V0000278676	奈良はどんな町ですか。	ならはどんなまちですか 
V0000278677	日本の食べ物はおいしいですが、高いです。	にほんおたべものはおいしいですが、たかいです 
V0000278678	ミラーさんの傘はどれですか。	ミラーさんのかさですか 
V0000278679	お金が全然ありません。	おかねがぜんぜんありません 
V0000278680	受付にだれがいますか。	うけつけにだれがいますか 
V0000278681	机の上に写真があります。	つくえのうえにしゃしんがあります 
V0000278682	箱の中に手紙や写真があります。	はこのなかにてがみやしゃしんがあります 
V0000278683	りんごを四つ買いました。	りんごをよっつかいました 
V0000278684	外国人の学生が二人います。	がいこくじんのがくせいがふたりいます 
V0000278685	みかんをいくつ買いましたか。	みかんをいくつかいましたか 
V0000278686	この会社に外国人が何人いますか。	このかいしゃにがいこくじんがなんにんいますか 
V0000278687	毎晩、何時間日本語を勉強しますか。	まいばん、なんじかんにほんごをべんきょうしますか 
V0000278688	大阪から東京までどのぐらい掛かりますか。	おおさかからとうきょうまでどのぐらいかかりますか 
V0000278689	新幹線で二時間半掛かります。	しんかんせんでにじかんはんかかります 
V0000278690	学校に先生が三十人ぐらいいます。	がっこうにせんせいがさんじゅうにんぐらいいます 
V0000278691	パワー電気に外国人の会社員が一人だけいます。	パワーでんき苦いこくじんおかいしゃいんがひとりだけいます 
V0000278692	休みは日曜日だけです。	やすみはにちようびだけです 
V0000278693	きのうの試験は簡単じゃありません。	きのうのしけんはかんたんじゃありません 
V0000278694	きのうは暑かったです。	きのうはあつかったです 
V0000278695	きのうのパーティはあまり楽しくなかったです。	きのうのパーティはあまりたのしくなかったです 
V0000278696	サッカーと野球とどちらがおもしろいですか。	サッカーとやきゅうとどちらがおもしろいですか 
V0000278697	ミラーさんとサントスとどちらがテニスが上手ですか。	ミラーさんとサントスさんがテニスがじょうずですか 
V0000278698	北海道と大阪とどちらが涼しいですか。	ほっかいどうとおおさかとどちらがすずしいですか 
V0000278699	春と秋とどちらが好きですか。	はるとあきどちらがすきですか 
V0000278700	日本料理の中で何が一番おいしいですか。	にほんりょうりのなかでなにがいちばんおいしいですか 
V0000278701	ユーロッパでどこが一番よかったですか。	ユーロッパでどこがいちばんよかったですか 
V0000278702	家族でだれが一番背が高いですか。	かぞくでだれがいちばんせがたかいですか 
V0000278703	弟が一番背が短いです。	おとうとがいちばんせがみじかいです 
V0000278704	今何が一番欲しいですか。	いまなにがいちばんほしいですか 
V0000278705	てんぷらを食べたいです。	てんぷらをたべたいです 
V0000278706	靴を買いたいです。	くつをかいたいです 
V0000278707	おなかが痛いですから、何も食べたくないです。	おなかがいたいですから、なにもたべたくないです 
V0000278708	神戸へインド料理を食べに行きます。	こうべへインドりょうりをたべにいきます 
V0000278709	神戸へ買い物に行きます。	こうべへかいものにいきます 
V0000278710	日本へ美術の勉強に来ました。	にほんへびじゅつのべんきょうにきました 
V0000278711	あした京都のお祭りに行きます。	あしたきょうとのおまつりにいきます 
V0000278712	あの喫茶店に入りましょう。	あのきっさてんにはいりましょう 
V0000278713	七時に家を出ます。	しちじにうちをでます 
V0000278714	のどがかわきましたから、何かを飲みたいです。	のどがかわきましたから、なにかをのみたいです 
V0000278715	ご注文は？	ごちゅうもんは？ 
V0000278716	ミラーさんは今電話をかけています。	ミラーさんはいまでんわをかけています 
V0000278717	今雨が降っていますか。	いまあめがふっていますか 
V0000278718	傘を貸しましょうか。	かさをかしましょうか 
V0000278719	すみませんが、塩を取ってください。	すみませんが、しおをとってください 
V0000278720	たばこを吸ってもいいですか。	たばこをすってもいいですか 
V0000278721	カメラを持っています。	カメラをもっています 
P0000053175	はコンピューターソフトを作っています。	
P0000053175	はコンピューターソフトをつくっています 
V0000278722	妹は大学で勉強しています。	いもうとはだいがくでべんきょうしています 
V0000278723	市役所の電話番号を知っていますか。	しやくしょうのでんわばんごうをしっていますか 
V0000278724	いいえ、電話番号は知りません。	いいえ、でんわばんごうはしりません 
V0000278725	朝ジョギングをして、シャワーを浴びて、会社へ行きます。	あさジョギングをして、シャワーをあびて、かいしゃへいきます 
V0000278726	神戸に行って、映画を見て、お茶を飲みました。	こうべにいって、えいがをみて、おちゃをのみました 
V0000278727	ミラーさんは若くて、元気です。	ミラーさんはわかくて、げんきです 
V0000278728	きのうは天気がよくて、暑かったです。	きのうはてんきがこくて、あつかったです 
V0000278729	ミラーさんはハンサムで、親切です。	ミラーさんはハンサムで、しんせつです 
V0000278730	カリナさんは学生で、マリアさんは主婦です。	カリナさんはがくせいで、マリアはしゅふです 
V0000278731	この部屋は狭いですが、きれいです。	このへやはせまいですが、きれいです 
V0000278732	コンサートが終わってから、レストランで食事しました。	コンサートがおわってから、レストランでしょくじしました 
V0000278733	大阪は食べ物がおいしいです。	おおさかはたべものがおいしいです 
V0000278734	サントスさんはどの人ですか。 あの背が高くて、髪が黒い人です。	さんとすさんはどのひとですか あのせががたかくて、かみがくろいひとです 
V0000278735	信号を右へ曲がってください。	しんごうをみぎへまがってください 
V0000278736	公園を散歩します。	こうえんをしんぽします 
V0000278737	お引き出しですか。	おひきだしですか 
V0000278738	富士山に登りたいです。	ふじさんにのぼりたいです 
V0000278739	今晩、暇ですか。	こんばん、ひまですか 
V0000278740	そこにはさみがある。	
V0000278741	ミラーさんはこのニュースを知っていますか。 いいえ、多分知らないと思います。	ミラーさんはニュースをしっていますか。 いいえ、たぶんしらないとおもいます 
V0000278742	日本の物価が高いと思います。	にほんのぶっかがたかいとおもいます 
V0000278743	新しい空港についてどう思いますか。 きれいですが、ちょっと交通が不便がと思います。	あたらしいくうこうについてどうおもいますか。 きれいですが、ちょっとこうつうがふべんとおもいます 
V0000278744	ファクスは便利ですね。	ファクスはべんりですね 
V0000278745	寝る前に「お休みなさい」と言います。	ねるまえに「おやすみなさい」といいます 
