V0000367106	木星（もくせい） あの上の方で光っている星は木星だ
V0000367138	静脈（じょうみゃく） 動脈（どうみゃく）
P0000157592	国籍（こくせき） 市民権（しみんけん）
P0000157592	二重国籍者 (にじゅうこくせきしゃ)
P0000157593	値（あたい） 値段（ねだん）
P0000157593	この本はもっと安い値でかった
V0000367139	広い（ひろい） 幅広い（はばひろい）
V0000367140	八百屋（やおや）
V0000367141	ボタン シャツのボタンを掛ける
V0000367142	和菓子（わがし）
V0000367143	学生時代 学生時代、イギリスに半年留学した
V0000367144	追跡する（ついせき） その警官は泥棒を追跡した
V0000367145	パンクする タイヤがパンクした 僕の自転車はパンクしている
V0000367146	分子（ぶんし） 水分子（みずぶんし）は２個の水素原子と１個酸素原子からなる
V0000367147	上昇（じょうしょう） 上がる（あがります） 物価はますます上昇しています 海水の温度が年々上昇している
V0000367148	潜水する（せんすい） 潜る（もぐります）
V0000367149	湿度（しつど） 湿度が高い 多湿（たしつ）です
P0000157594	フード 風土（ふうど） 
P0000157594	ずきん ずきんをかぶる
V0000367150	宿泊（しゅくはく） 旅館に宿泊する 旅館に泊まる（とまります）
V0000367151	証拠（しょうこ） 証拠は明らかだ
V0000367152	暫くですね 久しぶり（ひさしぶり） 久々（ひさびさ）
P0000157595	凍える（こごえます） 凍る（こおります）
P0000157595	指が凍えてしまった 凍えた足
V0000367153	資本主義（しほんしゅぎ） 共産主義（きょうさんしゅぎ）
V0000367154	ぬれた ぬれたタオル
V0000367155	思い付き アイデア 考え 何てよい思い付きなのでしょう！
V0000367156	血（ち） 血液（けつえき）
V0000367157	地名（ちめい） その地名は伝説に由来している
V0000367158	受精する（じゅせい） 人工授精（じんこうじゅせい） 体外受精（たいがいじゅせい）
V0000367159	首相（しゅしょう） 総理大臣（そうりだいじん）
V0000367160	果たして（はたして） やはり やっぱり 彼は果たして成功した
V0000367161	お気に入り（の）（おきにいり） 好き（な） これはあなたのお気に入りの曲ですか
V0000367162	若い時（わかいとき）
P0000157596	乏しい（とぼしい） 
P0000157596	貧乏（な）（びんぼう）
P0000157596	貧しい（まずしい）
P0000157596	金が乏しい 乏しい学歴
V0000367163	さて さて始めよう
P0000157597	面倒くさい（めんどうくさい） 面倒（な）（めんどう）
P0000157597	うざい
P0000157597	まったく面倒臭い仕事だ
V0000367164	熱心（な）（ねっしん） ワットさんは熱心だし、まじめだし、それに経験もある
V0000367165	爪楊枝（つまようじ）
V0000367166	垣根（かきね） 彼はその垣根を飛び越えた
V0000367167	太子（たいし） 皇太子（こうたいし） 大使（たいし） 
P0000157598	貯金する（ちょきん）
P0000157598	倹約する（けんやく） 
P0000157598	節約する（せつやく） 
P0000157598	貯金がある
V0000367168	半ば（なかば） 七月の半ば
P0000157599	担架（たんか） 短歌（たんか）31-
P0000157599	担架で運ぶ（はこびます） 担架に乗せる
V0000367169	一度も（いちども） 一回も（いっかいも）
V0000367170	蛋白質（たんぱくしつ） たんぱく質に富む（とみます）
P0000157600	四字熟語 
P0000157600	～に　悪戦苦闘する（あくせんくとう） 資金集めに悪戦苦闘する
V0000367171	まな板（まないた） まな板の上の鯉（こい）のようなものだ
V0000367172	谷（たに） その谷で金が見つかったといううわさがある
V0000367173	動機（どうき） 殺害の動機は分からない
V0000367174	バッテリー バッテリーが上がった（あがった） バッテリーを充電する
V0000367175	魔法使い
V0000367176	活発（な）（かっぱつ） 生き生き（いきいき） うちの母は活発です
V0000367177	爪（つめ） 常用外
V0000367178	アイスランド
V0000367179	精巣（せいそう） 金玉（きんたま）
V0000367180	敬老（けいろう） 敬老の日（けいろうのひ) (９月の第３月曜日)
V0000367181	有罪（ゆうざい） すべての証拠は彼の有罪を示している
P0000157601	インフルエンザ 風邪（かぜ）
P0000157601	インフルエンザにかかりました 風邪をひく
V0000367182	プディング
V0000367183	関係（かんけい） 犯罪に関係する
V0000367184	鮫（さめ） 常用外
V0000367185	少なくとも（すくなくとも） この仕事を完成するには、少なくとも一ヶ月はかかります
V0000367186	お経（きょう） お経をあげる[読む]
V0000367187	初めての人 初心者（しょしんしゃ）
V0000367188	南極（なんきょく）
P0000157602	言い訳（いいわけ）
P0000157602	口実（こうじつ） したことを言い訳するな
V0000367189	食品店（しょくひんてん）
V0000367190	する事が出来る
V0000367191	（お）湯（ゆ） 薬缶の湯が沸いている
V0000367192	有害（な）（ゆうがい） タバコは健康に有害です
V0000367193	地理学（ちりがく） 日本の地理
V0000367194	建築家（けんちくか） 建築家はモダンな家を建てる
V0000367195	成績（せいせき） 点数（てんすう） 学校の成績は普通でした
V0000367196	北極（ほっきょく） 南極（なんきょく）
V0000367197	～を　聞き取る（ききとります） 人の話を聞き取る 英語を聞き取る力
V0000367198	面接時間（めんせつじかん）
V0000367199	キャットウォーク
V0000367200	取り替える（とりかえます） ラジオの部品が壊れたので、新しいのに取り替えました
V0000367201	メリークリスマス！
V0000367202	司書（ししょ） 図書館（としょかん）
P0000157603	乾かす（かわかす） 干す（ほします） 
P0000157603	乾く（かわきます） 洗濯物を日光で乾かす/干す
V0000367203	気が狂う（くるいます） 失恋して気が狂った
V0000367204	書類（しょるい） 資料（しりょう）
V0000367205	流砂（りゅうさ/りゅうしゃ） 
V0000367206	よく、いらっしゃいました。
V0000367207	氷河（ひょうが） 氷河時代
V0000367208	集金（しゅうきん） 彼はガス料金の集金に回っています 集金人（しゅうきんにん）
P0000157604	(略
P0000157604	性感染症 （せいかんせんしょう） 現在20種を越える性感染症が確認されている
V0000367209	愛読書（あいどくしょ）
V0000367210	オリジナル（な）
P0000157605	裏口（うらぐち） 
P0000157605	彼は裏口入学した 裏口契約（うらぐちじょうやく）
V0000367211	余り（あまり） 魚の余りを猫にやりました
V0000367212	上げます（あげます） 売り手は値段を上げます
P0000157606	悪者（わるもの） 
P0000157606	腕白（わんぱく） 悪人（あくにん） 
V0000367213	往復（おうふく） 東京から大阪までのチケット往復で一枚ください
V0000367214	～を　番する（ばん） この店は、いつも子供が番をしている
V0000367215	メインコース メインコースの後のデザート
V0000367216	朱に交われば赤くなる （しゅにまじわればあかくなる）
V0000367217	大陸（たいりく） 世界には７大陸がある
V0000367218	光るものすべてが金ではない
V0000367219	筋骨たくましい （きんこつたくましい） 筋骨たくましい大男　(おおおとこ)
V0000367220	出演（しゅつえん） 映画に出演する
V0000367221	頼む（たのみます） 注文する（ちゅうもん） レストランでスープしか頼みませんでした
V0000367222	立春（りっしゅん）
V0000367223	画家（がか） 私はこの絵を描いた画家を知っている
V0000367224	受身（な）（うけみ） 受身(形) 受け身に回る
P0000157607	我がまま（な）（わがまま）
P0000157607	我利我利（な）（がりがり）
P0000157607	利己的（な）（りこてき）
P0000157608	窓口（まどぐち） カウンター　
P0000157608	先にお金を払ってから、三番の窓口に行ってください
V0000367225	黒死病（こくしびょう） ペスト
P0000157609	分子（ぶんし） 
P0000157609	分数（ぶんすう） 分母（ぶんぼ）
V0000367226	発表する（はっぴょう） あした、試験の結果が発表される
V0000367227	招待する（しょうたい） 上司が夕食に招待してくれた
V0000367228	広める（ひろめます） 彼らは福音を全世界に広めた うわさを広める
P0000157610	の
P0000157610	あまり, 
P0000157610	あまり (すぎる 
P0000157610	この教科書は文法を重視（じゅうし）するあまり面白くないです。 秋子は恐怖のあまり声も出なかった。
V0000367229	クリスマスツリー
P0000157611	恋する（こい） 
P0000157611	愛する（あい） 
P0000157611	親子, 
P0000157611	上田さんは田中さんの妹に恋している
V0000367230	擬態語	ざあざあ 擬態語
V0000367231	画像（がぞう） テレビの画像はぼやけて見える
V0000367232	レーダー 魚群の位置はこのレーダー上に雲のような形で表される
V0000367233	継父（ままちち）
V0000367234	～ほど 猫は犬ほど好きじゃない
V0000367235	キャンパス
V0000367236	ご注文は？（ごちゅうもん）
V0000367237	暴動（ぼうどう） 暴動を鎮圧する
V0000367238	蚕　(カイコ) 蚕の祖先は東アジアに生息したと考えられている
V0000367239	陥る（おちいります） 昏睡状態（こんすいじょうたい）に陥る 誘惑（ゆうわく）に陥る
V0000367240	ハシバミの実 (み) ヘイゼルナッツ
P0000157612	ベロ　(俗) 
P0000157612	舌（した） ベロを出す 靴のべろ
V0000367241	どうも この文の意味がどうもよく分からない 鈴木さんはどうも京都大学に入りたいらしい このごろどうも体の調子（ちょうし）がよくないんです
P0000157613	縁側（えんがわ） ポーチ 
P0000157613	縁側から家に上がった
V0000367242	電話が鳴っている（なる）
V0000367243	約束（やくそく） 
V0000367244	教員（きょういん） 教師（きょうし） 先生（せんせい） 数学の教員
V0000367245	タンゴ 単語（たんご）
V0000367246	占領（せんりょう） その都市は１６６２年にイギリス人に占領された
V0000367247	素直（な）（すなお） 素直な子だ
V0000367248	意地悪（な）（いじわる） 意地悪をする 意地悪には見えないけど
V0000367249	おなかがいっぱいです。
V0000367250	家へ行く道が分からない
P0000157614	青年（せいねん） 若者（わかもの）
P0000157614	青春（せいしゅん）
V0000367251	果汁しぼり器 （かじゅうしぼりき） 果汁（かじゅう）
V0000367252	ヒレ
V0000367253	この頃（このごろ） 最近（さいきん）
V0000367254	擦り切れる（すりきれます） 破れる（やぶれます） 彼のオーバーは擦り切れている
V0000367255	十二指腸（じゅうにしちょう）
V0000367256	食卓（しょくたく） 食卓から皿を片付ける
V0000367257	投げる（なげます） 子供がボールを投げている
V0000367258	コンセント
P0000157615	産業（さんぎょう） 工業（こうぎょう）
P0000157615	彼は自動車産業に従事（じゅうじ）している
V0000367259	砂糖を入れる
V0000367260	青春（せいしゅん） 青春の夢
V0000367261	けいこと一緒に
V0000367262	索引（さくいん） その本には索引が付いていますか
V0000367263	仕事（しごと） まだ仕事をしてるんですか。
V0000367264	目が覚める（さめます） 起きる（おきます） すると、目が覚めました
P0000157616	大半（たいはん） 過半数（かはんすう）
P0000157616	社員の大半 一日の大半を読書して過ごした 大半は/が
P0000157617	屋上（おくじょう） 
P0000157617	屋根（やね） 屋上庭園（おくじょうていえん）
V0000367265	プレーボーイ 女垂らし（おんなたらし）
V0000367266	革命（かくめい） その発見は建設的であるとともに革命的だった
V0000367267	命を落とす（おとします） 死ぬ（しにます） 亡くなる（なくなります） 死亡する（しぼう）
V0000367268	魚卵（ぎょらん） イクラ
V0000367269	古文（こぶん）
P0000157618	期待する（きたい） 気体（きたい） 
P0000157618	望む（のぞみます）
P0000157618	を期待して 昇進を期待して一生懸命働いた
V0000367270	借り（かり） 借金（しゃっきん） 私は君にいくら借りがありますか 彼の借金はドルに達した
V0000367271	死体（したい）
V0000367272	高校生（こうこうせい）
P0000157619	雛鳥（ひなどり） 
P0000157619	小鳥（ことり） 公園をあるいているとき、私はひな鳥を見つけた
P0000157620	間隔（かんかく） 感覚（かんかく） 
P0000157620	バスは１５分間隔で運転される
V0000367273	未だに（いまだに） 今でも（いまでも）
V0000367274	勉強中（べんきょうちゅう） 勉強している
P0000157621	息をする（いき） 
P0000157621	呼吸する（こきゅう）
V0000367275	クレーン
V0000367276	パン粉（こ）
P0000157622	学問する（がくもん） 
P0000157622	あの人は学問がある
V0000367277	様々（な）（さまざま）
V0000367278	へとへと（です/になる） 疲れた（つかれた） 二時間の通勤すると、会社に着く頃にはもうへとへとでうよ
V0000367279	幾ら（いくら）
P0000157623	(俗)	げじげじ 
P0000157623	百足（むかで） 
P0000157623	げじげじ眉（まゆ）
V0000367280	意識を失う （いしきをうしなう） 失神する（しっしん） 気絶する（きぜつ）
P0000157624	(日が) 暮れる（くれます） 
P0000157624	列車は日が暮れてからローマに着いた 日が暮れる前に 秋が暮れた
V0000367281	西日（にしび）
V0000367282	濃い（こい） 濃いお茶（こい） 濃いスープ 濃い赤
V0000367283	先史の（せんし） 先史時代 先史時代の日本
V0000367284	箱（はこ） ゴミ箱（ごみばこ）
V0000367285	黒海（こっかい） 国会（こっかい）
P0000157625	時計屋 
P0000157625	時計屋さん 
V0000367286	品質（ひんしつ） 品質はいいでも値段は高い
V0000367287	くすくす笑う
P0000157626	作り上げる（つくりあげます） 
P0000157626	でっち上げる その話はだれかが作り上げたに違いない
V0000367288	うに
P0000157627	～を　捕食する（ほしょくしゃ）　
P0000157627	～を　狩る（かります）
P0000157628	変身（へんしん） 返信（へんしん）
P0000157628	サナギは蝶へと変身した 彼はスーパーマンに変身した
V0000367289	満開（まんかい） その植物園はバラの花が満開だった
V0000367290	内科（ないか） 内科はどこですか
V0000367291	出発（しゅっぱつ）
P0000157629	支える（ささえます）
P0000157629	支持する（しじ） 
P0000157629	杖で体を支える 彼は大家族を支えて行かねばならない
V0000367292	官僚（かんりょう） 官僚主義（かんりょうしゅぎ） 官僚（かんりょう） 官僚主義者（かんりょうしゅぎしゃ）
V0000367293	石油（せきゆ） 日本はアラブから石油を買った
P0000157630	以外（いがい） 意外（いがい）
P0000157630	ジョン以外はみんな到着した
V0000367294	直接接触 （ちょくせつせっしょく）
V0000367295	生物（せいぶつ） 生き物（いきもの）
V0000367296	（普通形） ～などと言う お金がないから、日本に行くなどということは夢だ
V0000367297	農場（のうじょう）
V0000367298	インド洋（よう）
V0000367299	離婚（りこん） 二人が離婚するといううわさが流れる
V0000367300	許可（きょか） 許可を取る 許可を与える 許可がなければ、ここで写真が取れません
V0000367301	教え子（おしえご） だれが山田先生の教え子ですか
V0000367302	カフェテリア
P0000157631	返事（へんじ） 
P0000157631	答え（こたえ） 回答（かいとう）
V0000367303	～と～ 天気が悪いと、私は眠くなる
V0000367304	副鼻腔（ふくびこう）
V0000367305	貧乏人（びんぼうにん）
P0000157632	臭い（におい） 
P0000157632	香り（かおり） 
P0000157632	バラはいい臭いがする
V0000367306	機嫌（きげん） 社長は今日機嫌がいいですか
V0000367307	図案（ずあん） 彼は象牙に図案を彫った 図案家
V0000367308	王子(さま)（おうじ）
V0000367309	おかげさまで。
V0000367310	仕上がる（しあがります） 出来上がる（できあがります） 洗濯は仕上がっていますか 仕事は途中まで仕上がっている
V0000367311	お札（おさつ）
P0000157633	想像（そうぞう） 創造（そうぞう）
P0000157633	空想（くうそう） 自分が富豪（ふごう）だと想像してみた
V0000367312	カジノ
V0000367313	牛乳（ぎゅうにゅう） ミルク
V0000367314	戸籍（こせき）
V0000367315	リーキ 西洋ニラネギ（せいよう）
V0000367316	～階建ての（かいだて） ３階建ての建物 １１階建てのマンション
V0000367317	学園（がくえん） 学校では学園音楽祭の準備しています 学園都市（がくえんとし）
V0000367318	のど 咽喉（いんこう）
V0000367319	サタン 悪魔（あくま）
V0000367320	針金（はりがね） ワイヤ 針金のような毛〔犬などの〕
V0000367321	免疫系（めんえきけい）
V0000367322	邪魔する（じゃま） 仕事の邪魔をする ラジオの音が邪魔になって、勉強が出来ません 午後、お邪魔してもよろしいでしょうか
V0000367323	和平条約(わへいじょうやく) 和平条約の調印（ちょういん）
V0000367324	なんとなく 暗い色はなんとなく重く感じるようです
P0000157634	プチ 
P0000157634	プチ旅行
V0000367325	走者（そうしゃ）
V0000367326	心臓（しんぞう）
V0000367327	テーブルクロス
V0000367328	いぼ 首にいぼができた
V0000367329	住所（じゅうしょ）
P0000157635	せいぜい 
P0000157635	私にはせいぜいあなたの半分しができない
V0000367330	細い（ほそい） 私は目が細い。
V0000367331	リンス
V0000367332	放送する（ほうそう） ニュースは毎時放送している
V0000367333	道の向こう側（みちのむこうがわ） 道の向こう側をセクシーな女の人歩いている
V0000367334	～が　凍る（こおります） ～を　凍らせる（こおらせます） 11月には湖が凍ってしまう
V0000367335	海星（ひとで） 人出（ひとで）
V0000367336	辺（へん） この辺だと思う
V0000367337	販売法（はんばいほう）
V0000367338	家庭的（な）（かていてき） 家庭的な雰囲気 家庭的な男性 あの旅館は家庭的だ
P0000157636	一朝一夕（いっちょういっせき）　
P0000157636	ない これは一朝一夕に解決できる問題じゃない
V0000367339	ハネムーン 新婚旅行（しんこんりょこう） その新婚夫婦は新婚旅行でハワイに出かけて行った
V0000367340	送料（そうりょう） 外国郵便の送料
P0000157637	～に　関連する（かんれん） ～と　関係する（かんけい）
P0000157637	いびきとタバコのすい過ぎに関連がある
P0000157638	味噌っ歯（みそっぱ） 虫歯（むしば）
P0000157638	味噌っ歯になる うちの子供は甘いものの食べ過ぎで、味噌っ歯になってしまった
V0000367341	症状（しょうじょう） 症状がひどくなったら、医者に相談してください 徐々に（じょじょ）症状が悪化した
V0000367342	接近する（せっきん） 近づける（ちかづけます） 台風が九州に接近していると発表された
V0000367343	虐殺（ぎゃくさつ） 彼は虐殺された 村中の人が虐殺された ユダヤ大虐殺 大量虐殺（たいりょうぎゃくさつ）
V0000367344	戸棚（とだな） 
P0000157639	工業（こうぎょう）
P0000157639	産業（さんぎょう）
P0000157639	重工業（じゅう） 軽工業（けい） この国は工業が発達している
V0000367345	静物画（せいぶつが）
V0000367346	テニスコート
V0000367347	季節（きせつ）
V0000367348	ひょう窃（ひょうせつ） ひょう窃する
P0000157640	異常（な）（いじょう） 以上（いじょう）
P0000157640	異常な才能 こんな暖かい天気は二月にしては異常だ
V0000367349	何してんの？
V0000367350	灯台（とうだい） 遠い灯台のかすかな光を見た
P0000157641	自首する（じしゅ）
P0000157641	自主（じしゅ）
P0000157641	降参する（こうさん）
P0000157641	降伏する（こうふく）
P0000157641	その犯人は警察に自首した
V0000367351	戦う（たたかいます） 敵と戦う
P0000157642	左右する（さゆう） 影響する（えいきょう） 
P0000157642	支配する（しはい） 
P0000157642	友達に左右されやすい人だ 一国の運命を左右する
V0000367352	召し上がれ（めしあがれ） 召し上がる　（めしあがります） 召し上がり物　（めしあがりもの）
V0000367353	血を流せる（ながせる）
V0000367354	魚群（ぎょぐん） 魚群の位置はこのレーダー上に雲のような形で表される
V0000367355	民族（みんぞく）
V0000367356	狭い（せまい）
V0000367357	池（いけ） 湖（みずうみ）
V0000367358	日夜（にちや） 日夜働き続ける
V0000367359	海賊（かいぞく） 海賊たちには降参する以外に道はなかった
V0000367360	歌（うた）
P0000157643	地域（ちいき） 地方（ちほう）
P0000157643	その地域の方言 
P0000157643	の国と地域から 
P0000157643	名の若者が集まった
V0000367361	オリエンテーション 新入生向けのオリエンテーションを行う
V0000367362	鯨（くじら）
V0000367363	より 猫のほうが犬より好きです。
V0000367364	スウプを飲む（のむ）
V0000367365	ブラックボックス
V0000367366	塩入れ（しおいれ）
P0000157644	背広（せびろ）
P0000157644	スーツ 
V0000367367	未満（みまん） 18歳未満の方の入場は禁じます
V0000367368	おかまいなく。
V0000367369	脛（すね） 弁慶の泣き所 （べんけいのなきどころ）
P0000157645	吹き替え（ふきかえ） 映画を吹き替える（ふきかえます）
P0000157645	振り返る（ふりかえります）
P0000157645	日本語に吹き替えた『ハムレット』 アメリカ映画を日本語に吹き替える
V0000367370	むしろ 私は甘いものよりむしろ辛い物のほうが空きだ
V0000367371	学園都市（がくえんとし） 学園（がくえん）
V0000367372	自発的（な）（じはつてき） 彼はそれを自発的に行った 生徒は自発的に教室の掃除をした
V0000367373	炎（ほのお） 家々は次々と炎を噴き出して燃えた
V0000367374	ヘッドホン ヘッドホンから音が漏れているのは彼です
V0000367375	豆をまく
P0000157646	課(か) 六課　（ろっか） 八課（はっか） 
P0000157646	三課　（さんか）
V0000367376	冥王星（めいおうせい）
V0000367377	巨人（きょじん）
P0000157647	人工知能（じんこうちのう） 
P0000157647	は人工知能の略だ
V0000367378	年代順に（ねんだいじゅん） 年代順の
V0000367379	家事手伝い（かいてつだい） お手伝いさん 
V0000367380	得る（えます） 手に入れる もらう その男は権力を得るために多額の金を使った
V0000367381	目指す（めざします） 教育はテストに合格することを目指すべきではない
V0000367382	愛読する（あいどく） 彼は太宰治を愛読している 私は彼の小説を愛読した
V0000367383	鯉のぼり（こいのぼり） 鯉のぼりを立てる（こいのぼり）
V0000367384	短い（みじかい）
V0000367385	知識（ちしき） 幅広い知識（はばひろい）
V0000367386	コレステロール コレステロール値（ね）が上がってきています
P0000157648	当然（とうぜん） 明らか（な）（あきらか）
P0000157648	彼女は当然私の見方になると思った
V0000367387	滴（しずく） 一滴　(いってき) 一滴の涙　(いってきのなみだ) ぶどう酒のグラスを最後の一滴まで飲み干した　（のみほす）
V0000367388	アメリカ豹（ひょう） 豹（ひょう）
V0000367389	幼稚園（ようちえん） 保育園（ほいくえん）
V0000367390	むりもありません 
P0000157649	支社（ししゃ） 死者（ししゃ）
P0000157649	支店（してん）
P0000157649	この書類を支社に届けてくれませんか
V0000367391	一日おきに 五メートルおきに
V0000367392	森林（しんりん） 森（もり） 私は森林の中で道に迷った（まよう）
V0000367393	セクハラ
V0000367394	おやすみ。 おやすみなさい。
V0000367395	ルネサンス ルネサンスの芸術（げいじゅつ）
V0000367396	海草（かいそう）
V0000367397	コーチ トレーナー
V0000367398	切り裂く（きりさきます） 布を切り裂く 落雷で木はまっぷたつに切り裂かれた 切り裂きジャック（きりさき）
P0000157650	徐々に（じょじょ） ゆっくり　
P0000157650	段々に（だんだん）
P0000157650	次第に（しだい）
P0000157650	列車は徐々にスピードを上げた
V0000367399	おしゃべりや
V0000367400	じゃ、またね
V0000367401	ネパール
V0000367402	丁度（ちょうど） ちょうどいいです
V0000367403	脇（わき） 右脇が痛い 雑誌はデーブルの脇に積んである
V0000367404	～が 下手（な）(へた) ～が 苦手です（にがて） 
V0000367405	～を　弄る（いじります） 私のコンピュータをいじらないでくれ ペンを弄る
P0000157651	現代的（げんだいてき） 近代（きんだい）
P0000157651	現代日本文学
V0000367406	アーモンド
V0000367407	蝋人形（ろうにんぎょう） 蝋人形館（ろうにんぎょうかん）
V0000367408	開戦する（かいせん） 戦争の勃発（ぼっぱつ） 終戦（しゅうせん） 開戦の理由
V0000367409	心臓発作（しんぞうほっさ） 彼は心臓発作した
V0000367410	孔子（こうし） 孔子の言説は有名です
P0000157652	胴（どう） 銅（どう）
P0000157652	ダックスフントは、非常に長い胴と短い足をした犬です
V0000367411	浮き輪（うきわ）
V0000367412	～倍（ばい） 5の倍は10だ この木はあの木の2.5倍の高さだ
P0000157653	討論（とうろん） 議論（ぎろん）
P0000157653	私は彼とその問題を討論した 討論者（とうろんしゃ）
P0000157654	頼り（たより） 便り（たより）
P0000157654	頼りにして大丈夫だよ 私が知る限りでは、彼は頼りになる人だ 彼は頼りにできる男だよ
V0000367413	叱る（しかります） 小言する（こごと） 汚い手で着物に触ったら、叱られました
V0000367414	赤道ギニア (せきどう)
V0000367415	取る（とります） 渡す（わたします） 手渡す（てわたします） すみませんが、塩を取って下さい
V0000367416	掃除婦（そうじふ）
V0000367417	西洋料理（せいようりょうり）
V0000367418	撤兵（てっぺい） イラクから撤兵する
V0000367419	雄牛（おうし） 雄（おす） 雌（めす）
V0000367420	滝（たき）
V0000367421	家具（かぐ） ファーニチャー
V0000367422	経済（けいざい） 経済成長（せいちょう）
V0000367423	消防車（しょうぼうしゃ） 群集がすぐに消防車の回りに集まった
V0000367424	脅える（おびえます） ～に　びくびくする ～を　脅かす（おびやかします）
V0000367425	鶫（つぐみ） 常用外
V0000367426	宗教（しゅうきょう）
V0000367427	～を 助ける（たすけます） ～を 救う（すくいます） おぼれている人を助ける
V0000367428	急速(な)（きゅうそく） 速い（はやい） 急速な進歩を遂げる
P0000157655	しんどい　　
P0000157655	疲れた へとへとになった
V0000367429	コーヒーミル 受け取ったコーヒーミルが動きません
V0000367430	酒場（さかば） バー
V0000367431	オリーブ油（ゆ） オリーブオイル
V0000367432	判断する（はんだん） 見掛けで人を判断してはいけない
V0000367433	凸凹（な）（でこぼこ） 凸凹の道路 月の表現は凸凹だ
V0000367434	～を　持ち上げる （もちあげる）
V0000367435	ハンモック 木と木の間にハンモックを吊った（つる）－
V0000367436	肛門（こうもん） 校門（こうもん）
V0000367437	人質（ひとじち） 人質はクリスマスの前に解放（かいほう）されるだろう
V0000367438	神経（しんけい）
P0000157656	にっこりする ニコニコする
P0000157656	頬笑む（ほほえみます） こういう風に彼女は私を見てにっこりした
P0000157657	良さ（よさ） 
P0000157657	長所（ちょうしょ）
P0000157657	この制度の良さは今に分かる
V0000367439	一晩中（ひとばんじゅう）
V0000367440	～あります 肉は焼いてあります
V0000367441	蛍（ほたる） 蛍が光る
V0000367442	消す（けします）
V0000367443	スクリーンセーバー
V0000367444	カウンター 
P0000157658	家事（かじ） 火事（かじ）
P0000157658	家事をしながら働き出る女性がたくさんいる
V0000367445	～に　富む（とみます） ～が　豊富です（ほうふ） ～が　豊か（ゆたか） カナダは木材に富む
V0000367446	鯨（くじら） 鯨は独自の言語があると信じられている
V0000367447	園芸（えんげい） 父は園芸の基本を教えてくれた
V0000367448	踏まえる（ふまえます） 基づく（もとづきます） 事実を踏まえた 経験を踏まえた助言
V0000367449	栗（くり） 彼は通りから栗を取り除いた（とりのぞいた） 栗のいが いが 
V0000367450	鎖（くさり） その犬は鎖でつないでおくべきだ
V0000367451	職業安定所（しょくぎょうあんていじょ） 職業安定所に登録する
V0000367452	職場（しょくば） 仕事場（しごとば） 私たちはコンピューターを職場へ運んだ
V0000367453	一期一会（な） （いちごいちえ）
V0000367454	薬草（やくそう）
V0000367455	マスク マスクをつける 防毒マスク（ぼうどく）
V0000367456	水彩絵の具　（すいさいえのぐ） 水彩画（すいさいが） 水彩画をかく
V0000367457	言うなれば（いうなれば） 言わば あの男は言うなれば大きくなった子供です
V0000367458	葡萄（ぶどう） 武道（ぶどう） 
V0000367459	寒い（さむい）ですよ。
V0000367460	明日（あした） 明日（あす） 明日（みょうにち）
V0000367461	自分（じぶん） 私は自分で数えた
V0000367462	人参（にんじん）
P0000157659	と言う、と思う 
P0000157659	～って 今、時間がないって、本当？
V0000367463	言語学者（げんごがくしゃ）
V0000367464	上がる（あがります） 二階に上がる
V0000367465	帰宅する（きたく） 家に帰る 夜になったので、帰宅する
V0000367466	わいろを受け取る
V0000367467	ちょっとお願いがあるんですが
