V0000336092	三が日
P0000149634	に君を推薦したいんだが、どうかね？	
P0000149635	本当だよ。それで
P0000149635	に君を推薦したいんだが、どうかね？ 
V0000337425	ですか！？	
V0000337426	ですか！？ 
P0000149636	いやいや、
P0000149636	だよ。	
P0000149637	いやいや、
P0000149637	だよ。 
V0000337427	ですか。ありがとうございます。第２希望でした。	
V0000337428	ですか。ありがとうございます。第２希望でした。 
V0000337429	お待たせ
V0000337430	就職活動
V0000337431	二人きり
V0000337432	卒業旅行
V0000337433	ピンチ・ヒッター
V0000337434	楽しみ
V0000337435	トリノオリンピック
V0000337436	賛成
V0000337437	何言ってるの？
V0000337438	陽子、お待たせ！	
V0000337439	陽子、お待たせ！ 
V0000337440	おはよう、メル！	
V0000337441	おはよう、メル！ 
V0000337442	さゆりとひでおは？	
V0000337443	さゆりとひでおは？ 
P0000149638	さゆりは論文を書き直してるところ。ひでおはまだ就活中。
P0000149638	に決まったけど、今の状態では入社できないかも。二人は卒業旅行に行けるかどうかまだわからない。	
P0000149639	さゆりは論文を書き直してるところ。ひでおはまだ就活中。
P0000149639	に決まったけど、今の状態では入社できないかも。二人は卒業旅行に行けるかどうかまだわからない。 
V0000337444	二人きりか！素敵だね！	
V0000337445	二人きりか！素敵だね！ 
V0000337446	何言ってるの？ピンチ・ヒッターがいるよ！私が呼んだの。あっ！いらっしゃった！	
V0000337447	何言ってるの？ピンチ・ヒッターがいるよ！私が呼んだの。あっ！いらっしゃった！ 
V0000337448	学長！！！	
V0000337449	学長！！！ 
V0000337450	どうも、どうも。久しぶりだね、メルは元気？	
V0000337451	どうも、どうも。久しぶりだね、メルは元気？ 
V0000337452	おかげさまで元気です。	
V0000337453	おかげさまで元気です。 
V0000337454	この旅行楽しみですね。どこがいい？	
V0000337455	この旅行楽しみですね。どこがいい？ 
V0000337456	トリノがいい！まだオリンピックをやってます！	
V0000337457	トリノがいい！まだオリンピックをやってます！ 
P0000149640	でも、切符を買えるかどうかわからないし。学長、ご希望はありますか？	
P0000149640	・ご 
P0000149641	でも、切符を買えるかどうかわからないし。学長、ご希望はありますか？ 
P0000149641	・ご 
V0000337458	そうですね。私の卒業旅行は沖縄でした。もう一度、行きたいなあ。	
V0000337459	そうですね。私の卒業旅行は沖縄でした。もう一度、行きたいなあ。 
V0000337460	沖縄もいいですね。私は賛成です。	
V0000337461	沖縄もいいですね。私は賛成です。 
P0000149642	私も
P0000149642	です！	
P0000149643	私も
P0000149643	です！ 
V0000337462	じゃ、決まり！	
V0000337463	じゃ、決まり！ 
V0000337464	行きましょう！	
V0000337465	行きましょう！ 
V0000337466	到着
V0000337467	ゴーヤチャンプルー
V0000337468	泡盛
V0000337469	がりがり
V0000337470	着替える
V0000337471	シュノーケル
V0000337472	懐かしい
V0000337473	沖縄
V0000337474	やっと
V0000337475	タコライス
V0000337476	到着！	
P0000149644	やっと海に着いた！きれいね
P0000149644	沖縄は最高！	
P0000149645	やっと海に着いた！きれいね
P0000149645	沖縄は最高！ 
V0000337477	そうだね。懐かしいな。30 年ぶりだ。	
V0000337478	そうだね。懐かしいな。30 年ぶりだ。 
V0000337479	気持ちいい！海が大好き！	
V0000337480	気持ちいい！海が大好き！ 
V0000337481	シュノーケルをやってみたいな。	
V0000337482	シュノーケルをやってみたいな。 
V0000337483	いい考えですね！私もやってみたいです。	
V0000337484	いい考えですね！私もやってみたいです。 
V0000337485	今は4.30 で、まだやっているかどうか・・・	
V0000337486	今は4.30 で、まだやっているかどうか・・・ 
V0000337487	聞いてみよう！	
V0000337488	聞いてみよう！ 
V0000337489	まだ大丈夫。早く着替えよう。	
V0000337490	まだ大丈夫。早く着替えよう。 
V0000337491	えー信じられない！学長すごい！格好いいー！！	
V0000337492	えー信じられない！学長すごい！格好いいー！！ 
V0000337493	えぇぇぇ、すごい身体してます！	
V0000337494	えぇぇぇ、すごい身体してます！ 
V0000337495	まあね。	
V0000337496	まあね。 
V0000337497	すごい！メルに全然勝っている！すごい学長！	
V0000337498	すごい！メルに全然勝っている！すごい学長！ 
V0000337499	プルとタコライスを食べよう。それで肉をつけよう。	
V0000337500	弁護士
V0000337501	優秀
V0000337502	スコール
V0000337503	雷
V0000337504	稲妻
V0000337505	お土産
V0000337506	ハブアイス
V0000337507	ストロー
V0000337508	久々。元気？	
V0000337509	久々。元気？ 
V0000337510	元気じゃない。沖縄は大変だった！	
V0000337511	元気じゃない。沖縄は大変だった！ 
V0000337512	どうしたの？	
V0000337513	どうしたの？ 
V0000337514	シュノーケルするところでスコールが来て、雷はごろごろ、雨はざあざあ。命が危なかった。ぎりぎりで逃げた。	
V0000337515	シュノーケルするところでスコールが来て、雷はごろごろ、雨はざあざあ。命が危なかった。ぎりぎりで逃げた。 
V0000337516	大変だったね。	
V0000337517	大変だったね。 
V0000337518	大変だったけど、メルと学長の方が倍ぐらい大変だった。	
V0000337519	大変だったけど、メルと学長の方が倍ぐらい大変だった。 
V0000337520	大変？何やったの？	
V0000337521	大変？何やったの？ 
V0000337522	それはちょっと言いにくい。本人から話を聞いて。	
V0000337523	それはちょっと言いにくい。本人から話を聞いて。 
V0000337524	じゃ、二人は今どこ？	
V0000337525	じゃ、二人は今どこ？ 
V0000337526	それも言いにくいな。	
V0000337527	それも言いにくいな。 
V0000337528	教えて！	
V0000337529	教えて！ 
V0000337530	無理。教えない。でも、優秀な弁護士が必要。ところで、お土産！	
V0000337531	無理。教えない。でも、優秀な弁護士が必要。ところで、お土産！ 
V0000337532	ありがとう。何だろう？えぇぇぇ、これは…ハブアイス！	
V0000337533	ありがとう。何だろう？えぇぇぇ、これは…ハブアイス！ 
V0000337534	そうそう！すごいでしょう！早く食べてみて。	
V0000337535	そうそう！すごいでしょう！早く食べてみて。 
V0000337536	溶けてる！どろどろ！	
V0000337537	溶けてる！どろどろ！ 
V0000337538	飛行機の中暑かったから。まあ、でも味は変わってないよ。ストローで飲んでみて。	
V0000337539	飛行機の中暑かったから。まあ、でも味は変わってないよ。ストローで飲んでみて。 
V0000337540	うん。わかった。おいしい！ありがとう。	
V0000337541	うん。わかった。おいしい！ありがとう。 
V0000337542	でしょう？えっ、秀雄は？彼の分もあるの。	
V0000337543	でしょう？えっ、秀雄は？彼の分もあるの。 
V0000337544	彼の就活はヤバい。仕事が見つかるかどうか…	
V0000337545	彼の就活はヤバい。仕事が見つかるかどうか… 
V0000337546	えぇぇぇ…でも自分の方がもっと心配。仕事まだ決まってないんだ。ねぇ、頼みがあるんだけど。来週、大事な面接があるから手伝ってほしい。	
V0000337547	えぇぇぇ…でも自分の方がもっと心配。仕事まだ決まってないんだ。ねぇ、頼みがあるんだけど。来週、大事な面接があるから手伝ってほしい。 
V0000337548	いいよ。	
V0000337549	いいよ。 
V0000337550	ありがとう。助かった！	
V0000337551	ありがとう。助かった！ 
V0000337552	お餅
V0000337553	そっと
V0000337554	とうとう
V0000337555	せめて
V0000337556	せっせと
V0000337557	ニコニコ
V0000337558	大晦日
V0000337559	地蔵
V0000337560	昔話
V0000337561	村外れ
V0000337562	激しい
V0000337563	積もる
V0000337564	後ろ姿
V0000337565	とんでもない
V0000337566	優秀な
V0000337567	困る
V0000337568	現在
V0000337569	血祭り
V0000337570	不法侵入
V0000337571	餌
V0000337572	鮫
V0000337573	水族館
V0000337574	べろべろ
V0000337575	力になる
V0000337576	時間を割く
V0000337577	見積もり
V0000337578	はい。	
V0000337579	はい。 
V0000337580	もしもし。陽子！どうなってる？	
V0000337581	もしもし。陽子！どうなってる？ 
V0000337582	今、先生と会うところ。もうちょっと待ってて。	
V0000337583	今、先生と会うところ。もうちょっと待ってて。 
V0000337584	これが僕らの最後の電話、頼むよ。	
V0000337585	これが僕らの最後の電話、頼むよ。 
V0000337586	わかったけど、二人のせいで今日の面接行けないよ。全く、とんでもない二人だよ！	
V0000337587	わかったけど、二人のせいで今日の面接行けないよ。全く、とんでもない二人だよ！ 
V0000337588	ごめん。よろしく！	
V0000337589	ごめん。よろしく！ 
V0000337590	どうぞお入りください。	
V0000337591	どうぞお入りください。 
V0000337592	失礼します。	
V0000337593	失礼します。 
V0000337594	どうぞ。座ってください。	
V0000337595	どうぞ。座ってください。 
V0000337596	時間を割いていただいてありがとうございます。	
V0000337597	時間を割いていただいてありがとうございます。 
V0000337598	いえいえ、学長が昔の友人なので力になりますよ。	
V0000337599	いえいえ、学長が昔の友人なので力になりますよ。 
V0000337600	ありがとうございます。戸鍋先生がついていますのできっと問題ないと思います。	
V0000337601	ありがとうございます。戸鍋先生がついていますのできっと問題ないと思います。 
V0000337602	ところで、テレビで見ましたけど、もう一度あの夜のことを教えてください。	
V0000337603	ところで、テレビで見ましたけど、もう一度あの夜のことを教えてください。 
V0000337604	そうですね。あの夜、二人が泡盛を飲みすぎて、べろべろになるまで飲み続けました。話題が近くにあるチュラ海水族館になって、学長がサメと一緒に泳ぎたがっていました。サメがちゃんとえさを食べているから問題ないと思って、二人は水族館に不法侵入して、結局血祭りでした。現在二人は病院にいます。	
V0000337605	そうですね。あの夜、二人が泡盛を飲みすぎて、べろべろになるまで飲み続けました。話題が近くにあるチュラ海水族館になって、学長がサメと一緒に泳ぎたがっていました。サメがちゃんとえさを食べているから問題ないと思って、二人は水族館に不法侵入して、結局血祭りでした。現在二人は病院にいます。 
V0000337606	困った二人ですね。だけど、私は日本で一番優秀な弁護士だから大丈夫です。任せてください！絶対に助けます！では、見積もりですが・・・	
V0000337607	困った二人ですね。だけど、私は日本で一番優秀な弁護士だから大丈夫です。任せてください！絶対に助けます！では、見積もりですが・・・ 
V0000337608	えぇぇぇ！ゼロが多すぎて！どうしよう？？	
V0000337609	えぇぇぇ！ゼロが多すぎて！どうしよう？？ 
V0000337610	買い取り
V0000337611	価値
V0000337612	羨ましい
V0000337613	子供の頃
V0000337614	（～と）呼ぶ
V0000337615	下の名前
V0000337616	フェラーリ
V0000337617	ランボルギーニ
V0000337618	こんな所で
V0000337619	ぼろい
V0000337620	愛車
V0000337621	処分
V0000337622	いらっしゃいませ。「ピーター車買取」へようこそ。	
V0000337623	いらっしゃいませ。「ピーター車買取」へようこそ。 
V0000337624	すみません。車を売りたいのですが。	
V0000337625	すみません。車を売りたいのですが。 
V0000337626	はい。かしこまりました。ご愛車はどちらでしょうか。	
V0000337627	はい。かしこまりました。ご愛車はどちらでしょうか。 
V0000337628	あのぼろい赤のミニです。	
V0000337629	あのぼろい赤のミニです。 
V0000337630	ずいぶん古いものですね。少々お待ちください。こちらで座って待っていてください。	
V0000337631	ずいぶん古いものですね。少々お待ちください。こちらで座って待っていてください。 
V0000337632	はい。はぁ～。弁護士料払えないから、高く売りたいなあ。	
V0000337633	はい。はぁ～。弁護士料払えないから、高く売りたいなあ。 
V0000337634	陽子ちゃん！どうしたの、こんな所で。	
V0000337635	陽子ちゃん！どうしたの、こんな所で。 
V0000337636	戸鍋先生！こんなところで。	
V0000337637	戸鍋先生！こんなところで。 
V0000337638	下の名前は亮。亮って呼んでよ。	
V0000337639	下の名前は亮。亮って呼んでよ。 
V0000337640	はい。	
V0000337641	はい。 
V0000337642	今日、車を売りに来たんだよ。	
V0000337643	今日、車を売りに来たんだよ。 
V0000337644	お金が必要なんですか。	
V0000337645	お金が必要なんですか。 
V0000337646	今回の弁護料で新しい車を買うつもりなんだよ。子供の頃、ずっとイタリアのランボルギーニがほしくて、あるいは、フェラーリも悪くないなあ。まだ決めてないけどね。弁護士でよかったよ。	
V0000337647	今回の弁護料で新しい車を買うつもりなんだよ。子供の頃、ずっとイタリアのランボルギーニがほしくて、あるいは、フェラーリも悪くないなあ。まだ決めてないけどね。弁護士でよかったよ。 
V0000337648	いいですねえ。うらやましいです。	
V0000337649	いいですねえ。うらやましいです。 
V0000337650	陽子ちゃんは何しに来たの？	
V0000337651	陽子ちゃんは何しに来たの？ 
V0000337652	あっ、えっと、車を探しに来たんです。	
V0000337653	あっ、えっと、車を探しに来たんです。 
V0000337654	お客様、お車の見積もりですが、お客様に二万円を支払っていただきます。車に価値はございません。処分するのには二万円必要です。	
V0000337655	お客様、お車の見積もりですが、お客様に二万円を支払っていただきます。車に価値はございません。処分するのには二万円必要です。 
V0000337656	えぇぇっ！それじゃ弁護士料払えないよ。	
V0000337657	えぇぇっ！それじゃ弁護士料払えないよ。 
V0000337658	ん～、じゃ今夜一緒に食事しながら、ゆっくり話しましょう。おいしい店いっぱい知ってるんだ。むふっふっふ・・・	
V0000337659	ん～、じゃ今夜一緒に食事しながら、ゆっくり話しましょう。おいしい店いっぱい知ってるんだ。むふっふっふ・・・ 
V0000337660	えっ～！戸鍋先生、目が変！どうしたんだろう！？	
V0000337661	えっ～！戸鍋先生、目が変！どうしたんだろう！？ 
V0000337662	フレンチレストラン
V0000337663	約束
V0000337664	相談
V0000337665	遠慮
V0000337666	解決
V0000337667	親友
V0000337668	どうしても
V0000337669	こういう時
V0000337670	やばい
V0000337671	迎えに行く
V0000337672	連絡
V0000337673	もしもし。亮ですけど。	
V0000337674	もしもし。亮ですけど。 
V0000337675	はい。	
V0000337676	はい。 
V0000337677	土曜日の６時に東京で一番おいしいフレンチレストランを予約しているので、５時半に僕の新しいフェラーリで迎えに行きます。	
V0000337678	土曜日の６時に東京で一番おいしいフレンチレストランを予約しているので、５時半に僕の新しいフェラーリで迎えに行きます。 
V0000337679	はい、わかりました。	
V0000337680	はい、わかりました。 
V0000337681	では、土曜日に。むふっふっふ・・・	
V0000337682	では、土曜日に。むふっふっふ・・・ 
V0000337683	どうしょう！？かなりやばい。どうしよう！本当に困った。あっ、分かった！こういう時には智子だ。高校の親友で、困ったとき遠慮なく相談していいって約束した。きっと智子が助けてくれる。しかし４年ぶりで、大丈夫かな。	
V0000337684	どうしょう！？かなりやばい。どうしよう！本当に困った。あっ、分かった！こういう時には智子だ。高校の親友で、困ったとき遠慮なく相談していいって約束した。きっと智子が助けてくれる。しかし４年ぶりで、大丈夫かな。 
V0000337685	智子ですけど。	
V0000337686	智子ですけど。 
V0000337687	もしもし、久しぶり・・・	
V0000337688	もしもし、久しぶり・・・ 
V0000337689	陽子ちゃん？	
V0000337690	陽子ちゃん？ 
V0000337691	はい。	
V0000337692	はい。 
V0000337693	久しぶり！元気？	
V0000337694	久しぶり！元気？ 
V0000337695	あんまり。最近ちょっと困ってる。ごめんね。ずっと連絡がなくて急に電話して。でも、今すごく困ってるんだ。ごめん、どうしても智子に力になってほしいことがある。今すぐ智子が必要なんだ。	
V0000337696	あんまり。最近ちょっと困ってる。ごめんね。ずっと連絡がなくて急に電話して。でも、今すごく困ってるんだ。ごめん、どうしても智子に力になってほしいことがある。今すぐ智子が必要なんだ。 
V0000337697	わかった。今すぐ行く！	
V0000337698	わかった。今すぐ行く！ 
V0000337699	でも、何の問題とか、まだ何も説明してないよ。	
V0000337700	でも、何の問題とか、まだ何も説明してないよ。 
V0000337701	大丈夫。着いたら教えて。どんな問題でも解決できるから！	
V0000337702	大丈夫。着いたら教えて。どんな問題でも解決できるから！ 
V0000337703	既に
V0000337704	ロマネコンティ
V0000337705	ソムリエさん
V0000337706	プラス
V0000337707	そういう訳で
V0000337708	昔
V0000337709	可能性がある
V0000337710	失う
V0000337711	件
V0000337712	最年少合格者
V0000337713	司法試験
V0000337714	国際弁護士
V0000337715	弁護士料
V0000337716	よく来たね。どうぞ。	
V0000337717	よく来たね。どうぞ。 
V0000337718	実は、今日、私の友人も一緒なんです。	
V0000337719	実は、今日、私の友人も一緒なんです。 
V0000337720	彼女もかわいい？	
V0000337721	彼女もかわいい？ 
V0000337722	とんでもない人ね。	
V0000337723	とんでもない人ね。 
V0000337724	いやぁ、かわいい、かわいい。はじめまして。私は・・・	
V0000337725	いやぁ、かわいい、かわいい。はじめまして。私は・・・ 
V0000337726	いや、もうわかってます。陽子から戸鍋先生の話はもうすでに聞いていますから。大したことありませんね。私は高橋智子です。国際弁護士として、現在、ニューヨークとチューリヒで仕事しています。司法試験の最年少合格者です。世界で一番優秀な弁護士でございます。さて、今夜のこのミーティングなんですが、もちろん仕事の話でしょうね。そうじゃないとあなた、免許を失う可能性がありますよ。	
V0000337727	いや、もうわかってます。陽子から戸鍋先生の話はもうすでに聞いていますから。大したことありませんね。私は高橋智子です。国際弁護士として、現在、ニューヨークとチューリヒで仕事しています。司法試験の最年少合格者です。世界で一番優秀な弁護士でございます。さて、今夜のこのミーティングなんですが、もちろん仕事の話でしょうね。そうじゃないとあなた、免許を失う可能性がありますよ。 
V0000337728	あっ、あっ、あっ、あ~。う~。	
V0000337729	あっ、あっ、あっ、あ~。う~。 
V0000337730	すか。	
V0000337731	本当にごめんなさい。昔の僕は違った。全然違ったんです。ある女に昔、ひどく傷つけられまして。それ以来私はちょっと変わりました。許してください。私の本当の姿は違います。	
V0000337732	本当にごめんなさい。昔の僕は違った。全然違ったんです。ある女に昔、ひどく傷つけられまして。それ以来私はちょっと変わりました。許してください。私の本当の姿は違います。 
V0000337733	もちろん私達も知っています。戸鍋先生は本当にやさしい人です。そういう訳で、弁護士料をゼロにして・・・	
V0000337734	もちろん私達も知っています。戸鍋先生は本当にやさしい人です。そういう訳で、弁護士料をゼロにして・・・ 
V0000337735	プラス、今夜ごちそうしていただきます。	
V0000337736	プラス、今夜ごちそうしていただきます。 
V0000337737	そうですね。そうします。	
V0000337738	そうですね。そうします。 
V0000337739	では、ソムリエさん、ロマネコンティを3 本お願いします。	
V0000337740	では、ソムリエさん、ロマネコンティを3 本お願いします。 
V0000337741	は！？	
V0000337742	は！？ 
V0000337743	先生、ありがとう！	
V0000337744	先生、ありがとう！ 
V0000337745	は！？	
V0000337746	は！？ 
V0000337747	うっかり
V0000337748	図々しい
V0000337749	全く
V0000337750	何よりも
V0000337751	あばよ
V0000337752	馴染む
V0000337753	あり得ない
V0000337754	ろくでなし
V0000337755	なかなか難しいケースですね。どうやったら二人を助けられるか・・・	
V0000337756	なかなか難しいケースですね。どうやったら二人を助けられるか・・・ 
V0000337757	そうですか？簡単ですよ。一体、何年弁護士やってるんですか。まったく。	
V0000337758	そうですか？簡単ですよ。一体、何年弁護士やってるんですか。まったく。 
V0000337759	そ、そうですか。さすが、最年少合格者！	
V0000337760	そ、そうですか。さすが、最年少合格者！ 
V0000337761	あっ、そういえば、メルから手紙が来たんだった！うっかり忘れるところだった。今、読むね。	
V0000337762	あっ、そういえば、メルから手紙が来たんだった！うっかり忘れるところだった。今、読むね。 
V0000337763	陽子ちゃん、元気にしてますか。優秀な弁護士にはちゃんと会えましたか。学長の親友ならきっと親切な人だろうと思います。	
V0000337764	陽子ちゃん、元気にしてますか。優秀な弁護士にはちゃんと会えましたか。学長の親友ならきっと親切な人だろうと思います。 
V0000337765	その通りですよ！	
V0000337766	その通りですよ！ 
V0000337767	何言ってるんですか、ずうずうしい。	
V0000337768	何言ってるんですか、ずうずうしい。 
V0000337769	まあ、待って。続きがあるから。えっと、	
V0000337770	まあ、待って。続きがあるから。えっと、 
V0000337771	こんなことを言うと陽子ちゃんがあきれるかもしれないけど、僕と学長はここでの生活を楽しんでます。	
V0000337772	こんなことを言うと陽子ちゃんがあきれるかもしれないけど、僕と学長はここでの生活を楽しんでます。 
V0000337773	何だって！？	
V0000337774	何だって！？ 
V0000337775	どうして？	
V0000337776	どうして？ 
V0000337777	ここは最高！食事がただで食べ放題。そして、何よりも、毎日ただで日本語のレッスンし放題！東京では誰も日本語で話しかけてくれなかったのに、ここではみんな全部日本語！	
V0000337778	ここは最高！食事がただで食べ放題。そして、何よりも、毎日ただで日本語のレッスンし放題！東京では誰も日本語で話しかけてくれなかったのに、ここではみんな全部日本語！ 
V0000337779	そりゃ、そうだろう。	
V0000337780	そりゃ、そうだろう。 
V0000337781	陽子ちゃんには悪いけど、しばらくここでの生活を楽しみたくなってきました。	
V0000337782	陽子ちゃんには悪いけど、しばらくここでの生活を楽しみたくなってきました。 
V0000337783	あきれた！	
V0000337784	あきれた！ 
V0000337785	学長もいっぱい友達ができて、毎日楽しそうです。僕らにもうしばらく時間をください。また手紙書きます。あばよ！メル。	
V0000337786	学長もいっぱい友達ができて、毎日楽しそうです。僕らにもうしばらく時間をください。また手紙書きます。あばよ！メル。 
V0000337787	いいなあ、メル君、すっかりなじんでて。うらやましいなあ。	
V0000337788	いいなあ、メル君、すっかりなじんでて。うらやましいなあ。 
V0000337789	こんなろくでなしとつきあってたの？こんな人たちのために私を呼んだなんてあり得ない！陽子にはがっかりよ。	
V0000337790	こんなろくでなしとつきあってたの？こんな人たちのために私を呼んだなんてあり得ない！陽子にはがっかりよ。 
V0000337791	成田空港
V0000337792	態度が悪い
V0000337793	態度がいい
V0000337794	態度
V0000337795	お客様
V0000337796	関係ある
V0000337797	関係ない
V0000337798	関係
V0000337799	おしゃれ（な）
V0000337800	とにかく
V0000337801	超える
V0000337802	旅立つ
V0000337803	もういい、陽子、私帰る！こんなことで時間を無駄にしたくない。	
V0000337804	もういい、陽子、私帰る！こんなことで時間を無駄にしたくない。 
V0000337805	ちょっと待って、智子、もう少しだけ話を聞いて！お願い！お願いだから！	
V0000337806	ちょっと待って、智子、もう少しだけ話を聞いて！お願い！お願いだから！ 
V0000337807	タクシー！	
V0000337808	こんばんは、どこまでですか。	
V0000337809	こんばんは、どこまでですか。 
V0000337810	成田空港へ。	
V0000337811	成田空港へ。 
V0000337812	空港ですと十万を超えますよ。	
V0000337813	空港ですと十万を超えますよ。 
V0000337814	いくらでもかまわない。とにかく空港へ行って。早くここを出たいの。早く自分のおしゃれな生活に戻りたい。やっぱり戻ってきたのは失敗だった。早くここを忘れたい。	
V0000337815	いくらでもかまわない。とにかく空港へ行って。早くここを出たいの。早く自分のおしゃれな生活に戻りたい。やっぱり戻ってきたのは失敗だった。早くここを忘れたい。 
V0000337816	どうしましたか。けんかでもしましたか。	
V0000337817	どうしましたか。けんかでもしましたか。 
V0000337818	けんかしてきたばかりよ 。でもあなたに関係ないでしょう。	
V0000337819	けんかしてきたばかりよ 。でもあなたに関係ないでしょう。 
V0000337820	いや、関係あります。私のお客様ですから。お客様の幸せが私の幸せです。お客様が悲しいと私も悲しいです。	
V0000337821	いや、関係あります。私のお客様ですから。お客様の幸せが私の幸せです。お客様が悲しいと私も悲しいです。 
V0000337822	すみません。やっぱり私の態度が悪かった。ごめんなさい。	
V0000337823	すみません。やっぱり私の態度が悪かった。ごめんなさい。 
V0000337824	いや、問題ございません。　でも、そんな気持ちで旅立たないでください。私でよければ、気分転換のお手伝いをしますよ。	
V0000337825	いや、問題ございません。　でも、そんな気持ちで旅立たないでください。私でよければ、気分転換のお手伝いをしますよ。 
V0000337826	そうね。そう言われたらお腹がすいてきたわ。	
V0000337827	そうね。そう言われたらお腹がすいてきたわ。 
V0000337828	もしよかったら、いいラーメン屋を知ってますよ。東京で一番汚いけど、一番安くて、一番おいしいラーメンです。	
V0000337829	もしよかったら、いいラーメン屋を知ってますよ。東京で一番汚いけど、一番安くて、一番おいしいラーメンです。 
V0000337830	じゃあ、そこへ行って。もしよかったら、運転手さんも一緒にどう？	
V0000337831	じゃあ、そこへ行って。もしよかったら、運転手さんも一緒にどう？ 
V0000337832	喜んでお供します。	
V0000337833	喜んでお供します。 
V0000337834	ご無沙汰
V0000337835	目印
V0000337836	印
V0000337837	お似合い
V0000337838	意外（と）
V0000337839	世間
V0000337840	稚内
V0000337841	(時間が)経つ
V0000337842	出稼ぎ
V0000337843	逆
V0000337844	一生懸命
V0000337845	地元
V0000337846	丁
V0000337847	気が合う
V0000337848	美味しいという印
V0000337849	ゴキブリ
V0000337850	稼ぐ
V0000337851	いらっしゃい・いらっしゃいませ	
V0000337852	いらっしゃい・いらっしゃいませ 
V0000337853	おかげさまで。ご無沙汰していました。お元気ですか。	
V0000337854	おかげさまで。ご無沙汰していました。お元気ですか。 
V0000337855	元気いっぱいですよ。お友達ですか。	
V0000337856	元気いっぱいですよ。お友達ですか。 
V0000337857	そうです。	
V0000337858	そうです。 
V0000337859	はじめまして、よろしくお願いします。	
V0000337860	はじめまして、よろしくお願いします。 
V0000337861	こちらこそ、さぁー、こちらへどうぞ。	
V0000337862	こちらこそ、さぁー、こちらへどうぞ。 
V0000337863	嘘じゃなかったんですね。本当に汚いな。あ！ゴキブリ！	
V0000337864	嘘じゃなかったんですね。本当に汚いな。あ！ゴキブリ！ 
V0000337865	まあまあ、大丈夫ですよ。ゴキブリは美味しいという印ですよ。気にしないで。	
V0000337866	まあまあ、大丈夫ですよ。ゴキブリは美味しいという印ですよ。気にしないで。 
V0000337867	なんになさいますか。	
V0000337868	なんになさいますか。 
V0000337869	味噌ラーメンください・味噌ラーメンお願いします。	
V0000337870	味噌ラーメンください・味噌ラーメンお願いします。 
V0000337871	お二人、気が合いますね。お父さん、味噌二丁。	
V0000337872	お二人、気が合いますね。お父さん、味噌二丁。 
V0000337873	あいよう！	
V0000337874	あいよう！ 
V0000337875	すごいおばあさんですね。	
V0000337876	すごいおばあさんですね。 
V0000337877	でしょう！ここに来ると地元を思い出します。	
V0000337878	でしょう！ここに来ると地元を思い出します。 
V0000337879	ご出身はどちらですか。	
V0000337880	ご出身はどちらですか。 
V0000337881	北海道の田舎から来ました。	
V0000337882	北海道の田舎から来ました。 
V0000337883	え？私も北海道です。でも田舎が大嫌いで、どうしても北海道を出たくて、一生懸命勉強して、東京の大学に入りました。	
V0000337884	え？私も北海道です。でも田舎が大嫌いで、どうしても北海道を出たくて、一生懸命勉強して、東京の大学に入りました。 
V0000337885	私は逆です。ここが嫌いだけど、出稼ぎのために出てきました。たまには帰ったりしますか。	
V0000337886	私は逆です。ここが嫌いだけど、出稼ぎのために出てきました。たまには帰ったりしますか。 
V0000337887	全然帰ってないです。もう六年経ちます。	
V0000337888	全然帰ってないです。もう六年経ちます。 
V0000337889	ところで、北海道のどこですか。	
V0000337890	ところで、北海道のどこですか。 
V0000337891	稚内です。	
V0000337892	稚内です。 
V0000337893	え？稚内？私も稚内です。	
V0000337894	え？稚内？私も稚内です。 
V0000337895	本当に稚内？じゃ、一緒ですね。	
V0000337896	本当に稚内？じゃ、一緒ですね。 
V0000337897	はい	
V0000337898	はい 
V0000337899	世間は狭いですね。二人は意外とお似合いですよ。お父さん、私たちも昔に戻りたいね。	
V0000337900	世間は狭いですね。二人は意外とお似合いですよ。お父さん、私たちも昔に戻りたいね。 
V0000337901	六本木ヒルズ
V0000337902	招待券
V0000337903	見送り
V0000337904	無事
V0000337905	行方不明
V0000337906	落ち着く
V0000337907	様子
V0000337908	かしら
V0000337909	宝物
V0000337910	ロボット
V0000337911	レジデンス
V0000337912	商品券
V0000337913	ドア開く音
V0000337914	ただいま。	
V0000337915	ただいま。 
V0000337916	お帰り。	
V0000337917	お帰り。 
V0000337918	ねえ、ばあちゃん。子供がいなくて寂しいと思うことはないかい。ばあちゃんはずっとほしかったのに、わしがずっとロボットの仕事で忙しくて・・・もうこんな歳になっちゃったなあ。	
V0000337919	ねえ、ばあちゃん。子供がいなくて寂しいと思うことはないかい。ばあちゃんはずっとほしかったのに、わしがずっとロボットの仕事で忙しくて・・・もうこんな歳になっちゃったなあ。 
V0000337920	あなた、何言っているの。あなたとあなたの手で作ったこのロボットたちが私の宝物ですよ。私は今、十分幸せですよ。ほら見て。ここにいる500のロボットたちはみんな家族ですよ。	
V0000337921	あなた、何言っているの。あなたとあなたの手で作ったこのロボットたちが私の宝物ですよ。私は今、十分幸せですよ。ほら見て。ここにいる500のロボットたちはみんな家族ですよ。 
V0000337922	ありがとう。ばあさん。本当にありがとう。ところで、明日はお正月だよ。寿司でも買ってこようか。	
V0000337923	ありがとう。ばあさん。本当にありがとう。ところで、明日はお正月だよ。寿司でも買ってこようか。 
V0000337924	車の中
V0000337925	久しぶりのドライブですね。	
V0000337926	久しぶりのドライブですね。 
V0000337927	そうだね。	
V0000337928	そうだね。 
