V0000361331	木星（もくせい） あの上の方で光っている星は木星だ
V0000361437	上げます（あげます） 売り手は値段を上げます
P0000156434	悪者（わるもの） 
P0000156434	腕白（わんぱく） 悪人（あくにん） 
V0000361438	往復（おうふく） 東京から大阪までのチケット往復で一枚ください
V0000361439	～を　番する（ばん） この店は、いつも子供が番をしている
V0000361440	メインコース メインコースの後のデザート
V0000361441	朱に交われば赤くなる （しゅにまじわればあかくなる）
V0000361442	大陸（たいりく） 世界には７大陸がある
V0000361443	光るものすべてが金ではない
V0000361444	筋骨たくましい （きんこつたくましい） 筋骨たくましい大男　(おおおとこ)
V0000361445	出演（しゅつえん） 映画に出演する
V0000361446	頼む（たのみます） 注文する（ちゅうもん） レストランでスープしか頼みませんでした
V0000361447	立春（りっしゅん）
V0000361448	画家（がか） 私はこの絵を描いた画家を知っている
V0000361449	受身（な）（うけみ） 受身(形) 受け身に回る
P0000156435	我がまま（な）（わがまま）
P0000156435	我利我利（な）（がりがり）
P0000156435	利己的（な）（りこてき）
P0000156436	窓口（まどぐち） カウンター　
P0000156436	先にお金を払ってから、三番の窓口に行ってください
V0000361450	黒死病（こくしびょう） ペスト
P0000156437	分子（ぶんし） 
P0000156437	分数（ぶんすう） 分母（ぶんぼ）
V0000361451	発表する（はっぴょう） あした、試験の結果が発表される
V0000361452	招待する（しょうたい） 上司が夕食に招待してくれた
V0000361453	広める（ひろめます） 彼らは福音を全世界に広めた うわさを広める
P0000156438	の
P0000156438	あまり, 
P0000156438	あまり (すぎる 
P0000156438	この教科書は文法を重視（じゅうし）するあまり面白くないです。 秋子は恐怖のあまり声も出なかった。
V0000361454	クリスマスツリー
P0000156439	恋する（こい） 
P0000156439	愛する（あい） 
P0000156439	親子, 
P0000156439	上田さんは田中さんの妹に恋している
V0000361455	擬態語	ざあざあ 擬態語
V0000361456	画像（がぞう） テレビの画像はぼやけて見える
V0000361457	レーダー 魚群の位置はこのレーダー上に雲のような形で表される
V0000361458	継父（ままちち）
V0000361459	～ほど 猫は犬ほど好きじゃない
V0000361460	キャンパス
V0000361461	ご注文は？（ごちゅうもん）
V0000361462	暴動（ぼうどう） 暴動を鎮圧する
V0000361463	蚕　(カイコ) 蚕の祖先は東アジアに生息したと考えられている
V0000361464	陥る（おちいります） 昏睡状態（こんすいじょうたい）に陥る 誘惑（ゆうわく）に陥る
V0000361465	ハシバミの実 (み) ヘイゼルナッツ
P0000156440	ベロ　(俗) 
P0000156440	舌（した） ベロを出す 靴のべろ
V0000361466	どうも この文の意味がどうもよく分からない 鈴木さんはどうも京都大学に入りたいらしい このごろどうも体の調子（ちょうし）がよくないんです
P0000156441	縁側（えんがわ） ポーチ 
P0000156441	縁側から家に上がった
V0000361467	電話が鳴っている（なる）
V0000361468	約束（やくそく） 
V0000361469	教員（きょういん） 教師（きょうし） 先生（せんせい） 数学の教員
V0000361470	タンゴ 単語（たんご）
V0000361471	占領（せんりょう） その都市は１６６２年にイギリス人に占領された
V0000361472	素直（な）（すなお） 素直な子だ
V0000361473	意地悪（な）（いじわる） 意地悪をする 意地悪には見えないけど
V0000361474	おなかがいっぱいです。
V0000361475	家へ行く道が分からない
P0000156442	青年（せいねん） 若者（わかもの）
P0000156442	青春（せいしゅん）
V0000361476	果汁しぼり器 （かじゅうしぼりき） 果汁（かじゅう）
V0000361477	ヒレ
V0000361478	この頃（このごろ） 最近（さいきん）
V0000361479	擦り切れる（すりきれます） 破れる（やぶれます） 彼のオーバーは擦り切れている
V0000361480	十二指腸（じゅうにしちょう）
V0000361481	食卓（しょくたく） 食卓から皿を片付ける
V0000361482	投げる（なげます） 子供がボールを投げている
V0000361483	コンセント
P0000156443	産業（さんぎょう） 工業（こうぎょう）
P0000156443	彼は自動車産業に従事（じゅうじ）している
V0000361484	砂糖を入れる
V0000361485	青春（せいしゅん） 青春の夢
V0000361486	けいこと一緒に
V0000361487	索引（さくいん） その本には索引が付いていますか
V0000361488	仕事（しごと） まだ仕事をしてるんですか。
V0000361489	目が覚める（さめます） 起きる（おきます） すると、目が覚めました
P0000156444	大半（たいはん） 過半数（かはんすう）
P0000156444	社員の大半 一日の大半を読書して過ごした 大半は/が
P0000156445	屋上（おくじょう） 
P0000156445	屋根（やね） 屋上庭園（おくじょうていえん）
V0000361490	プレーボーイ 女垂らし（おんなたらし）
V0000361491	革命（かくめい） その発見は建設的であるとともに革命的だった
V0000361492	命を落とす（おとします） 死ぬ（しにます） 亡くなる（なくなります） 死亡する（しぼう）
V0000361493	魚卵（ぎょらん） イクラ
V0000361494	古文（こぶん）
P0000156446	期待する（きたい） 気体（きたい） 
P0000156446	望む（のぞみます）
P0000156446	を期待して 昇進を期待して一生懸命働いた
V0000361495	借り（かり） 借金（しゃっきん） 私は君にいくら借りがありますか 彼の借金はドルに達した
V0000361496	死体（したい）
V0000361497	高校生（こうこうせい）
P0000156447	雛鳥（ひなどり） 
P0000156447	小鳥（ことり） 公園をあるいているとき、私はひな鳥を見つけた
P0000156448	間隔（かんかく） 感覚（かんかく） 
P0000156448	バスは１５分間隔で運転される
V0000361498	未だに（いまだに） 今でも（いまでも）
V0000361499	勉強中（べんきょうちゅう） 勉強している
P0000156449	息をする（いき） 
P0000156449	呼吸する（こきゅう）
V0000361500	クレーン
V0000361501	パン粉（こ）
P0000156450	学問する（がくもん） 
P0000156450	あの人は学問がある
V0000361502	様々（な）（さまざま）
V0000361503	へとへと（です/になる） 疲れた（つかれた） 二時間の通勤すると、会社に着く頃にはもうへとへとでうよ
V0000361504	幾ら（いくら）
P0000156451	(俗)	げじげじ 
P0000156451	百足（むかで） 
P0000156451	げじげじ眉（まゆ）
V0000361505	意識を失う （いしきをうしなう） 失神する（しっしん） 気絶する（きぜつ）
P0000156452	(日が) 暮れる（くれます） 
P0000156452	列車は日が暮れてからローマに着いた 日が暮れる前に 秋が暮れた
V0000361506	西日（にしび）
V0000361507	濃い（こい） 濃いお茶（こい） 濃いスープ 濃い赤
V0000361508	先史の（せんし） 先史時代 先史時代の日本
V0000361509	箱（はこ） ゴミ箱（ごみばこ）
V0000361510	黒海（こっかい） 国会（こっかい）
P0000156453	時計屋 
P0000156453	時計屋さん 
V0000361511	品質（ひんしつ） 品質はいいでも値段は高い
V0000361512	くすくす笑う
P0000156454	作り上げる（つくりあげます） 
P0000156454	でっち上げる その話はだれかが作り上げたに違いない
V0000361513	うに
P0000156455	～を　捕食する（ほしょくしゃ）　
P0000156455	～を　狩る（かります）
P0000156456	変身（へんしん） 返信（へんしん）
P0000156456	サナギは蝶へと変身した 彼はスーパーマンに変身した
V0000361514	満開（まんかい） その植物園はバラの花が満開だった
V0000361515	内科（ないか） 内科はどこですか
V0000361516	出発（しゅっぱつ）
P0000156457	支える（ささえます）
P0000156457	支持する（しじ） 
P0000156457	杖で体を支える 彼は大家族を支えて行かねばならない
V0000361517	官僚（かんりょう） 官僚主義（かんりょうしゅぎ） 官僚（かんりょう） 官僚主義者（かんりょうしゅぎしゃ）
V0000361518	石油（せきゆ） 日本はアラブから石油を買った
P0000156458	以外（いがい） 意外（いがい）
P0000156458	ジョン以外はみんな到着した
V0000361519	直接接触 （ちょくせつせっしょく）
V0000361520	生物（せいぶつ） 生き物（いきもの）
V0000361521	（普通形） ～などと言う お金がないから、日本に行くなどということは夢だ
V0000361522	農場（のうじょう）
V0000361523	インド洋（よう）
V0000361524	離婚（りこん） 二人が離婚するといううわさが流れる
V0000361525	許可（きょか） 許可を取る 許可を与える 許可がなければ、ここで写真が取れません
V0000361526	教え子（おしえご） だれが山田先生の教え子ですか
V0000361527	カフェテリア
P0000156459	返事（へんじ） 
P0000156459	答え（こたえ） 回答（かいとう）
V0000361528	～と～ 天気が悪いと、私は眠くなる
V0000361529	副鼻腔（ふくびこう）
V0000361530	貧乏人（びんぼうにん）
P0000156460	臭い（におい） 
P0000156460	香り（かおり） 
P0000156460	バラはいい臭いがする
V0000361531	機嫌（きげん） 社長は今日機嫌がいいですか
V0000361532	図案（ずあん） 彼は象牙に図案を彫った 図案家
V0000361533	王子(さま)（おうじ）
V0000361534	おかげさまで。
V0000361535	仕上がる（しあがります） 出来上がる（できあがります） 洗濯は仕上がっていますか 仕事は途中まで仕上がっている
V0000361536	お札（おさつ）
P0000156461	想像（そうぞう） 創造（そうぞう）
P0000156461	空想（くうそう） 自分が富豪（ふごう）だと想像してみた
V0000361537	カジノ
V0000361538	牛乳（ぎゅうにゅう） ミルク
V0000361539	戸籍（こせき）
V0000361540	リーキ 西洋ニラネギ（せいよう）
V0000361541	～階建ての（かいだて） ３階建ての建物 １１階建てのマンション
V0000361542	学園（がくえん） 学校では学園音楽祭の準備しています 学園都市（がくえんとし）
V0000361543	のど 咽喉（いんこう）
V0000361544	サタン 悪魔（あくま）
V0000361545	針金（はりがね） ワイヤ 針金のような毛〔犬などの〕
V0000361546	免疫系（めんえきけい）
V0000361547	邪魔する（じゃま） 仕事の邪魔をする ラジオの音が邪魔になって、勉強が出来ません 午後、お邪魔してもよろしいでしょうか
V0000361548	和平条約(わへいじょうやく) 和平条約の調印（ちょういん）
V0000361549	なんとなく 暗い色はなんとなく重く感じるようです
P0000156462	プチ 
P0000156462	プチ旅行
V0000361550	走者（そうしゃ）
V0000361551	心臓（しんぞう）
V0000361552	テーブルクロス
V0000361553	いぼ 首にいぼができた
V0000361554	住所（じゅうしょ）
P0000156463	せいぜい 
P0000156463	私にはせいぜいあなたの半分しができない
V0000361555	細い（ほそい） 私は目が細い。
V0000361556	リンス
V0000361557	放送する（ほうそう） ニュースは毎時放送している
V0000361558	道の向こう側（みちのむこうがわ） 道の向こう側をセクシーな女の人歩いている
V0000361559	～が　凍る（こおります） ～を　凍らせる（こおらせます） 11月には湖が凍ってしまう
V0000361560	海星（ひとで） 人出（ひとで）
V0000361561	辺（へん） この辺だと思う
V0000361562	販売法（はんばいほう）
V0000361563	家庭的（な）（かていてき） 家庭的な雰囲気 家庭的な男性 あの旅館は家庭的だ
P0000156464	一朝一夕（いっちょういっせき）　
P0000156464	ない これは一朝一夕に解決できる問題じゃない
V0000361564	ハネムーン 新婚旅行（しんこんりょこう） その新婚夫婦は新婚旅行でハワイに出かけて行った
V0000361565	送料（そうりょう） 外国郵便の送料
P0000156465	～に　関連する（かんれん） ～と　関係する（かんけい）
P0000156465	いびきとタバコのすい過ぎに関連がある
P0000156466	味噌っ歯（みそっぱ） 虫歯（むしば）
P0000156466	味噌っ歯になる うちの子供は甘いものの食べ過ぎで、味噌っ歯になってしまった
V0000361566	症状（しょうじょう） 症状がひどくなったら、医者に相談してください 徐々に（じょじょ）症状が悪化した
V0000361567	接近する（せっきん） 近づける（ちかづけます） 台風が九州に接近していると発表された
V0000361568	虐殺（ぎゃくさつ） 彼は虐殺された 村中の人が虐殺された ユダヤ大虐殺 大量虐殺（たいりょうぎゃくさつ）
V0000361569	戸棚（とだな） 
P0000156467	工業（こうぎょう）
P0000156467	産業（さんぎょう）
P0000156467	重工業（じゅう） 軽工業（けい） この国は工業が発達している
V0000361570	静物画（せいぶつが）
V0000361571	テニスコート
V0000361572	季節（きせつ）
V0000361573	ひょう窃（ひょうせつ） ひょう窃する
P0000156468	異常（な）（いじょう） 以上（いじょう）
P0000156468	異常な才能 こんな暖かい天気は二月にしては異常だ
V0000361574	何してんの？
V0000361575	灯台（とうだい） 遠い灯台のかすかな光を見た
P0000156469	自首する（じしゅ）
P0000156469	自主（じしゅ）
P0000156469	降参する（こうさん）
P0000156469	降伏する（こうふく）
P0000156469	その犯人は警察に自首した
V0000361576	戦う（たたかいます） 敵と戦う
P0000156470	左右する（さゆう） 影響する（えいきょう） 
P0000156470	支配する（しはい） 
P0000156470	友達に左右されやすい人だ 一国の運命を左右する
V0000361577	召し上がれ（めしあがれ） 召し上がる　（めしあがります） 召し上がり物　（めしあがりもの）
V0000361578	血を流せる（ながせる）
V0000361579	魚群（ぎょぐん） 魚群の位置はこのレーダー上に雲のような形で表される
V0000361580	民族（みんぞく）
V0000361581	狭い（せまい）
V0000361582	池（いけ） 湖（みずうみ）
V0000361583	日夜（にちや） 日夜働き続ける
V0000361584	海賊（かいぞく） 海賊たちには降参する以外に道はなかった
V0000361585	歌（うた）
P0000156471	地域（ちいき） 地方（ちほう）
P0000156471	その地域の方言 
P0000156471	の国と地域から 
P0000156471	名の若者が集まった
V0000361586	オリエンテーション 新入生向けのオリエンテーションを行う
V0000361587	鯨（くじら）
V0000361588	より 猫のほうが犬より好きです。
V0000361589	スウプを飲む（のむ）
V0000361590	ブラックボックス
V0000361591	塩入れ（しおいれ）
P0000156472	背広（せびろ）
P0000156472	スーツ 
V0000361592	未満（みまん） 18歳未満の方の入場は禁じます
V0000361593	おかまいなく。
V0000361594	脛（すね） 弁慶の泣き所 （べんけいのなきどころ）
P0000156473	吹き替え（ふきかえ） 映画を吹き替える（ふきかえます）
P0000156473	振り返る（ふりかえります）
P0000156473	日本語に吹き替えた『ハムレット』 アメリカ映画を日本語に吹き替える
V0000361595	むしろ 私は甘いものよりむしろ辛い物のほうが空きだ
V0000361596	学園都市（がくえんとし） 学園（がくえん）
V0000361597	自発的（な）（じはつてき） 彼はそれを自発的に行った 生徒は自発的に教室の掃除をした
V0000361598	炎（ほのお） 家々は次々と炎を噴き出して燃えた
V0000361599	ヘッドホン ヘッドホンから音が漏れているのは彼です
V0000361600	豆をまく
P0000156474	課(か) 六課　（ろっか） 八課（はっか） 
P0000156474	三課　（さんか）
V0000361601	冥王星（めいおうせい）
V0000361602	巨人（きょじん）
P0000156475	人工知能（じんこうちのう） 
P0000156475	は人工知能の略だ
V0000361603	年代順に（ねんだいじゅん） 年代順の
V0000361604	家事手伝い（かいてつだい） お手伝いさん 
V0000361605	得る（えます） 手に入れる もらう その男は権力を得るために多額の金を使った
V0000361606	目指す（めざします） 教育はテストに合格することを目指すべきではない
V0000361607	愛読する（あいどく） 彼は太宰治を愛読している 私は彼の小説を愛読した
V0000361608	鯉のぼり（こいのぼり） 鯉のぼりを立てる（こいのぼり）
V0000361609	短い（みじかい）
V0000361610	知識（ちしき） 幅広い知識（はばひろい）
V0000361611	コレステロール コレステロール値（ね）が上がってきています
P0000156476	当然（とうぜん） 明らか（な）（あきらか）
P0000156476	彼女は当然私の見方になると思った
V0000361612	滴（しずく） 一滴　(いってき) 一滴の涙　(いってきのなみだ) ぶどう酒のグラスを最後の一滴まで飲み干した　（のみほす）
V0000361613	アメリカ豹（ひょう） 豹（ひょう）
V0000361614	幼稚園（ようちえん） 保育園（ほいくえん）
V0000361615	むりもありません 
P0000156477	支社（ししゃ） 死者（ししゃ）
P0000156477	支店（してん）
P0000156477	この書類を支社に届けてくれませんか
V0000361616	一日おきに 五メートルおきに
V0000361617	森林（しんりん） 森（もり） 私は森林の中で道に迷った（まよう）
V0000361618	セクハラ
V0000361619	おやすみ。 おやすみなさい。
V0000361620	ルネサンス ルネサンスの芸術（げいじゅつ）
V0000361621	海草（かいそう）
V0000361622	コーチ トレーナー
V0000361623	切り裂く（きりさきます） 布を切り裂く 落雷で木はまっぷたつに切り裂かれた 切り裂きジャック（きりさき）
P0000156478	徐々に（じょじょ） ゆっくり　
P0000156478	段々に（だんだん）
P0000156478	次第に（しだい）
P0000156478	列車は徐々にスピードを上げた
V0000361624	おしゃべりや
V0000361625	じゃ、またね
V0000361626	ネパール
V0000361627	丁度（ちょうど） ちょうどいいです
V0000361628	脇（わき） 右脇が痛い 雑誌はデーブルの脇に積んである
V0000361629	～が 下手（な）(へた) ～が 苦手です（にがて） 
V0000361630	～を　弄る（いじります） 私のコンピュータをいじらないでくれ ペンを弄る
P0000156479	現代的（げんだいてき） 近代（きんだい）
P0000156479	現代日本文学
V0000361631	アーモンド
V0000361632	蝋人形（ろうにんぎょう） 蝋人形館（ろうにんぎょうかん）
V0000361633	開戦する（かいせん） 戦争の勃発（ぼっぱつ） 終戦（しゅうせん） 開戦の理由
V0000361634	心臓発作（しんぞうほっさ） 彼は心臓発作した
V0000361635	孔子（こうし） 孔子の言説は有名です
P0000156480	胴（どう） 銅（どう）
P0000156480	ダックスフントは、非常に長い胴と短い足をした犬です
V0000361636	浮き輪（うきわ）
V0000361637	～倍（ばい） 5の倍は10だ この木はあの木の2.5倍の高さだ
P0000156481	討論（とうろん） 議論（ぎろん）
P0000156481	私は彼とその問題を討論した 討論者（とうろんしゃ）
P0000156482	頼り（たより） 便り（たより）
P0000156482	頼りにして大丈夫だよ 私が知る限りでは、彼は頼りになる人だ 彼は頼りにできる男だよ
V0000361638	叱る（しかります） 小言する（こごと） 汚い手で着物に触ったら、叱られました
V0000361639	赤道ギニア (せきどう)
V0000361640	取る（とります） 渡す（わたします） 手渡す（てわたします） すみませんが、塩を取って下さい
V0000361641	掃除婦（そうじふ）
V0000361642	西洋料理（せいようりょうり）
V0000361643	撤兵（てっぺい） イラクから撤兵する
V0000361644	雄牛（おうし） 雄（おす） 雌（めす）
V0000361645	滝（たき）
V0000361646	家具（かぐ） ファーニチャー
V0000361647	経済（けいざい） 経済成長（せいちょう）
V0000361648	消防車（しょうぼうしゃ） 群集がすぐに消防車の回りに集まった
V0000361649	脅える（おびえます） ～に　びくびくする ～を　脅かす（おびやかします）
V0000361650	鶫（つぐみ） 常用外
V0000361651	宗教（しゅうきょう）
V0000361652	～を 助ける（たすけます） ～を 救う（すくいます） おぼれている人を助ける
V0000361653	急速(な)（きゅうそく） 速い（はやい） 急速な進歩を遂げる
P0000156483	しんどい　　
P0000156483	疲れた へとへとになった
V0000361654	コーヒーミル 受け取ったコーヒーミルが動きません
V0000361655	酒場（さかば） バー
V0000361656	オリーブ油（ゆ） オリーブオイル
V0000361657	判断する（はんだん） 見掛けで人を判断してはいけない
V0000361658	凸凹（な）（でこぼこ） 凸凹の道路 月の表現は凸凹だ
V0000361659	～を　持ち上げる （もちあげる）
V0000361660	ハンモック 木と木の間にハンモックを吊った（つる）－
V0000361661	肛門（こうもん） 校門（こうもん）
V0000361662	人質（ひとじち） 人質はクリスマスの前に解放（かいほう）されるだろう
V0000361663	神経（しんけい）
P0000156484	にっこりする ニコニコする
P0000156484	頬笑む（ほほえみます） こういう風に彼女は私を見てにっこりした
P0000156485	良さ（よさ） 
P0000156485	長所（ちょうしょ）
P0000156485	この制度の良さは今に分かる
V0000361664	一晩中（ひとばんじゅう）
V0000361665	～あります 肉は焼いてあります
V0000361666	蛍（ほたる） 蛍が光る
V0000361667	消す（けします）
V0000361668	スクリーンセーバー
V0000361669	カウンター 
P0000156486	家事（かじ） 火事（かじ）
P0000156486	家事をしながら働き出る女性がたくさんいる
V0000361670	～に　富む（とみます） ～が　豊富です（ほうふ） ～が　豊か（ゆたか） カナダは木材に富む
V0000361671	鯨（くじら） 鯨は独自の言語があると信じられている
V0000361672	園芸（えんげい） 父は園芸の基本を教えてくれた
V0000361673	踏まえる（ふまえます） 基づく（もとづきます） 事実を踏まえた 経験を踏まえた助言
V0000361674	栗（くり） 彼は通りから栗を取り除いた（とりのぞいた） 栗のいが いが 
V0000361675	鎖（くさり） その犬は鎖でつないでおくべきだ
V0000361676	職業安定所（しょくぎょうあんていじょ） 職業安定所に登録する
V0000361677	職場（しょくば） 仕事場（しごとば） 私たちはコンピューターを職場へ運んだ
V0000361678	一期一会（な） （いちごいちえ）
V0000361679	薬草（やくそう）
V0000361680	マスク マスクをつける 防毒マスク（ぼうどく）
V0000361681	水彩絵の具　（すいさいえのぐ） 水彩画（すいさいが） 水彩画をかく
V0000361682	言うなれば（いうなれば） 言わば あの男は言うなれば大きくなった子供です
V0000361683	葡萄（ぶどう） 武道（ぶどう） 
V0000361684	寒い（さむい）ですよ。
V0000361685	明日（あした） 明日（あす） 明日（みょうにち）
V0000361686	自分（じぶん） 私は自分で数えた
V0000361687	人参（にんじん）
P0000156487	と言う、と思う 
P0000156487	～って 今、時間がないって、本当？
V0000361688	言語学者（げんごがくしゃ）
V0000361689	上がる（あがります） 二階に上がる
V0000361690	帰宅する（きたく） 家に帰る 夜になったので、帰宅する
V0000361691	わいろを受け取る
V0000361692	ちょっとお願いがあるんですが
