V0000437084	さんがにち
V0000437156	さんかしゃ
P0000208047	わたしは、いま、
P0000208047	りょうりきょうしつにきています。
P0000208048	わたしは、いま、
P0000208048	りょうりきょうしつにきています。
V0000437157	きょうは、さいきんわだいになっている、「りょうりごうこん」についてレポートします。
V0000437158	きょうは、さいきんわだいになっている、「りょうりごうこん」についてレポートします。
P0000208049	では、
P0000208049	りょうりきょうしつのこうしもりひかりせんせいにおはなしをきいてみましょう。
P0000208050	では、
P0000208050	りょうりきょうしつのこうしもりひかりせんせいにおはなしをきいてみましょう。
V0000437159	せんせいよろしくおねがいします。
V0000437160	せんせいよろしくおねがいします。
V0000437161	よろしくおねがいします。
V0000437162	よろしくおねがいします。
V0000437163	せんせい、「りょうりごうこん」というのは・・・
V0000437164	せんせい、「りょうりごうこん」というのは・・・
V0000437165	りょうりきょうしつでのごうこん・・・
V0000437166	りょうりきょうしつでのごうこん・・・
V0000437167	つまり、しょたいめんのだんじょのグループがりょうりをいっしょにして、しりあうことができるパーティーです。
V0000437168	つまり、しょたいめんのだんじょのグループがりょうりをいっしょにして、しりあうことができるパーティーです。
V0000437169	りょうりごうこんのみりょくは、なんでしょうか。
V0000437170	りょうりごうこんのみりょくは、なんでしょうか。
V0000437171	まず、りょうりのべんきょうになります。
V0000437172	まず、りょうりのべんきょうになります。
V0000437173	そして、りょうりごうこんでしりあったカップルはながくつづくといわれています。
V0000437174	そして、りょうりごうこんでしりあったカップルはながくつづくといわれています。
V0000437175	そうなんですかー。どうしてかんけいがつづきやすいんですか。
V0000437176	そうなんですかー。どうしてかんけいがつづきやすいんですか。
V0000437177	いっしょにりょうりをつくるので、あいてのせいかくがわかりやすいんです。
V0000437178	いっしょにりょうりをつくるので、あいてのせいかくがわかりやすいんです。
V0000437179	きょうつうのわだいがあって、はなしもはずみますし。
V0000437180	きょうつうのわだいがあって、はなしもはずみますし。
V0000437181	なるほど。
V0000437182	なるほど。
V0000437183	さんかしゃのなかには、「けっこんごのせいかつがそうぞうしやすい」っていうひともいるんですよ。
V0000437184	さんかしゃのなかには、「けっこんごのせいかつがそうぞうしやすい」っていうひともいるんですよ。
V0000437185	りょうりがならえて、さいこうのパートナーもみつけられるんですね。
V0000437186	りょうりがならえて、さいこうのパートナーもみつけられるんですね。
V0000437187	まさに、いいことだらけ！いいなー。わたしもさんかしたーい。
V0000437188	まさに、いいことだらけ！いいなー。わたしもさんかしたーい。
V0000437189	もの
V0000437190	けいひん
V0000437191	こうどく
V0000437192	たくはいびん
V0000437193	がくひ
V0000437194	ひっこし
V0000437195	さしあげる
V0000437196	しょうひんけん
V0000437197	けいやく
V0000437198	はさむ
V0000437199	どかす
V0000437200	たくはいびんでーす。
V0000437201	たくはいびんでーす。
V0000437202	はーい。
V0000437203	はーい。
V0000437204	すみませーん、わたくし、あかさかしんぶんのものなんですが・・・
V0000437205	すみませーん、わたくし、あかさかしんぶんのものなんですが・・・
V0000437206	え・・（こころのこえ-たくはいびんじゃないじゃん！どうしよう。うちしんぶんいらないし。）
V0000437207	え・・（こころのこえ-たくはいびんじゃないじゃん！どうしよう。うちしんぶんいらないし。）
V0000437208	しんぶんをこうどくしませんか。
V0000437209	しんぶんをこうどくしませんか。
V0000437210	あー、もうしわけないんですけど、もうまにあっていますので、だいじょうぶです。
V0000437211	あー、もうしわけないんですけど、もうまにあっていますので、だいじょうぶです。
V0000437212	（こころのこえ-あー！あー！このひと、ドアにあしをはさんでる！）
V0000437213	（こころのこえ-あー！あー！このひと、ドアにあしをはさんでる！）
V0000437214	いま、けいやくすると、けいひんがつきますよ。
V0000437215	いま、けいやくすると、けいひんがつきますよ。
V0000437216	せんざいごはこ、しょうひんけんさんぜんえんぶん、そして、ディズニーランドのパスポートをさしあげます。
V0000437217	せんざいごはこ、しょうひんけんさんぜんえんぶん、そして、ディズニーランドのパスポートをさしあげます。
V0000437218	わたし、らいねんのしがつにはひっこしするんですけど・・・
V0000437219	わたし、らいねんのしがつにはひっこしするんですけど・・・
V0000437220	では、ひっこすまで、しんぶんをこうどくしませんか？
V0000437221	では、ひっこすまで、しんぶんをこうどくしませんか？
V0000437222	すみません、けっこうです！！！
V0000437223	すみません、けっこうです！！！
V0000437224	ドアをしめますので、あしどかしてください！！！！
V0000437225	ドアをしめますので、あしどかしてください！！！！
V0000437226	あれ？もしかして・・・あかさかしょうがっこうのしゅっしん？
V0000437227	あれ？もしかして・・・あかさかしょうがっこうのしゅっしん？
V0000437228	はい？あ、けんちゃん！？？
V0000437229	はい？あ、けんちゃん！？？
V0000437230	ひさしぶり！
V0000437231	ひさしぶり！
V0000437232	けんちゃん。。。しんぶんのセールスしているんだ。
V0000437233	けんちゃん。。。しんぶんのセールスしているんだ。
V0000437234	あ・・・うん。がくひのためにね。
V0000437235	あ・・・うん。がくひのためにね。
V0000437236	わかった！じゃ、けいやくする。
V0000437237	わかった！じゃ、けいやくする。
V0000437238	ちしき
V0000437239	しゃこうせい
V0000437240	そんをする
V0000437241	のべる
V0000437242	けつろん
V0000437243	そもそも
V0000437244	りけい
V0000437245	ぶんけい
V0000437246	しっかりと
V0000437247	とにかく
V0000437248	だます
V0000437249	くだらない
V0000437250	さっか
V0000437251	みなさんこんばんは。ＤＪマキコです。
V0000437252	みなさんこんばんは。ＤＪマキコです。
V0000437253	きょうのゲストは　ベストセラーさっかの、なつめごろうさんです。よろしくおねがいします。
V0000437254	きょうのゲストは　ベストセラーさっかの、なつめごろうさんです。よろしくおねがいします。
V0000437255	よろしく。
V0000437256	よろしく。
V0000437257	では、さいしょのしつもんをよみますね。
V0000437258	では、さいしょのしつもんをよみますね。
V0000437259	マキコさん、なつめせんせい、こんにちは。
V0000437260	マキコさん、なつめせんせい、こんにちは。
V0000437261	はい。こんにちは。
V0000437262	はい。こんにちは。
V0000437263	わたしは、こうこういちねんせいです。
V0000437264	わたしは、こうこういちねんせいです。
V0000437265	「すうがく」や「ぶつり」などのりけいのかもくはきらいではないのですが、「こくご」がいちばんすきです。
V0000437266	「すうがく」や「ぶつり」などのりけいのかもくはきらいではないのですが、「こくご」がいちばんすきです。
V0000437267	しょうらいは、しょうせつかになりたいとおもっているので、りけいのかもくはべんきょうしなくてもよいですか。
V0000437268	しょうらいは、しょうせつかになりたいとおもっているので、りけいのかもくはべんきょうしなくてもよいですか。
V0000437269	けつろんをのべます。「ぜったいにべんきょうしなさい！」
V0000437270	けつろんをのべます。「ぜったいにべんきょうしなさい！」
V0000437271	そもそも、ぶんけいとりけいにわけるかんがえかたがおかしいんだ。
V0000437272	そもそも、ぶんけいとりけいにわけるかんがえかたがおかしいんだ。
V0000437273	どうして、おかしいんですか。
V0000437274	どうして、おかしいんですか。
V0000437275	にんげん、ちしきをもっていて、そんをすることはないんだよ。
V0000437276	にんげん、ちしきをもっていて、そんをすることはないんだよ。
P0000208051	たとえば、わたしはしょうせつかだけど、
P0000208051	しょうせつをかくときにはりけいのちしきがひつようになる。
P0000208052	たとえば、わたしはしょうせつかだけど、
P0000208052	しょうせつをかくときにはりけいのちしきがひつようになる。
V0000437277	なるほどー。
V0000437278	なるほどー。
V0000437279	りけいのひとはしゃこうせいがないというイメージもあるみたいですけど。
V0000437280	りけいのひとはしゃこうせいがないというイメージもあるみたいですけど。
V0000437281	くだらない。どうして、そんなステレオタイプにだまされるんだ。
V0000437282	くだらない。どうして、そんなステレオタイプにだまされるんだ。
V0000437283	とにかく、しっかりといまは、なんでもべんきょうするように！
V0000437284	とにかく、しっかりといまは、なんでもべんきょうするように！
V0000437285	とくしゅうする
V0000437286	たりる
V0000437287	にほんかくち
V0000437288	おうこく
V0000437289	えきまえ
V0000437290	いぶくろ
V0000437291	てつ
V0000437292	むり（な）
V0000437293	しゅるい
V0000437294	べつばら
V0000437295	ねえ、ユウキ、このまえテレビで「デザートおうこく」をとくしゅうしているのをみたんだけど、いかない？
V0000437296	ねえ、ユウキ、このまえテレビで「デザートおうこく」をとくしゅうしているのをみたんだけど、いかない？
V0000437297	デザートおうこく？なにそれ？
V0000437298	デザートおうこく？なにそれ？
V0000437299	「フードテーマパーク」っていうのかな。きいたことない？
V0000437300	「フードテーマパーク」っていうのかな。きいたことない？
V0000437301	にほんかくちのおいしいデザートを、たべることができるんだよ。
V0000437302	にほんかくちのおいしいデザートを、たべることができるんだよ。
V0000437303	へー。ホントに、さおりはたべるのがすきだよな。ま、いいよ。しゅうまつ、いってみようか。
V0000437304	へー。ホントに、さおりはたべるのがすきだよな。ま、いいよ。しゅうまつ、いってみようか。
V0000437305	えっと、このチケットで、デザートをにじゅっしゅるいまでたべることができるのね。
V0000437306	えっと、このチケットで、デザートをにじゅっしゅるいまでたべることができるのね。
V0000437307	ひとりでにじゅっしゅるいもたべるのはむりじゃない？
V0000437308	ひとりでにじゅっしゅるいもたべるのはむりじゃない？
V0000437309	じゅっしゅるいようのチケットをかったほうがよくない？
V0000437310	じゅっしゅるいようのチケットをかったほうがよくない？
V0000437311	だいじょうぶだいじょうぶ。わたしはてつのいぶくろのもちぬしだから。
V0000437312	だいじょうぶだいじょうぶ。わたしはてつのいぶくろのもちぬしだから。
V0000437313	あ、プリンだ！ゆうき、たべよう！
V0000437314	あ、プリンだ！ゆうき、たべよう！
V0000437315	あーよくたべた。たのしかったねー。
V0000437316	あーよくたべた。たのしかったねー。
V0000437317	でも、２０こじゃ、ぜんぜんたりなかったね。
V0000437318	でも、２０こじゃ、ぜんぜんたりなかったね。
V0000437319	（ウップ）え？あ。。。そう？おれ、はらが（ゴロゴロゴロ）・・・。うっ。
V0000437320	（ウップ）え？あ。。。そう？おれ、はらが（ゴロゴロゴロ）・・・。うっ。
V0000437321	ね、ゆうき。えきまえにおいしいクレープやさんがあるの。クレープたベてかえろう！
V0000437322	ね、ゆうき。えきまえにおいしいクレープやさんがあるの。クレープたベてかえろう！
V0000437323	はらいっぱいだよ。これいじょうたべるのはむり。（ウップ）
V0000437324	はらいっぱいだよ。これいじょうたべるのはむり。（ウップ）
V0000437325	デザートはべつはら！
V0000437326	デザートはべつはら！
V0000437327	しょうがない
V0000437328	かりる
V0000437329	かしだしちゅう
V0000437330	じたく
V0000437331	さくひん
V0000437332	げつがく
V0000437333	とうろくする
V0000437334	（はぁ・・・）ただいま。
V0000437335	（はぁ・・・）ただいま。
V0000437336	おかえり。どうしたの？げんきないけど。
V0000437337	おかえり。どうしたの？げんきないけど。
V0000437338	が かしだしちゅうだったのよ。かんこくドラマ。
V0000437339	が かしだしちゅうだったのよ。かんこくドラマ。
V0000437340	つぎのストーリーがきになってきになって、しょうがないのよ。
V0000437341	つぎのストーリーがきになってきになって、しょうがないのよ。
V0000437342	あのみせは、かりられているＤＶＤばかりで、ほんとうにこまるわ。
V0000437343	あのみせは、かりられているＤＶＤばかりで、ほんとうにこまるわ。
V0000437344	だったら、ネットでＤＶＤをかりればよいじゃない？
V0000437345	だったら、ネットでＤＶＤをかりればよいじゃない？
V0000437346	おみせにはおいてないさくひんもあるって、ともだちがいってたよ。
V0000437347	おみせにはおいてないさくひんもあるって、ともだちがいってたよ。
V0000437348	インターネットでかりられるの？
V0000437349	インターネットでかりられるの？
V0000437350	そうそう。じぶんがみたいＤＶＤをよやくすると、じたくにとどくんだって。
V0000437351	そうそう。じぶんがみたいＤＶＤをよやくすると、じたくにとどくんだって。
V0000437352	ほんとうに！かえすときは？
V0000437353	ほんとうに！かえすときは？
V0000437354	みおわったＤＶＤをポストにいれるだけ。
V0000437355	みおわったＤＶＤをポストにいれるだけ。
V0000437356	へーべんりね！でもたかいんでしょ？
V0000437357	へーべんりね！でもたかいんでしょ？
V0000437358	そんなにたかくないとおもうよ。ちょっと、しらべるね。
V0000437359	そんなにたかくないとおもうよ。ちょっと、しらべるね。
V0000437360	あ、げつがくにせんえんで、はちまいまでかりることができるって。
V0000437361	あ、げつがくにせんえんで、はちまいまでかりることができるって。
V0000437362	おかあさんがいつもかりているおみせよりやすいじゃない。
V0000437363	おかあさんがいつもかりているおみせよりやすいじゃない。
V0000437364	さいしょのいっかげつは、ただで、かりることができるってかいてあるよ。
V0000437365	さいしょのいっかげつは、ただで、かりることができるってかいてあるよ。
V0000437366	すごい。いますぐ、とうろくして。
V0000437367	すごい。いますぐ、とうろくして。
V0000437368	いいよ。
V0000437369	いいよ。
V0000437370	じゃ、わたしのアメリカのドラマもいっしょにかりてね。
V0000437371	じゃ、わたしのアメリカのドラマもいっしょにかりてね。
V0000437372	ダメよ。じぶんでかりなさい。
V0000437373	ダメよ。じぶんでかりなさい。
V0000437374	しゅっちょう
V0000437375	うわさ
V0000437376	いけん
V0000437377	きほんりょうきん
V0000437378	しくみ
V0000437379	かいてんずし
V0000437380	まわる
V0000437381	かさんする
V0000437382	きかい
V0000437383	こんにちは、みなさん。
V0000437384	こんにちは、みなさん。
V0000437385	かいしゃでかいてんずしをたべられるといううわさをきいたのですが、ほんとうなのでしょうか。
V0000437386	かいしゃでかいてんずしをたべられるといううわさをきいたのですが、ほんとうなのでしょうか。
V0000437387	きょうは、ここのかいしゃにかいてんずしがきているときいたのですが。
V0000437388	きょうは、ここのかいしゃにかいてんずしがきているときいたのですが。
V0000437389	（コンコン）しつれいします。
V0000437390	（コンコン）しつれいします。
V0000437391	こんにちは。
V0000437392	こんにちは。
V0000437393	すごい！！オフィスのなかで、おすしがまわっています！
V0000437394	すごい！！オフィスのなかで、おすしがまわっています！
V0000437395	らっしゃい！ようこそ、しゅっちょうかいてんずしへ！
V0000437396	らっしゃい！ようこそ、しゅっちょうかいてんずしへ！
V0000437397	しゅっちょうかいてんずし？このきかいは、もってきたんですか。
V0000437398	しゅっちょうかいてんずし？このきかいは、もってきたんですか。
V0000437399	そうだよ。きほんりょうきんはにまん。
V0000437400	そうだよ。きほんりょうきんはにまん。
V0000437401	それにたべたふんのりょうきんをかさんするシステムだよ。
V0000437402	それにたべたふんのりょうきんをかさんするシステムだよ。
V0000437403	そして、なんと、おすしひとさらは、ふつうのかいてんずしとは、かわらないねだん！
V0000437404	そして、なんと、おすしひとさらは、ふつうのかいてんずしとは、かわらないねだん！
V0000437405	なるほどー。
V0000437406	なるほどー。
V0000437407	きかいをセットアップするだいきんと、いたまえさんにきてもらうだいきんが２まんえん。
V0000437408	きかいをセットアップするだいきんと、いたまえさんにきてもらうだいきんが２まんえん。
V0000437409	あとは、おすしをたべたりょうきんをはらえばいいんですね。
V0000437410	あとは、おすしをたべたりょうきんをはらえばいいんですね。
V0000437411	それは、おてごろですね！
V0000437412	それは、おてごろですね！
V0000437413	だろ？
V0000437414	だろ？
V0000437415	どうして、しゅっちょうかいてんずしをはじめたんですか？
V0000437416	どうして、しゅっちょうかいてんずしをはじめたんですか？
V0000437417	じたくやかいしゃでかいてんずしをたのしみたいといういけんがあってね。
V0000437418	じたくやかいしゃでかいてんずしをたのしみたいといういけんがあってね。
V0000437419	すばらしいですね！
V0000437420	すばらしいですね！
V0000437421	かいしゃやイベントだけでなく、ひとがたくさんあつまるホームパーティーなどでも、おすすめですね！
V0000437422	かいしゃやイベントだけでなく、ひとがたくさんあつまるホームパーティーなどでも、おすすめですね！
V0000437423	やせる
V0000437424	じつは
V0000437425	ほそい
V0000437426	くだもの
V0000437427	はだ
V0000437428	ぺこぺこ
V0000437429	やしょく
V0000437430	ひさしぶりー。あれー？まゆちゃん、やせたー？
V0000437431	ひさしぶりー。あれー？まゆちゃん、やせたー？
V0000437432	あ、わかる？すこしほそくなったでしょ。
V0000437433	あ、わかる？すこしほそくなったでしょ。
V0000437434	じつは、ダイエットしているんだー。
V0000437435	じつは、ダイエットしているんだー。
V0000437436	そうなんだー！なにしてるの？
V0000437437	そうなんだー！なにしてるの？
V0000437438	フルーツダイエット。すごくかんたんだよ。
V0000437439	フルーツダイエット。すごくかんたんだよ。
V0000437440	まいあさ、くだものをたべるようにするだけ。
V0000437441	まいあさ、くだものをたべるようにするだけ。
V0000437442	へー！いつごろからはじめたの？
V0000437443	へー！いつごろからはじめたの？
V0000437444	はんとしまえ。
V0000437445	はんとしまえ。
V0000437446	はだもきれいになったんじゃない？
V0000437447	はだもきれいになったんじゃない？
V0000437448	いいなぁ・・・。わたしもがんばろうっと。
V0000437449	いいなぁ・・・。わたしもがんばろうっと。
V0000437450	いま、なにかしているの？
V0000437451	いま、なにかしているの？
V0000437452	うん。じつはウォーキングダイエットをはじめたの。
V0000437453	うん。じつはウォーキングダイエットをはじめたの。
V0000437454	へー。けんこうによさそう！
V0000437455	へー。けんこうによさそう！
V0000437456	まいあさ、こうえんをあるくようにしているの。
V0000437457	まいあさ、こうえんをあるくようにしているの。
V0000437458	それから、ゆうはんもはやいじかんにたべるようにしているんだ。
V0000437459	それから、ゆうはんもはやいじかんにたべるようにしているんだ。
V0000437460	へー。でも、まいあさあるくのは、たいへんでしょ。えらいねぇ。
V0000437461	へー。でも、まいあさあるくのは、たいへんでしょ。えらいねぇ。
V0000437462	あたしあるくのすきだから、だいじょうぶ。でも・・・
V0000437463	あたしあるくのすきだから、だいじょうぶ。でも・・・
V0000437464	でも？
V0000437465	でも？
V0000437466	ウォーキングはじめてからふとったんだよね。
V0000437467	ウォーキングはじめてからふとったんだよね。
V0000437468	うんどうすると、おなかがすごいすくから、ごはんをたくさんたべるようになって・・・。
V0000437469	うんどうすると、おなかがすごいすくから、ごはんをたくさんたべるようになって・・・。
V0000437470	ああ・・・。
V0000437471	ああ・・・。
V0000437472	それに、ゆうはんのじかんがはやいから、よるじゅうじにはおなかぺこぺこなの。
V0000437473	それに、ゆうはんのじかんがはやいから、よるじゅうじにはおなかぺこぺこなの。
V0000437474	だから、やしょくをたべるようになって・・・。さんキロくらいふとった。
V0000437475	だから、やしょくをたべるようになって・・・。さんキロくらいふとった。
V0000437476	でんしれんじ
V0000437477	あがる
V0000437478	えいようそ
V0000437479	ぽたぽた
V0000437480	へらす
V0000437481	あげる
V0000437482	こわれる
V0000437483	こわす
V0000437484	おとす
V0000437485	おちる
V0000437486	あぶら
V0000437487	きのう
V0000437488	よぶん
V0000437489	はい、きょうごしょうかいするしんせいひんは、こちら！
V0000437490	はい、きょうごしょうかいするしんせいひんは、こちら！
V0000437491	シャーポのでんしれんじ「ヘルカロ」です！
V0000437492	シャーポのでんしれんじ「ヘルカロ」です！
V0000437493	たいへんにんきのしょうひんですね。
V0000437494	たいへんにんきのしょうひんですね。
V0000437495	そうです！しおとあぶらのりょうをへらすことができるので、とてもけんこうにいいんです。
V0000437496	そうです！しおとあぶらのりょうをへらすことができるので、とてもけんこうにいいんです。
V0000437497	なるほど。
V0000437498	なるほど。
V0000437499	たとえば、からあげをつくりましょう。
V0000437500	たとえば、からあげをつくりましょう。
V0000437501	はい。
V0000437502	はい。
V0000437503	このヘルカロはよぶんなあぶらをおとします。
V0000437504	このヘルカロはよぶんなあぶらをおとします。
V0000437505	みえますか？あぶらがおちていますよね。
V0000437506	みえますか？あぶらがおちていますよね。
V0000437507	うわー、ほんとうですね。ぽたぽたおちてる・・・。
V0000437508	うわー、ほんとうですね。ぽたぽたおちてる・・・。
V0000437509	このように、ヘルシーにからあげをあげることもできるんです。
V0000437510	このように、ヘルシーにからあげをあげることもできるんです。
V0000437511	はい、どうぞ。たべてください。
V0000437512	はい、どうぞ。たべてください。
V0000437513	（もぐもぐ）おいしい！ヘルシーなのに、おいしくあがるんですね。
V0000437514	（もぐもぐ）おいしい！ヘルシーなのに、おいしくあがるんですね。
V0000437515	そうなんですよー。しかも、この「ヘルカロ」はビタミンなどもこわしません。
V0000437516	そうなんですよー。しかも、この「ヘルカロ」はビタミンなどもこわしません。
V0000437517	えいようそがこわれないのはすばらしいですね。
V0000437518	えいようそがこわれないのはすばらしいですね。
V0000437519	さらに！あたためたりょうりのカロリーは、じどうでひょうじされます。
V0000437520	さらに！あたためたりょうりのカロリーは、じどうでひょうじされます。
V0000437521	それは、べんりなきのうですね！さすが、「ヘルカロ」！
V0000437522	それは、べんりなきのうですね！さすが、「ヘルカロ」！
V0000437523	で、きになるおねだんは？
V0000437524	で、きになるおねだんは？
V0000437525	こんかいもおどろきのかかく！！
V0000437526	こんかいもおどろきのかかく！！
V0000437527	なんと、さんまんきゅうせんはっぴゃくえん！どうでしょう！
V0000437528	なんと、さんまんきゅうせんはっぴゃくえん！どうでしょう！
V0000437529	なれる
V0000437530	けしょうひん
V0000437531	さいふ
V0000437532	せつやく
V0000437533	ながれ
V0000437534	しゃいんしょくどう
V0000437535	こっそり
V0000437536	えいぎょうする
V0000437537	びよう
V0000437538	みかにあうのは、そつぎょういらいだよな。どう？しごとはなれた？
V0000437539	みかにあうのは、そつぎょういらいだよな。どう？しごとはなれた？
V0000437540	うん、まあまあかなー。さいきんやっとなれてきたかんじ。
V0000437541	うん、まあまあかなー。さいきんやっとなれてきたかんじ。
V0000437542	そうかー、おれもようやくしごとのながれがわかってきたよ。
V0000437543	そうかー、おれもようやくしごとのながれがわかってきたよ。
V0000437544	みかは、けしょうひんがいしゃではたらいているんだよね？
V0000437545	みかは、けしょうひんがいしゃではたらいているんだよね？
V0000437546	そう。うちのかいしゃ、じょせいがおおいから、しゃいんしょくどうのメニューのよこにはカロリーがかいてあるんだ。
V0000437547	そう。うちのかいしゃ、じょせいがおおいから、しゃいんしょくどうのメニューのよこにはカロリーがかいてあるんだ。
V0000437548	びようとけんこうのために、やさいをたくさんつかったメニューもたくさんあって、けっこうおいしいんだ。
V0000437549	びようとけんこうのために、やさいをたくさんつかったメニューもたくさんあって、けっこうおいしいんだ。
V0000437550	おんなのひとがおおいとそうなんだね。
V0000437551	おんなのひとがおおいとそうなんだね。
V0000437552	あと、けんこうをチェックするためのコーナーもあるんだよー。
V0000437553	あと、けんこうをチェックするためのコーナーもあるんだよー。
V0000437554	かつおのかいしゃもしゃいんしょくどうあるでしょ？
V0000437555	かつおのかいしゃもしゃいんしょくどうあるでしょ？
V0000437556	あるある。うちのしゃいんしょくどう、むりょうなんだ。
V0000437557	あるある。うちのしゃいんしょくどう、むりょうなんだ。
V0000437558	えーー！！タダなの？！
V0000437559	えーー！！タダなの？！
V0000437560	そう。すごいだろ？しゃいんのために、ってしゃちょうがきめたんだって。
V0000437561	そう。すごいだろ？しゃいんのために、ってしゃちょうがきめたんだって。
V0000437562	いいなー。おさいふにやさしいね。
V0000437563	いいなー。おさいふにやさしいね。
V0000437564	うん。でも、せつやくのためだけじゃなくて、はたらこうっていうきもちがつよくなるよ。
V0000437565	うん。でも、せつやくのためだけじゃなくて、はたらこうっていうきもちがつよくなるよ。
V0000437566	しかも、かいしゃにながくのこっているひとのために、よるもえいぎょうしてるんだ。
V0000437567	しかも、かいしゃにながくのこっているひとのために、よるもえいぎょうしてるんだ。
V0000437568	うらやましい！こんど、こっそりたべにいきたい！
V0000437569	うらやましい！こんど、こっそりたべにいきたい！
V0000437570	しきり
V0000437571	こってり
V0000437572	めん
V0000437573	こうもく
V0000437574	ちゅうもんする
V0000437575	おーだーようし
V0000437576	しゅうちゅうする
V0000437577	のれん
V0000437578	りょうわき
V0000437579	しょっけん
V0000437580	かため
V0000437581	こんにちは、ラーメンに くわしい、 いわがみさんと いっしょに、さいきん わだいになっている ユニークなラーメンやさんに いってみようと おもいます。
V0000437582	こんにちは、ラーメンに くわしい、 いわがみさんと いっしょに、さいきん わだいになっている ユニークなラーメンやさんに いってみようと おもいます。
V0000437583	いわがみさん、よろしくおねがいします。
V0000437584	いわがみさん、よろしくおねがいします。
P0000208053	こんかい しょうかいしたい ラーメンてんは こちらの「いちばん
P0000208053	（いちばんぼし）です。
P0000208054	こんかい しょうかいしたい ラーメンてんは こちらの「いちばん
P0000208054	（いちばんぼし）です。
V0000437585	では、さっそく はいってみましょう。
V0000437586	では、さっそく はいってみましょう。
V0000437587	（ガラガラガラ）まず さいしょに、 このきかいに おかねをいれて、しょっけんを かいます。
V0000437588	（ガラガラガラ）まず さいしょに、 このきかいに おかねをいれて、しょっけんを かいます。
V0000437589	おや？ カウンターの それぞれ せきの りょうわきに しきりと、まえに のれんが ありますねー。
V0000437590	おや？ カウンターの それぞれ せきの りょうわきに しきりと、まえに のれんが ありますねー。
V0000437591	そうなんですよ。
V0000437592	そうなんですよ。
V0000437593	このしきりは、 おきゃくさんに ラーメンの あじに しゅうちゅうしてもらうために つくってあります。
V0000437594	このしきりは、 おきゃくさんに ラーメンの あじに しゅうちゅうしてもらうために つくってあります。
V0000437595	このカウンターせきに すわると、りょうわきも まえも みえませんからね。
V0000437596	このカウンターせきに すわると、りょうわきも まえも みえませんからね。
V0000437597	なるほどー。
V0000437598	なるほどー。
V0000437599	あと、このシステムがあるため、 じょせいのおきゃくさんも おおいんです。
V0000437600	あと、このシステムがあるため、 じょせいのおきゃくさんも おおいんです。
